frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,713,69,1282,833
8,NO-Hardhat,725,77,1276,908
8,NO-Mask,724,77,1278,913
16,NO-Hardhat,1149,200,1816,1041
24,NO-Hardhat,236,160,900,878
24,NO-Mask,241,172,899,875
32,NO-Hardhat,248,152,910,875
32,NO-Mask,252,164,909,873
40,NO-Mask,824,140,1483,937
48,NO-Hardhat,899,71,1554,929
48,NO-Mask,899,75,1553,929
56,NO-Mask,1101,186,1737,974
56,NO-Hardhat,1099,183,1736,976
64,NO-Mask,554,75,1131,901
72,NO-Mask,633,58,1178,922
72,NO-Hardhat,631,56,1177,924
80,NO-Hardhat,651,54,1191,918
80,NO-Mask,651,53,1193,916
