ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758352598.1273909,78cdb2c0,5,1,1,0,anish,0.5655,966,203,1395,780
1758352599.024256,78cdb2c0,10,1,1,0,anish,0.505,918,208,1358,787
1758352599.4589078,78cdb2c0,15,1,1,0,anish,0.5433,835,203,1295,807
1758352600.3438468,78cdb2c0,20,1,1,0,anish,0.5655,794,204,1263,813
1758352601.167542,78cdb2c0,25,1,1,0,anish,0.5281,1001,194,1431,788
1758352601.60697,78cdb2c0,30,1,1,0,anish,0.5189,924,216,1366,796
1758352602.4362721,78cdb2c0,35,1,1,0,anish,0.4906,943,209,1410,819
1758352602.880386,78cdb2c0,40,2,1,0,anish,0.4638,1420,255,1938,841
1758352603.9774358,78cdb2c0,45,2,1,0,anish,0.5307,825,180,1297,802
1758352603.9774358,78cdb2c0,45,2,1,0,anish,0.5307,929,195,1469,795
1758352604.870848,78cdb2c0,50,2,1,0,anish,0.5136,779,214,1259,839
1758352604.870848,78cdb2c0,50,2,1,0,anish,0.5136,992,193,1422,774
1758352605.3357959,78cdb2c0,55,3,1,0,anish,0.5022,891,208,1371,833
1758352605.3357959,78cdb2c0,55,3,1,0,anish,0.5022,884,227,1316,827
1758352605.3357959,78cdb2c0,55,3,1,0,anish,0.5022,1099,222,1524,785
1758352606.308154,78cdb2c0,60,3,1,0,anish,0.5572,1030,211,1510,836
1758352606.308154,78cdb2c0,60,3,1,0,anish,0.5572,882,231,1314,831
1758352606.308154,78cdb2c0,60,3,1,0,anish,0.5572,1198,244,1655,795
1758352607.429999,78cdb2c0,65,4,1,0,anish,0.5234,860,214,1340,839
1758352607.429999,78cdb2c0,65,4,1,0,anish,0.5234,852,232,1284,832
1758352607.429999,78cdb2c0,65,4,1,0,anish,0.5234,1262,222,1742,798
1758352607.429999,78cdb2c0,65,4,1,0,anish,0.5234,1070,210,1512,792
1758352608.119505,78cdb2c0,70,4,1,0,anish,0.5131,742,227,1222,852
1758352608.119505,78cdb2c0,70,4,1,0,anish,0.5131,735,246,1167,846
1758352608.119505,78cdb2c0,70,4,1,0,anish,0.5131,1135,206,1615,782
1758352608.119505,78cdb2c0,70,4,1,0,anish,0.5131,966,199,1420,789
1758352609.847166,78cdb2c0,75,4,1,0,anish,0.5786,758,233,1238,858
1758352609.847166,78cdb2c0,75,4,1,0,anish,0.5786,751,252,1183,852
1758352609.847166,78cdb2c0,75,4,1,0,anish,0.5786,1152,218,1632,794
1758352609.847166,78cdb2c0,75,4,1,0,anish,0.5786,984,215,1423,799
1758352610.4478762,78cdb2c0,80,4,1,0,anish,0.5732,758,235,1238,860
1758352610.4478762,78cdb2c0,80,4,1,0,anish,0.5732,751,253,1183,853
1758352610.4478762,78cdb2c0,80,4,1,0,anish,0.5732,1152,219,1632,795
1758352610.4478762,78cdb2c0,80,4,1,0,anish,0.5732,983,217,1422,801
1758352611.467743,78cdb2c0,85,4,1,0,anish,0.5933,754,231,1234,856
1758352611.467743,78cdb2c0,85,4,1,0,anish,0.5933,746,249,1178,849
1758352611.467743,78cdb2c0,85,4,1,0,anish,0.5933,1146,213,1626,789
1758352611.467743,78cdb2c0,85,4,1,0,anish,0.5933,979,216,1421,798
1758352612.387125,78cdb2c0,90,4,1,0,anish,0.5832,754,229,1234,854
1758352612.387125,78cdb2c0,90,4,1,0,anish,0.5832,747,248,1179,848
1758352612.387125,78cdb2c0,90,4,1,0,anish,0.5832,1145,212,1625,788
1758352612.387125,78cdb2c0,90,4,1,0,anish,0.5832,979,211,1422,793
