frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,186.49,495.14,681.63,1.47,0,0,0
1,0.54,0.06,0.59,1686.49,0,0,0
2,1.44,0.02,1.46,684.0,0,0,0
3,0.8,0.01,0.81,1237.62,0,0,0
4,2.71,0.01,2.73,366.96,0,0,0
5,507.11,0.01,507.11,1.97,1,1,0
6,9.29,0.0,9.3,107.55,1,1,0
7,13.87,0.01,13.88,72.06,1,1,0
8,15.94,465.9,481.84,2.08,1,1,0
9,10.79,0.06,10.85,92.18,1,1,0
10,268.78,0.05,268.83,3.72,1,1,0
11,9.92,0.05,9.97,100.28,1,1,0
12,11.03,0.05,11.08,90.23,1,1,0
13,11.65,0.07,11.72,85.35,1,1,0
14,11.33,0.07,11.39,87.77,1,1,0
15,270.38,0.05,270.43,3.7,1,1,0
16,32.49,380.44,412.92,2.42,1,1,0
17,11.09,0.09,11.18,89.43,1,1,0
18,11.93,0.1,12.03,83.13,1,1,0
19,14.05,0.1,14.15,70.66,1,1,0
20,320.67,0.11,320.78,3.12,1,1,0
21,13.38,0.11,13.48,74.18,1,1,0
22,13.05,0.1,13.15,76.03,1,1,0
23,12.03,0.1,12.13,82.44,1,1,0
24,12.86,380.79,393.65,2.54,1,1,0
25,274.6,0.07,274.68,3.64,1,1,0
26,10.28,0.05,10.33,96.82,1,1,0
27,10.55,0.05,10.6,94.35,1,1,0
28,10.25,0.06,10.3,97.04,1,1,0
29,10.34,0.05,10.39,96.25,1,1,0
30,280.2,0.05,280.24,3.57,1,1,0
31,10.38,0.06,10.44,95.81,1,1,0
32,10.21,375.93,386.14,2.59,1,1,0
33,11.01,0.1,11.11,90.01,1,1,0
34,13.12,0.11,13.23,75.59,1,1,0
35,312.8,0.09,312.9,3.2,1,1,0
36,5.85,0.1,5.95,168.09,1,1,0
37,5.99,0.1,6.1,164.05,1,1,0
38,7.24,0.09,7.34,136.32,1,1,0
39,5.97,0.1,6.07,164.72,1,1,0
40,392.78,369.1,761.88,1.31,2,2,0
41,26.94,0.11,27.05,36.97,2,2,0
42,23.54,0.1,23.64,42.29,2,2,0
43,27.99,0.12,28.1,35.58,2,2,0
44,23.72,0.08,23.8,42.01,2,2,0
45,317.82,0.09,317.91,3.15,2,2,0
46,21.01,0.09,21.1,47.4,2,2,0
47,25.61,0.08,25.7,38.92,2,2,0
48,23.7,387.35,411.05,2.43,2,2,0
49,27.52,0.17,27.69,36.11,2,2,0
50,274.53,0.1,274.63,3.64,2,2,0
51,19.83,0.09,19.93,50.18,2,2,0
52,20.73,0.1,20.83,48.01,2,2,0
53,25.66,0.19,25.85,38.69,2,2,0
54,29.05,0.11,29.15,34.3,2,2,0
55,271.55,0.1,271.66,3.68,3,3,0
56,32.28,371.78,404.06,2.47,3,3,0
57,27.08,0.06,27.14,36.85,3,3,0
58,32.23,0.06,32.29,30.97,3,3,0
59,29.57,0.06,29.62,33.76,3,3,0
60,311.25,0.05,311.3,3.21,3,3,0
61,33.16,0.18,33.34,29.99,3,3,0
62,35.15,0.05,35.2,28.41,3,3,0
63,33.22,0.05,33.27,30.05,3,3,0
64,29.85,394.33,424.18,2.36,3,3,0
65,468.78,0.26,469.04,2.13,4,4,0
66,54.67,0.12,54.8,18.25,4,4,0
67,43.87,0.1,43.97,22.74,4,4,0
68,45.85,0.1,45.95,21.76,4,4,0
69,44.77,0.09,44.87,22.29,4,4,0
70,392.59,0.12,392.71,2.55,4,4,0
71,142.68,0.17,142.85,7.0,4,4,0
72,118.61,812.91,931.51,1.07,4,4,0
73,52.55,0.12,52.67,18.99,4,4,0
74,46.35,0.09,46.44,21.53,4,4,0
75,420.77,0.13,420.91,2.38,4,4,0
76,38.9,0.11,39.01,25.64,4,4,0
77,38.83,0.09,38.93,25.69,4,4,0
78,38.46,0.09,38.55,25.94,4,4,0
79,36.71,0.1,36.8,27.17,4,4,0
80,317.77,415.19,732.96,1.36,4,4,0
81,39.63,0.09,39.72,25.17,4,4,0
82,36.86,0.09,36.95,27.06,4,4,0
83,38.72,0.09,38.81,25.76,4,4,0
84,42.08,0.09,42.17,23.71,4,4,0
85,300.91,0.09,301.0,3.32,4,4,0
86,39.76,0.09,39.86,25.09,4,4,0
87,35.86,0.09,35.96,27.81,4,4,0
88,38.94,349.46,388.4,2.57,4,4,0
89,41.05,0.09,41.14,24.31,4,4,0
90,287.86,0.09,287.95,3.47,4,4,0
91,35.53,0.09,35.62,28.08,4,4,0
