frame_idx,class,x1,y1,x2,y2
8,NO-Mask,892,75,1430,877
16,NO-Hardhat,734,65,1316,886
16,NO-Mask,746,73,1325,881
24,NO-Mask,851,81,1376,866
32,NO-Hardhat,726,81,1332,873
32,NO-Mask,728,78,1341,870
40,NO-Mask,1324,193,1918,852
40,NO-Hardhat,1333,193,1919,851
48,NO-Hardhat,771,58,1366,857
48,NO-Mask,769,58,1368,858
56,NO-Mask,944,60,1467,833
64,NO-Mask,929,57,1456,856
64,NO-Hardhat,927,55,1455,856
72,NO-Mask,937,58,1464,852
72,NO-Hardhat,938,56,1465,857
80,NO-Mask,935,59,1456,851
80,NO-Hardhat,934,58,1454,850
88,NO-Mask,931,68,1447,849
88,NO-Hardhat,927,58,1446,848
96,NO-Mask,931,62,1448,844
96,NO-Hardhat,927,56,1449,846
104,NO-Mask,931,64,1448,853
104,NO-Hardhat,926,57,1448,855
112,NO-Mask,928,55,1450,853
112,NO-Hardhat,924,52,1449,856
120,NO-Mask,929,62,1443,829
120,NO-Hardhat,924,59,1444,832
128,NO-Mask,927,64,1444,851
128,NO-Hardhat,922,57,1445,853
136,NO-Mask,920,60,1440,856
136,NO-Hardhat,916,52,1439,855
144,NO-Hardhat,918,61,1442,842
144,NO-Mask,916,62,1441,841
