ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758285293.144547,7afcc08c,0,1,1,0,anish,0.439,908,466,1299,995
1758285295.1121469,7afcc08c,5,2,0,1,Unknown,0.3258,920,513,1311,1042
1758285295.1121469,7afcc08c,5,2,0,1,Unknown,0.3258,922,266,1315,789
1758285296.062262,7afcc08c,10,2,0,1,Unknown,0.208,908,550,1299,1079
1758285296.062262,7afcc08c,10,2,0,1,Unknown,0.208,928,356,1311,871
1758285296.662976,7afcc08c,15,2,1,0,anish,0.5096,894,532,1285,1061
1758285296.662976,7afcc08c,15,2,1,0,anish,0.5096,872,380,1257,890
1758285297.6562402,7afcc08c,20,2,1,0,anish,0.5188,832,525,1223,1054
1758285297.6562402,7afcc08c,20,2,1,0,anish,0.5188,821,369,1186,848
1758285298.603768,7afcc08c,25,2,1,0,anish,0.5441,834,532,1225,1061
1758285298.603768,7afcc08c,25,2,1,0,anish,0.5441,820,377,1185,853
1758285299.1765618,7afcc08c,30,2,1,0,anish,0.5043,840,542,1231,1071
1758285299.1765618,7afcc08c,30,2,1,0,anish,0.5043,830,366,1198,859
1758285300.118389,7afcc08c,35,2,1,0,anish,0.477,856,548,1247,1077
1758285300.118389,7afcc08c,35,2,1,0,anish,0.477,841,384,1214,873
1758285300.6648252,7afcc08c,40,2,1,0,anish,0.5199,858,550,1249,1079
1758285300.6648252,7afcc08c,40,2,1,0,anish,0.5199,843,391,1216,880
1758285301.567232,7afcc08c,45,2,1,0,anish,0.5077,854,550,1245,1079
1758285301.567232,7afcc08c,45,2,1,0,anish,0.5077,843,393,1215,878
1758285302.490541,7afcc08c,50,2,1,0,anish,0.52,857,550,1248,1079
1758285302.490541,7afcc08c,50,2,1,0,anish,0.52,851,395,1218,884
1758285303.0439858,7afcc08c,55,2,1,0,anish,0.5362,854,550,1245,1079
1758285303.0439858,7afcc08c,55,2,1,0,anish,0.5362,844,388,1213,877
1758285303.930607,7afcc08c,60,2,1,0,anish,0.5264,852,548,1243,1077
1758285303.930607,7afcc08c,60,2,1,0,anish,0.5264,845,389,1210,876
1758285304.86288,7afcc08c,65,2,1,0,anish,0.5306,847,547,1238,1076
1758285304.86288,7afcc08c,65,2,1,0,anish,0.5306,841,390,1202,873
1758285305.39401,7afcc08c,70,2,1,0,anish,0.5329,845,546,1236,1075
1758285305.39401,7afcc08c,70,2,1,0,anish,0.5329,841,393,1201,872
1758285306.315577,7afcc08c,75,2,1,0,anish,0.5489,844,546,1235,1075
1758285306.315577,7afcc08c,75,2,1,0,anish,0.5489,837,382,1198,869
1758285306.882525,7afcc08c,80,2,1,0,anish,0.5248,825,532,1216,1061
1758285306.882525,7afcc08c,80,2,1,0,anish,0.5248,809,373,1171,841
1758285307.8015869,7afcc08c,85,2,1,0,anish,0.5262,801,532,1192,1061
1758285307.8015869,7afcc08c,85,2,1,0,anish,0.5262,797,381,1143,818
1758285308.733115,7afcc08c,90,2,1,0,anish,0.5246,815,539,1206,1068
1758285308.733115,7afcc08c,90,2,1,0,anish,0.5246,805,385,1159,851
1758285309.317756,7afcc08c,95,2,1,0,anish,0.56,816,541,1207,1070
1758285309.317756,7afcc08c,95,2,1,0,anish,0.56,803,385,1160,855
1758285310.279943,7afcc08c,100,2,1,0,anish,0.5386,828,544,1219,1073
1758285310.279943,7afcc08c,100,2,1,0,anish,0.5386,809,390,1174,867
1758285311.198838,7afcc08c,105,2,1,0,anish,0.5063,843,550,1234,1079
1758285311.198838,7afcc08c,105,2,1,0,anish,0.5063,843,400,1207,885
1758285311.721859,7afcc08c,110,2,1,0,anish,0.5348,839,548,1230,1077
1758285311.721859,7afcc08c,110,2,1,0,anish,0.5348,841,398,1199,882
1758285312.631073,7afcc08c,115,2,1,0,anish,0.5706,839,548,1230,1077
1758285312.631073,7afcc08c,115,2,1,0,anish,0.5706,841,397,1196,877
1758285313.181725,7afcc08c,120,2,1,0,anish,0.5472,840,549,1231,1078
1758285313.181725,7afcc08c,120,2,1,0,anish,0.5472,842,399,1201,878
1758285314.086869,7afcc08c,125,2,1,0,anish,0.5462,839,550,1230,1079
1758285314.086869,7afcc08c,125,2,1,0,anish,0.5462,843,400,1201,878
