frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,401.69,1454.38,1856.07,0.54,1,1,0
1,31.68,0.01,31.68,31.56,1,1,0
2,47.13,0.0,47.14,21.21,1,1,0
3,28.58,0.01,28.59,34.98,1,1,0
4,26.83,0.0,26.83,37.27,1,1,0
5,246.61,0.0,246.61,4.05,2,0,2
6,51.37,0.01,51.38,19.46,2,0,2
7,50.9,0.0,50.91,19.64,2,0,2
8,52.43,366.6,419.03,2.39,2,0,2
9,55.88,0.04,55.92,17.88,2,0,2
10,295.41,0.04,295.45,3.38,2,0,2
11,46.63,0.04,46.68,21.42,2,0,2
12,53.39,0.05,53.44,18.71,2,0,2
13,48.37,0.04,48.41,20.66,2,0,2
14,50.64,0.04,50.69,19.73,2,0,2
15,297.35,0.04,297.39,3.36,2,2,0
16,64.13,371.48,435.61,2.3,2,2,0
17,52.27,0.11,52.39,19.09,2,2,0
18,53.36,0.09,53.45,18.71,2,2,0
19,53.28,0.08,53.36,18.74,2,2,0
20,290.49,0.08,290.57,3.44,2,2,0
21,53.23,0.11,53.34,18.75,2,2,0
22,55.43,0.08,55.51,18.02,2,2,0
23,54.6,0.08,54.68,18.29,2,2,0
24,50.79,379.64,430.43,2.32,2,2,0
25,265.79,0.04,265.82,3.76,2,2,0
26,52.89,0.04,52.93,18.89,2,2,0
27,47.47,0.04,47.51,21.05,2,2,0
28,54.78,0.04,54.82,18.24,2,2,0
29,53.23,0.04,53.27,18.77,2,2,0
30,277.73,0.04,277.76,3.6,2,2,0
31,48.08,0.04,48.12,20.78,2,2,0
32,49.83,365.0,414.83,2.41,2,2,0
33,47.72,0.08,47.79,20.92,2,2,0
34,47.64,0.08,47.72,20.96,2,2,0
35,285.69,0.08,285.77,3.5,2,2,0
36,47.1,0.08,47.17,21.2,2,2,0
37,47.38,0.08,47.46,21.07,2,2,0
38,48.83,0.08,48.91,20.45,2,2,0
39,46.26,0.08,46.34,21.58,2,2,0
40,263.16,350.26,613.42,1.63,2,2,0
41,42.84,0.08,42.92,23.3,2,2,0
42,46.19,0.09,46.28,21.61,2,2,0
43,45.64,0.09,45.73,21.87,2,2,0
44,47.04,0.08,47.11,21.23,2,2,0
45,266.81,0.08,266.89,3.75,2,2,0
46,44.47,0.08,44.55,22.45,2,2,0
47,42.39,0.07,42.47,23.55,2,2,0
48,49.4,360.4,409.8,2.44,2,2,0
49,42.08,0.08,42.15,23.72,2,2,0
50,249.57,0.07,249.65,4.01,2,2,0
51,44.61,0.07,44.69,22.38,2,2,0
52,44.76,0.09,44.86,22.29,2,2,0
53,44.81,0.08,44.89,22.28,2,2,0
54,42.41,0.08,42.49,23.54,2,2,0
55,268.69,0.08,268.77,3.72,2,2,0
56,45.2,344.93,390.14,2.56,2,2,0
57,44.67,0.08,44.75,22.35,2,2,0
58,44.68,0.08,44.76,22.34,2,2,0
59,42.63,0.08,42.71,23.42,2,2,0
60,258.11,0.07,258.18,3.87,2,2,0
61,44.93,0.09,45.02,22.21,2,2,0
62,44.23,0.1,44.34,22.56,2,2,0
63,47.07,0.08,47.14,21.21,2,2,0
64,45.76,364.77,410.52,2.44,2,2,0
65,258.75,0.08,258.83,3.86,2,2,0
66,49.45,0.08,49.53,20.19,2,2,0
67,44.6,0.09,44.69,22.38,2,2,0
68,47.44,0.08,47.52,21.04,2,2,0
69,44.53,0.08,44.61,22.42,2,2,0
70,257.13,0.08,257.21,3.89,2,2,0
71,44.23,0.08,44.31,22.57,2,2,0
72,41.31,360.09,401.4,2.49,2,2,0
73,43.37,0.04,43.41,23.04,2,2,0
74,43.85,0.04,43.89,22.79,2,2,0
75,273.42,0.04,273.46,3.66,2,2,0
76,49.84,0.04,49.88,20.05,2,2,0
77,49.25,0.04,49.29,20.29,2,2,0
