frame_idx,class,x1,y1,x2,y2
8,NO-Mask,864,291,1339,904
16,NO-Mask,787,329,1242,931
16,NO-Hardhat,787,332,1241,930
24,NO-Mask,785,347,1221,899
32,NO-Mask,790,349,1233,928
32,NO-Hardhat,791,351,1233,926
40,NO-Mask,792,354,1243,934
40,NO-Hardhat,790,359,1243,934
48,NO-Mask,790,374,1245,939
48,NO-Hardhat,786,369,1245,940
56,NO-Hardhat,788,339,1239,933
56,NO-Mask,787,371,1237,929
64,NO-Mask,781,310,1237,935
64,NO-Hardhat,781,322,1236,934
72,NO-Mask,781,350,1230,940
80,NO-Mask,768,338,1198,907
88,NO-Mask,761,336,1174,920
88,NO-Hardhat,761,337,1174,920
96,NO-Mask,762,350,1192,929
96,NO-Hardhat,763,354,1190,928
104,NO-Mask,777,374,1235,942
112,NO-Mask,780,364,1231,933
112,NO-Hardhat,778,367,1230,931
120,NO-Hardhat,784,364,1236,937
120,NO-Mask,780,389,1235,932
128,NO-Mask,781,369,1235,937
128,NO-Hardhat,778,375,1235,936
136,NO-Mask,784,375,1232,932
136,NO-Hardhat,781,381,1232,931
144,NO-Mask,783,287,1239,967
144,NO-Hardhat,786,296,1239,965
152,NO-Mask,791,328,1236,933
152,NO-Hardhat,793,330,1235,933
160,NO-Mask,788,332,1221,914
160,NO-Hardhat,788,340,1222,914
168,NO-Hardhat,786,371,1237,935
168,NO-Mask,784,387,1237,932
176,NO-Mask,794,388,1243,934
176,NO-Hardhat,794,389,1242,932
184,NO-Mask,794,242,1291,940
184,NO-Hardhat,792,201,1292,942
192,NO-Mask,792,181,1307,932
192,NO-Hardhat,789,174,1309,935
200,NO-Hardhat,785,173,1309,942
200,NO-Mask,785,179,1302,942
208,NO-Hardhat,790,174,1312,948
208,NO-Mask,793,180,1311,946
216,NO-Mask,796,352,1303,943
224,NO-Mask,793,331,1301,948
232,NO-Mask,793,343,1301,951
240,NO-Mask,797,361,1301,946
240,NO-Hardhat,798,374,1297,945
248,NO-Mask,874,408,1387,959
248,NO-Hardhat,869,394,1390,958
256,NO-Mask,868,368,1341,930
264,NO-Mask,805,323,1255,919
264,NO-Hardhat,803,320,1254,922
272,NO-Mask,779,352,1199,898
272,NO-Hardhat,779,350,1199,898
280,NO-Mask,1147,601,1290,783
280,NO-Hardhat,1145,597,1292,783
288,NO-Mask,1128,480,1261,655
288,NO-Hardhat,1125,475,1262,654
296,NO-Mask,1212,540,1343,704
304,NO-Mask,1274,544,1409,705
304,NO-Mask,744,385,1051,937
312,NO-Mask,1365,595,1509,763
312,NO-Hardhat,773,391,1115,943
320,NO-Mask,879,371,1383,934
328,NO-Mask,872,231,1339,891
336,NO-Mask,841,276,1291,942
336,NO-Hardhat,841,266,1292,945
344,NO-Mask,832,266,1286,940
344,NO-Hardhat,831,254,1287,943
352,NO-Mask,835,315,1283,936
352,NO-Hardhat,835,290,1283,938
360,NO-Mask,837,272,1286,932
360,NO-Hardhat,836,257,1287,934
368,NO-Mask,837,264,1287,930
