ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758348758.7151492,90e2513d,0,1,0,1,Unknown,0.1674,1149,309,1500,842
1758348760.95313,90e2513d,5,1,0,1,Unknown,0.3159,1120,297,1466,810
1758348761.83917,90e2513d,10,1,1,0,anish,0.5021,955,343,1361,888
1758348762.274451,90e2513d,15,1,1,0,anish,0.5162,939,348,1347,892
1758348763.058976,90e2513d,20,1,1,0,anish,0.5422,896,362,1321,913
1758348763.890083,90e2513d,25,1,1,0,anish,0.5354,656,380,1128,977
1758348764.3713238,90e2513d,30,1,1,0,anish,0.5879,547,424,1028,996
1758348765.4182332,90e2513d,35,2,1,0,anish,0.5196,1195,405,1691,948
1758348765.97959,90e2513d,40,1,1,0,anish,0.5609,1162,380,1634,934
1758348766.766727,90e2513d,45,1,1,0,anish,0.5462,1049,339,1475,892
1758348767.58403,90e2513d,50,2,1,0,anish,0.5513,991,299,1423,875
1758348767.58403,90e2513d,50,2,1,0,anish,0.5513,807,342,1240,898
1758348767.988433,90e2513d,55,2,1,0,anish,0.5587,1007,289,1439,865
1758348767.988433,90e2513d,55,2,1,0,anish,0.5587,825,338,1249,879
1758348768.7916422,90e2513d,60,2,1,0,anish,0.579,994,188,1426,764
1758348768.7916422,90e2513d,60,2,1,0,anish,0.579,854,330,1241,774
1758348769.6181319,90e2513d,65,2,1,0,anish,0.5767,946,229,1378,805
1758348769.6181319,90e2513d,65,2,1,0,anish,0.5767,825,368,1209,811
1758348770.063924,90e2513d,70,2,1,0,anish,0.5783,891,358,1323,934
1758348770.063924,90e2513d,70,2,1,0,anish,0.5783,699,362,1167,957
1758348770.920575,90e2513d,75,2,1,0,anish,0.5243,795,344,1228,920
1758348770.920575,90e2513d,75,2,1,0,anish,0.5243,584,382,1064,982
1758348771.3380349,90e2513d,80,2,1,0,anish,0.5542,846,354,1268,902
1758348771.3380349,90e2513d,80,2,1,0,anish,0.5542,637,368,1117,968
1758348772.143276,90e2513d,85,2,1,0,anish,0.5483,851,349,1266,895
1758348772.143276,90e2513d,85,2,1,0,anish,0.5483,639,352,1119,952
1758348772.94102,90e2513d,90,2,1,0,anish,0.5535,863,347,1286,902
1758348772.94102,90e2513d,90,2,1,0,anish,0.5535,657,356,1137,956
1758348773.3933818,90e2513d,95,2,1,0,anish,0.5186,866,351,1288,907
1758348773.3933818,90e2513d,95,2,1,0,anish,0.5186,659,359,1139,959
1758348774.263276,90e2513d,100,2,1,0,anish,0.5739,861,358,1290,919
1758348774.263276,90e2513d,100,2,1,0,anish,0.5739,658,376,1138,976
1758348775.087052,90e2513d,105,2,1,0,anish,0.5636,867,369,1301,933
1758348775.087052,90e2513d,105,2,1,0,anish,0.5636,666,389,1146,989
1758348775.529954,90e2513d,110,2,1,0,anish,0.5886,856,367,1287,940
1758348775.529954,90e2513d,110,2,1,0,anish,0.5886,651,392,1131,992
1758348776.342488,90e2513d,115,3,0,1,Unknown,0.2429,653,413,1085,989
1758348776.342488,90e2513d,115,3,0,1,Unknown,0.2429,652,392,1132,992
1758348776.342488,90e2513d,115,3,0,1,Unknown,0.2429,1057,302,1431,833
1758348776.902236,90e2513d,120,3,1,0,anish,0.4536,653,413,1085,989
1758348776.902236,90e2513d,120,3,1,0,anish,0.4536,652,392,1132,992
1758348776.902236,90e2513d,120,3,1,0,anish,0.4536,964,348,1363,875
1758348777.867747,90e2513d,125,3,1,0,anish,0.5513,653,413,1085,989
1758348777.867747,90e2513d,125,3,1,0,anish,0.5513,651,392,1131,992
1758348777.867747,90e2513d,125,3,1,0,anish,0.5513,907,354,1321,898
1758348778.8394399,90e2513d,130,3,1,0,anish,0.5739,653,413,1085,989
1758348778.8394399,90e2513d,130,3,1,0,anish,0.5739,678,389,1158,989
1758348778.8394399,90e2513d,130,3,1,0,anish,0.5739,924,356,1325,896
1758348779.4375548,90e2513d,135,3,1,0,anish,0.4869,653,413,1085,989
1758348779.4375548,90e2513d,135,3,1,0,anish,0.4869,550,414,1030,1014
1758348779.4375548,90e2513d,135,3,1,0,anish,0.4869,827,357,1245,907
1758348780.396832,90e2513d,140,4,1,0,anish,0.5494,463,490,895,1066
1758348780.396832,90e2513d,140,4,1,0,anish,0.5494,446,456,926,1056
1758348780.396832,90e2513d,140,4,1,0,anish,0.5494,609,397,1041,973
1758348780.396832,90e2513d,140,4,1,0,anish,0.5494,819,353,1246,925
1758348781.3579588,90e2513d,145,5,1,0,anish,0.3792,1609,319,2105,937
1758348782.3999581,90e2513d,150,4,1,0,anish,0.5404,1138,306,1580,869
1758348783.707957,90e2513d,155,4,1,0,anish,0.5759,1049,347,1462,881
1758348784.617268,90e2513d,160,4,1,0,anish,0.5501,609,395,1041,971
1758348784.617268,90e2513d,160,4,1,0,anish,0.5501,1007,355,1426,888
1758348785.812565,90e2513d,165,4,1,0,anish,0.5513,609,395,1041,971
1758348785.812565,90e2513d,165,4,1,0,anish,0.5513,980,354,1401,885
1758348787.0032902,90e2513d,170,4,1,0,anish,0.5852,609,395,1041,971
1758348787.0032902,90e2513d,170,4,1,0,anish,0.5852,983,354,1405,889
1758348788.8485591,90e2513d,175,4,1,0,anish,0.5742,609,395,1041,971
1758348788.8485591,90e2513d,175,4,1,0,anish,0.5742,1004,355,1419,891
1758348791.353992,90e2513d,180,5,1,0,anish,0.5998,463,488,895,1064
1758348791.353992,90e2513d,180,5,1,0,anish,0.5998,446,454,926,1054
1758348791.353992,90e2513d,180,5,1,0,anish,0.5998,609,395,1041,971
1758348791.353992,90e2513d,180,5,1,0,anish,0.5998,895,354,1327,894
1758348791.353992,90e2513d,180,5,1,0,anish,0.5998,532,405,1024,963
1758348792.385013,90e2513d,185,2,1,0,anish,0.5719,897,354,1329,894
1758348792.385013,90e2513d,185,2,1,0,anish,0.5719,589,374,1068,958
1758348792.861774,90e2513d,190,3,1,0,anish,0.5191,1029,302,1461,842
1758348792.861774,90e2513d,190,3,1,0,anish,0.5191,592,389,1072,989
1758348792.861774,90e2513d,190,3,1,0,anish,0.5191,790,342,1220,909
1758348793.717538,90e2513d,195,3,1,0,anish,0.5874,1140,326,1572,866
1758348793.717538,90e2513d,195,3,1,0,anish,0.5874,703,365,1183,965
1758348793.717538,90e2513d,195,3,1,0,anish,0.5874,887,342,1315,911
1758348794.300684,90e2513d,200,3,1,0,anish,0.5957,1131,324,1563,864
1758348794.300684,90e2513d,200,3,1,0,anish,0.5957,695,366,1175,966
1758348794.300684,90e2513d,200,3,1,0,anish,0.5957,884,344,1309,910
1758348795.2410429,90e2513d,205,4,1,0,anish,0.5743,1097,316,1529,856
1758348795.2410429,90e2513d,205,4,1,0,anish,0.5743,659,371,1139,971
1758348795.2410429,90e2513d,205,4,1,0,anish,0.5743,884,344,1309,910
1758348795.2410429,90e2513d,205,4,1,0,anish,0.5743,859,339,1283,908
1758348796.222229,90e2513d,210,3,1,0,anish,0.577,1144,320,1576,860
1758348796.222229,90e2513d,210,3,1,0,anish,0.577,712,361,1192,961
1758348796.222229,90e2513d,210,3,1,0,anish,0.577,901,343,1319,904
1758348796.744308,90e2513d,215,3,1,0,anish,0.5836,1065,307,1497,847
1758348796.744308,90e2513d,215,3,1,0,anish,0.5836,628,372,1108,972
1758348796.744308,90e2513d,215,3,1,0,anish,0.5836,842,346,1259,901
1758348797.71221,90e2513d,220,3,1,0,anish,0.5767,985,295,1417,835
1758348797.71221,90e2513d,220,3,1,0,anish,0.5767,554,386,1034,986
1758348797.71221,90e2513d,220,3,1,0,anish,0.5767,777,344,1207,905
1758348798.609128,90e2513d,225,3,1,0,anish,0.4379,206,618,725,1086
1758348798.609128,90e2513d,225,3,1,0,anish,0.4379,527,419,959,995
1758348799.219625,90e2513d,230,3,1,0,anish,0.5202,703,360,1135,900
1758348799.219625,90e2513d,230,3,1,0,anish,0.5202,319,511,836,1036
1758348799.219625,90e2513d,230,3,1,0,anish,0.5202,641,387,1073,963
1758348800.156991,90e2513d,235,3,1,0,anish,0.5186,1075,395,1550,938
1758348800.9318862,90e2513d,240,3,1,0,anish,0.5276,1116,349,1546,890
1758348802.044041,90e2513d,245,4,1,0,anish,0.5833,1177,351,1609,927
1758348802.044041,90e2513d,245,4,1,0,anish,0.5833,1002,351,1413,896
1758348803.1746821,90e2513d,250,4,1,0,anish,0.5581,887,359,1300,898
1758348803.1746821,90e2513d,250,4,1,0,anish,0.5581,377,510,917,1050
1758348803.1746821,90e2513d,250,4,1,0,anish,0.5581,526,419,958,995
1758348803.1746821,90e2513d,250,4,1,0,anish,0.5581,1075,321,1507,897
1758348803.71883,90e2513d,255,4,1,0,anish,0.3974,568,479,994,979
1758348803.71883,90e2513d,255,4,1,0,anish,0.3974,253,597,793,1137
1758348803.71883,90e2513d,255,4,1,0,anish,0.3974,402,504,834,1080
1758348804.71788,90e2513d,260,4,1,0,anish,0.4228,581,466,1011,975
1758348804.71788,90e2513d,260,4,1,0,anish,0.4228,274,585,814,1125
1758348804.71788,90e2513d,260,4,1,0,anish,0.4228,424,494,856,1070
1758348805.8320918,90e2513d,265,4,0,1,Unknown,0.0498,538,433,979,968
1758348805.8320918,90e2513d,265,4,0,1,Unknown,0.0498,82,530,622,1070
1758348805.8320918,90e2513d,265,4,0,1,Unknown,0.0498,392,329,824,905
1758348806.513383,90e2513d,270,5,0,1,Unknown,0.154,439,573,889,1113
