frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,513.7,1638.39,2152.09,0.46,1,0,1
1,11.44,0.01,11.45,87.37,1,0,1
2,7.84,0.01,7.84,127.5,1,0,1
3,14.24,0.01,14.25,70.2,1,0,1
4,15.53,0.01,15.54,64.34,1,0,1
5,420.07,0.0,420.08,2.38,1,0,1
6,8.0,0.01,8.01,124.88,1,0,1
7,8.31,0.01,8.31,120.31,1,0,1
8,7.04,469.26,476.29,2.1,1,0,1
9,6.53,0.07,6.61,151.32,1,0,1
10,260.75,0.1,260.85,3.83,1,1,0
11,8.58,0.08,8.65,115.56,1,1,0
12,8.01,0.08,8.09,123.6,1,1,0
13,9.26,0.08,9.34,107.09,1,1,0
14,8.66,0.08,8.73,114.52,1,1,0
15,274.36,0.07,274.43,3.64,1,1,0
16,9.22,360.55,369.76,2.7,1,1,0
17,10.31,0.08,10.4,96.17,1,1,0
18,9.0,0.08,9.09,110.05,1,1,0
19,9.25,0.08,9.33,107.18,1,1,0
20,257.67,0.07,257.74,3.88,1,1,0
21,8.25,0.08,8.33,120.08,1,1,0
22,10.16,0.08,10.24,97.64,1,1,0
23,9.86,0.09,9.94,100.56,1,1,0
24,9.96,364.71,374.67,2.67,1,1,0
25,319.75,0.09,319.84,3.13,1,1,0
26,13.56,0.09,13.66,73.22,1,1,0
27,12.52,0.09,12.61,79.31,1,1,0
28,11.17,0.09,11.26,88.85,1,1,0
29,13.6,0.09,13.69,73.02,1,1,0
30,337.33,0.08,337.41,2.96,1,1,0
31,13.19,0.1,13.29,75.26,1,1,0
32,14.73,554.2,568.93,1.76,1,1,0
33,6.42,0.09,6.51,153.68,1,1,0
34,5.26,0.08,5.34,187.34,1,1,0
35,445.1,0.09,445.18,2.25,2,2,0
36,15.83,0.08,15.91,62.87,2,2,0
37,14.88,0.09,14.97,66.82,2,2,0
38,18.35,0.1,18.44,54.22,1,1,0
39,13.34,0.09,13.43,74.45,1,1,0
40,278.86,361.26,640.11,1.56,1,1,0
41,9.83,0.09,9.91,100.88,1,1,0
42,10.55,0.08,10.64,94.01,1,1,0
43,10.44,0.08,10.52,95.03,1,1,0
44,11.49,0.08,11.57,86.41,1,1,0
45,264.79,0.12,264.91,3.77,1,1,0
46,10.5,0.08,10.59,94.47,1,1,0
47,9.04,0.08,9.12,109.63,1,1,0
48,10.25,379.57,389.82,2.57,1,1,0
49,8.08,0.04,8.13,123.06,1,1,0
50,282.13,0.04,282.17,3.54,2,2,0
51,18.28,0.05,18.33,54.56,2,2,0
52,18.36,0.06,18.41,54.3,2,2,0
53,17.54,0.05,17.59,56.86,2,2,0
54,19.46,0.05,19.5,51.27,2,2,0
55,253.47,0.05,253.51,3.94,2,2,0
56,16.26,358.82,375.08,2.67,2,2,0
57,17.36,0.08,17.45,57.32,2,2,0
58,20.16,0.09,20.25,49.39,2,2,0
59,20.22,0.09,20.31,49.24,2,2,0
60,289.61,0.08,289.68,3.45,2,2,0
61,14.75,0.08,14.83,67.43,2,2,0
62,14.92,0.09,15.0,66.65,2,2,0
63,15.92,0.08,16.0,62.49,2,2,0
64,14.99,391.51,406.5,2.46,2,2,0
65,282.53,0.07,282.6,3.54,2,2,0
66,17.06,0.09,17.14,58.34,2,2,0
67,15.11,0.08,15.19,65.84,2,2,0
68,15.74,0.07,15.81,63.24,2,2,0
69,17.04,0.09,17.13,58.37,2,2,0
70,293.84,0.07,293.91,3.4,2,2,0
71,18.91,0.08,18.99,52.66,2,2,0
72,21.84,374.75,396.6,2.52,2,2,0
73,22.39,0.05,22.44,44.56,2,2,0
74,22.79,0.04,22.84,43.79,2,2,0
75,283.83,0.05,283.88,3.52,2,2,0
76,21.32,0.05,21.37,46.8,2,2,0
77,23.12,0.05,23.17,43.17,2,2,0
78,21.71,0.05,21.77,45.94,2,2,0
79,18.95,0.05,19.0,52.63,2,2,0
80,266.73,359.74,626.47,1.6,2,2,0
81,19.33,0.08,19.41,51.52,2,2,0
82,22.67,0.1,22.77,43.92,2,2,0
83,24.95,0.08,25.03,39.95,2,2,0
84,21.62,0.08,21.7,46.09,2,2,0
85,272.97,0.08,273.05,3.66,2,2,0
86,18.08,0.08,18.16,55.07,2,2,0
87,18.47,0.09,18.55,53.9,2,2,0
88,20.94,363.57,384.51,2.6,2,2,0
89,20.71,0.08,20.79,48.1,2,2,0
90,269.24,0.08,269.31,3.71,2,2,0
91,18.48,0.08,18.56,53.87,2,2,0
92,18.57,0.08,18.65,53.61,2,2,0
93,20.61,0.08,20.69,48.33,2,2,0
94,22.59,0.09,22.68,44.09,2,2,0
95,254.11,0.07,254.18,3.93,2,2,0
96,17.93,351.59,369.52,2.71,2,2,0
97,20.06,0.08,20.13,49.66,2,2,0
98,35.02,0.09,35.11,28.48,2,2,0
99,19.94,0.08,20.02,49.95,2,2,0
100,326.01,0.08,326.09,3.07,2,2,0
101,22.59,0.08,22.67,44.11,2,2,0
102,20.6,0.08,20.67,48.37,2,2,0
103,22.83,0.08,22.91,43.65,2,2,0
104,24.91,386.38,411.29,2.43,2,2,0
105,282.39,0.08,282.47,3.54,2,2,0
106,20.89,0.08,20.97,47.7,2,2,0
107,20.84,0.08,20.92,47.8,2,2,0
108,24.44,0.08,24.52,40.78,2,2,0
109,21.15,0.09,21.25,47.07,2,2,0
110,291.55,0.08,291.63,3.43,2,2,0
111,22.74,0.08,22.81,43.83,2,2,0
112,25.46,373.89,399.35,2.5,2,2,0
113,14.92,0.08,15.0,66.67,2,2,0
114,22.18,0.08,22.25,44.94,2,2,0
115,268.97,0.08,269.05,3.72,3,0,3
116,29.27,0.12,29.39,34.02,3,0,3
117,27.48,0.09,27.57,36.27,3,0,3
118,27.15,0.09,27.23,36.72,3,0,3
119,26.34,0.08,26.43,37.84,3,0,3
120,258.39,379.13,637.52,1.57,3,3,0
121,28.39,0.08,28.47,35.13,3,3,0
122,26.61,0.08,26.69,37.46,3,3,0
123,27.88,0.08,27.96,35.77,3,3,0
124,25.88,0.08,25.96,38.52,3,3,0
125,293.58,0.08,293.67,3.41,3,3,0
126,26.8,0.11,26.9,37.17,3,3,0
127,27.62,0.08,27.69,36.11,3,3,0
128,28.5,377.28,405.78,2.46,3,3,0
129,27.0,0.08,27.09,36.92,3,3,0
130,296.94,0.08,297.02,3.37,3,3,0
131,32.12,0.08,32.21,31.05,3,3,0
132,30.42,0.1,30.52,32.77,3,3,0
133,28.13,0.08,28.2,35.46,3,3,0
134,31.27,0.08,31.35,31.9,3,3,0
135,295.02,0.1,295.13,3.39,3,3,0
136,28.91,355.28,384.18,2.6,3,3,0
137,34.16,0.09,34.25,29.2,3,3,0
138,27.76,0.09,27.86,35.9,3,3,0
139,32.62,0.09,32.71,30.57,3,3,0
140,317.28,0.09,317.37,3.15,4,4,0
141,30.89,0.08,30.97,32.29,4,4,0
142,37.03,0.08,37.11,26.95,4,4,0
143,30.44,0.09,30.52,32.76,4,4,0
144,35.53,358.97,394.5,2.53,4,4,0
145,762.38,0.06,762.44,1.31,5,5,0
146,46.93,0.05,46.98,21.28,4,4,0
147,40.6,0.05,40.65,24.6,4,4,0
148,37.42,0.05,37.46,26.69,4,4,0
149,43.09,0.05,43.14,23.18,4,4,0
150,620.11,0.06,620.18,1.61,4,4,0
151,41.89,0.04,41.93,23.85,4,4,0
152,35.95,421.46,457.41,2.19,4,4,0
153,38.76,0.1,38.86,25.73,4,4,0
154,39.19,0.08,39.27,25.46,4,4,0
155,619.15,0.11,619.26,1.61,4,4,0
156,35.59,0.08,35.67,28.04,4,4,0
157,36.48,0.08,36.57,27.35,4,4,0
158,40.24,0.08,40.31,24.81,4,4,0
159,41.81,0.09,41.9,23.87,4,4,0
