ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758357579.7465248,93564cdd,2,1,1,0,anish,0.5839,503,-4,983,620
1758357579.88656,93564cdd,3,1,1,0,anish,0.5839,529,-3,1009,621
1758357580.199808,93564cdd,4,1,1,0,anish,0.5607,531,1,1012,621
1758357580.346648,93564cdd,5,1,1,0,anish,0.5607,532,-2,1013,618
1758357580.6342762,93564cdd,6,1,1,0,anish,0.546,514,23,1007,636
1758357580.766403,93564cdd,7,1,1,0,anish,0.546,538,37,1031,650
1758357581.537442,93564cdd,8,1,1,0,anish,0.5066,540,37,1035,647
1758357581.691817,93564cdd,9,1,1,0,anish,0.5066,552,341,1047,951
1758357582.08547,93564cdd,10,1,1,0,anish,0.5453,576,366,1004,905
1758357582.180373,93564cdd,11,1,1,0,anish,0.5453,540,370,960,898
1758357582.487006,93564cdd,12,1,1,0,anish,0.5469,441,368,893,899
1758357582.6070342,93564cdd,13,1,1,0,anish,0.5469,267,349,747,913
1758357582.93002,93564cdd,14,1,1,0,anish,0.5232,198,357,701,914
1758357583.1023738,93564cdd,15,1,1,0,anish,0.5232,121,341,665,944
1758357583.815556,93564cdd,16,1,1,0,anish,0.5533,73,360,588,935
1758357583.945623,93564cdd,17,1,1,0,anish,0.5533,457,521,972,1096
1758357584.212513,93564cdd,18,1,1,0,santosh,0.4845,1748,783,1965,1022
1758357584.250488,93564cdd,19,1,1,0,santosh,0.4845,1617,726,1838,970
1758357584.52845,93564cdd,20,1,1,0,santosh,0.3956,1585,671,1782,902
1758357584.5637188,93564cdd,21,1,1,0,santosh,0.3956,1417,546,1610,772
1758357584.84159,93564cdd,22,1,0,1,Unknown,0.3379,1328,562,1512,782
1758357584.898436,93564cdd,23,1,0,1,Unknown,0.3379,1172,548,1352,764
1758357585.576211,93564cdd,24,1,1,0,santosh,0.7667,1177,545,1349,763
1758357585.6353018,93564cdd,25,1,1,0,santosh,0.7667,1177,565,1346,779
1758357585.915133,93564cdd,26,1,1,0,santosh,0.741,1177,566,1348,784
1758357585.9763699,93564cdd,27,1,1,0,santosh,0.741,1178,568,1349,786
1758357586.243692,93564cdd,28,1,1,0,santosh,0.7571,1180,569,1350,786
1758357586.306335,93564cdd,29,1,1,0,santosh,0.7571,1180,569,1350,786
1758357586.577707,93564cdd,30,1,1,0,santosh,0.7962,1181,568,1349,786
1758357586.6346838,93564cdd,31,1,1,0,santosh,0.7962,1182,567,1350,785
1758357587.343812,93564cdd,32,1,1,0,santosh,0.797,1181,567,1350,788
1758357587.42416,93564cdd,33,1,1,0,santosh,0.797,1180,560,1346,777
1758357588.003464,93564cdd,34,1,1,0,santosh,0.7695,1178,559,1346,771
1758357588.070854,93564cdd,35,1,1,0,santosh,0.7695,1175,553,1343,765
1758357588.3510349,93564cdd,36,1,1,0,santosh,0.7381,1175,558,1343,765
1758357588.412216,93564cdd,37,1,1,0,santosh,0.7381,1177,570,1345,777
1758357588.6856582,93564cdd,38,1,1,0,santosh,0.7461,1177,569,1347,777
1758357588.7348769,93564cdd,39,1,1,0,santosh,0.7461,1179,564,1349,772
1758357589.4162931,93564cdd,40,1,1,0,santosh,0.7334,1178,562,1348,770
1758357589.476417,93564cdd,41,1,1,0,santosh,0.7334,1186,571,1359,783
1758357589.739569,93564cdd,42,1,1,0,santosh,0.8159,1187,570,1358,789
1758357589.806265,93564cdd,43,1,1,0,santosh,0.8159,1188,570,1359,789
1758357590.091298,93564cdd,44,1,1,0,santosh,0.8275,1191,570,1358,791
1758357590.132621,93564cdd,45,1,1,0,santosh,0.8275,1201,573,1368,794
1758357590.404968,93564cdd,46,1,1,0,santosh,0.7871,1202,580,1368,795
