frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,197.09,547.12,744.21,1.34,0,0,0
1,0.94,0.09,1.03,971.8,0,0,0
2,669.14,2.12,671.25,1.49,1,1,0
3,115.86,0.2,116.06,8.62,1,1,0
4,299.21,0.33,299.54,3.34,1,1,0
5,107.16,0.3,107.46,9.31,1,1,0
6,266.39,0.26,266.65,3.75,1,1,0
7,91.55,0.18,91.73,10.9,1,1,0
8,291.42,437.62,729.04,1.37,1,1,0
9,120.01,0.43,120.44,8.3,1,1,0
10,383.39,0.53,383.93,2.6,1,1,0
11,76.82,0.41,77.23,12.95,1,1,0
12,281.81,0.24,282.05,3.55,1,1,0
13,105.56,0.26,105.82,9.45,1,1,0
14,286.47,0.31,286.78,3.49,1,1,0
15,130.75,2.63,133.38,7.5,1,1,0
16,312.1,365.24,677.34,1.48,1,1,0
17,106.88,0.23,107.11,9.34,1,1,0
18,242.9,0.19,243.09,4.11,1,1,0
19,31.63,0.23,31.86,31.38,1,1,0
20,240.5,0.18,240.68,4.15,1,1,0
21,26.55,0.15,26.71,37.44,1,1,0
22,229.81,0.17,229.98,4.35,1,0,1
23,27.3,0.15,27.44,36.44,1,0,1
24,241.98,396.91,638.89,1.57,1,1,0
25,26.47,0.2,26.67,37.49,1,1,0
26,240.35,0.2,240.55,4.16,1,1,0
27,34.57,0.21,34.77,28.76,1,1,0
28,231.52,0.2,231.71,4.32,1,1,0
29,28.83,0.2,29.04,34.44,1,1,0
30,232.57,0.23,232.8,4.3,1,1,0
31,27.83,0.2,28.03,35.67,1,1,0
32,248.71,422.37,671.08,1.49,1,1,0
33,46.47,0.48,46.95,21.3,1,1,0
34,560.82,0.41,561.24,1.78,1,1,0
35,28.41,0.28,28.69,34.85,1,1,0
36,243.06,0.22,243.28,4.11,1,1,0
37,39.47,0.29,39.76,25.15,1,1,0
38,240.34,0.19,240.53,4.16,1,1,0
39,28.43,0.22,28.65,34.9,1,1,0
40,245.89,411.37,657.27,1.52,1,1,0
41,28.55,0.22,28.77,34.75,1,1,0
42,226.45,0.26,226.71,4.41,1,1,0
43,26.93,0.26,27.19,36.78,1,1,0
44,246.54,0.29,246.83,4.05,1,1,0
45,26.49,0.21,26.7,37.46,1,1,0
46,226.72,0.31,227.03,4.4,1,1,0
47,25.76,0.24,25.99,38.47,1,1,0
48,219.51,395.38,614.89,1.63,1,1,0
49,34.78,0.21,34.99,28.58,1,1,0
50,222.98,0.21,223.19,4.48,1,1,0
51,25.35,0.21,25.57,39.11,1,1,0
52,221.01,0.2,221.21,4.52,1,1,0
53,25.61,0.22,25.83,38.72,1,1,0
54,221.84,0.19,222.03,4.5,1,1,0
55,26.36,0.22,26.58,37.62,1,1,0
56,212.69,355.7,568.39,1.76,1,1,0
57,4.0,0.2,4.2,238.33,1,1,0
58,249.0,0.15,249.15,4.01,1,0,1
59,4.0,0.18,4.18,239.11,1,0,1
60,133.83,0.09,133.92,7.47,0,0,0
61,0.49,0.07,0.55,1804.78,0,0,0
62,334.66,0.19,334.84,2.99,1,1,0
63,125.51,0.24,125.75,7.95,1,1,0
64,270.38,376.27,646.65,1.55,1,1,0
65,67.87,0.19,68.06,14.69,1,1,0
66,295.45,0.17,295.61,3.38,1,1,0
67,111.08,0.19,111.26,8.99,1,1,0
68,281.1,0.16,281.26,3.56,1,1,0
69,99.55,0.36,99.91,10.01,1,1,0
70,291.93,0.44,292.37,3.42,1,1,0
71,87.32,0.19,87.52,11.43,1,1,0
72,264.46,365.73,630.18,1.59,1,1,0
73,96.73,0.23,96.95,10.31,1,1,0
74,286.94,0.32,287.27,3.48,1,1,0
75,91.07,0.28,91.35,10.95,1,1,0
76,292.01,0.24,292.25,3.42,1,1,0
77,104.56,0.22,104.78,9.54,1,1,0
78,283.11,0.26,283.37,3.53,1,1,0
79,88.06,0.24,88.3,11.32,1,1,0
80,303.71,367.25,670.96,1.49,1,1,0
81,92.63,0.2,92.83,10.77,1,1,0
82,293.77,0.22,293.99,3.4,1,1,0
83,90.99,0.19,91.18,10.97,1,1,0
84,279.3,0.22,279.52,3.58,1,1,0
85,86.93,0.2,87.13,11.48,1,1,0
