frame_idx,class,x1,y1,x2,y2
8,NO-Mask,472,3,1077,703
8,NO-Hardhat,473,4,1076,701
16,NO-Mask,2,319,634,983
16,NO-Hardhat,2,324,633,981
24,NO-Mask,1164,559,1357,773
24,NO-Hardhat,1161,560,1359,775
32,NO-Hardhat,1164,576,1360,801
32,NO-Mask,1164,577,1360,800
40,NO-Mask,1160,566,1361,789
40,NO-Hardhat,1157,569,1367,793
48,NO-Mask,1225,597,1428,823
48,NO-Hardhat,1226,597,1427,822
56,NO-Mask,1242,576,1440,807
56,NO-Hardhat,1239,578,1443,810
64,NO-Mask,738,17,1357,647
72,NO-Mask,778,17,1333,678
72,NO-Hardhat,750,12,1336,678
80,NO-Mask,699,5,1286,829
