ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758357601.750855,9a8cb23e,2,1,1,0,anish,0.606,789,36,1227,654
1758357601.980133,9a8cb23e,3,1,1,0,anish,0.606,752,35,1190,653
1758357602.506756,9a8cb23e,4,1,1,0,anish,0.5949,756,32,1207,652
1758357602.662125,9a8cb23e,5,1,1,0,anish,0.5949,760,31,1211,651
1758357603.046004,9a8cb23e,6,1,1,0,anish,0.5868,763,33,1208,653
1758357603.1761541,9a8cb23e,7,1,1,0,anish,0.5868,850,28,1295,648
1758357603.8939478,9a8cb23e,8,1,1,0,anish,0.5206,874,68,1319,662
1758357604.013788,9a8cb23e,9,1,1,0,anish,0.5206,917,88,1353,670
1758357604.285085,9a8cb23e,10,1,1,0,anish,0.5035,915,71,1352,679
1758357604.396765,9a8cb23e,11,1,1,0,anish,0.5035,923,72,1360,680
1758357604.694128,9a8cb23e,12,1,1,0,anish,0.4953,924,81,1353,678
1758357604.808369,9a8cb23e,13,1,1,0,anish,0.4953,930,80,1359,677
1758357605.1251872,9a8cb23e,14,1,1,0,anish,0.515,933,92,1360,677
1758357605.244639,9a8cb23e,15,1,1,0,anish,0.515,979,151,1381,702
1758357605.972115,9a8cb23e,16,1,1,0,anish,0.5042,974,133,1413,725
1758357606.093411,9a8cb23e,17,1,1,0,anish,0.5042,677,85,1134,701
1758357606.446233,9a8cb23e,18,1,1,0,anish,0.5234,752,47,1214,686
1758357606.56253,9a8cb23e,19,1,1,0,anish,0.5234,731,48,1184,674
1758357606.8817458,9a8cb23e,20,1,1,0,anish,0.5712,731,41,1184,674
1758357606.9839501,9a8cb23e,21,1,1,0,anish,0.5712,747,53,1182,661
1758357607.282828,9a8cb23e,22,1,1,0,anish,0.5594,743,33,1196,670
1758357607.394228,9a8cb23e,23,1,1,0,anish,0.5594,765,24,1227,674
1758357608.0736158,9a8cb23e,24,1,1,0,anish,0.5795,777,36,1226,669
1758357608.195091,9a8cb23e,25,1,1,0,anish,0.5795,789,27,1247,673
1758357608.5062249,9a8cb23e,26,1,1,0,anish,0.5614,796,36,1245,668
1758357608.610098,9a8cb23e,27,1,1,0,anish,0.5614,818,35,1258,655
1758357608.9155068,9a8cb23e,28,1,1,0,anish,0.5779,815,38,1262,646
1758357609.139808,9a8cb23e,29,1,1,0,anish,0.5779,918,40,1365,648
1758357609.659271,9a8cb23e,30,1,1,0,anish,0.5251,896,50,1337,647
1758357609.818089,9a8cb23e,31,1,1,0,anish,0.5251,898,51,1339,648
1758357610.574103,9a8cb23e,32,1,1,0,anish,0.552,898,49,1332,642
1758357610.6984582,9a8cb23e,33,1,1,0,anish,0.552,926,45,1369,650
1758357611.0514328,9a8cb23e,34,1,1,0,anish,0.5113,943,72,1383,665
1758357611.1596951,9a8cb23e,35,1,1,0,anish,0.5113,1011,111,1442,692
1758357611.504812,9a8cb23e,36,1,1,0,anish,0.4559,1004,87,1456,710
1758357611.6294148,9a8cb23e,37,1,1,0,anish,0.4559,1000,72,1452,695
1758357611.962943,9a8cb23e,38,1,1,0,anish,0.478,1003,97,1423,662
1758357612.0821388,9a8cb23e,39,1,1,0,anish,0.478,939,67,1367,643
1758357612.769255,9a8cb23e,40,1,0,1,Unknown,0.3049,938,89,1468,655
1758357612.9155579,9a8cb23e,41,1,0,1,Unknown,0.3049,917,80,1468,669
1758357613.290446,9a8cb23e,42,1,1,0,anish,0.4733,865,36,1324,694
1758357613.470151,9a8cb23e,43,1,1,0,anish,0.4733,684,27,1162,712
1758357613.7885382,9a8cb23e,44,1,1,0,anish,0.4916,718,41,1195,671
1758357613.880311,9a8cb23e,45,1,1,0,anish,0.4916,751,81,1183,652
1758357614.181414,9a8cb23e,46,1,1,0,anish,0.5037,730,59,1201,688
1758357614.299563,9a8cb23e,47,1,1,0,anish,0.5037,730,54,1210,696
1758357615.008547,9a8cb23e,48,1,1,0,anish,0.512,734,63,1210,704
1758357615.139446,9a8cb23e,49,1,1,0,anish,0.512,753,88,1211,704
1758357615.490995,9a8cb23e,50,1,1,0,anish,0.4379,739,75,1210,700
1758357615.634102,9a8cb23e,51,1,1,0,anish,0.4379,733,73,1213,711
1758357615.948409,9a8cb23e,52,1,1,0,anish,0.4292,744,77,1209,713
1758357616.077271,9a8cb23e,53,1,1,0,anish,0.4292,742,72,1216,721
1758357616.3776572,9a8cb23e,54,1,1,0,anish,0.43,751,83,1212,721
1758357616.487862,9a8cb23e,55,1,1,0,anish,0.43,758,91,1210,716
1758357617.129598,9a8cb23e,56,1,1,0,anish,0.3928,763,91,1215,723
1758357617.260121,9a8cb23e,57,1,1,0,anish,0.3928,770,100,1213,720
1758357617.60271,9a8cb23e,58,1,1,0,anish,0.4091,761,96,1217,731
1758357617.746421,9a8cb23e,59,1,1,0,anish,0.4091,754,97,1219,745
1758357618.1049228,9a8cb23e,60,1,1,0,anish,0.405,760,91,1215,736
1758357618.238698,9a8cb23e,61,1,1,0,anish,0.405,762,91,1217,736
1758357618.549694,9a8cb23e,62,1,1,0,anish,0.4294,765,91,1219,739
1758357618.686356,9a8cb23e,63,1,1,0,anish,0.4294,766,90,1220,738
1758357619.391634,9a8cb23e,64,1,1,0,anish,0.4119,769,96,1221,737
1758357619.541344,9a8cb23e,65,1,1,0,anish,0.4119,776,102,1219,730
1758357619.868792,9a8cb23e,66,1,1,0,anish,0.4144,774,99,1219,734
1758357619.989142,9a8cb23e,67,1,1,0,anish,0.4144,772,99,1217,734
1758357620.299667,9a8cb23e,68,1,1,0,anish,0.3925,773,96,1220,737
1758357620.4517288,9a8cb23e,69,1,1,0,anish,0.3925,773,97,1220,738
1758357620.776324,9a8cb23e,70,1,1,0,anish,0.4053,773,99,1219,735
1758357620.906946,9a8cb23e,71,1,1,0,anish,0.4053,771,99,1217,735
1758357621.6054678,9a8cb23e,72,1,1,0,anish,0.5964,765,94,1226,720
1758357621.7440882,9a8cb23e,73,1,1,0,anish,0.5964,734,87,1204,726
1758357622.062877,9a8cb23e,74,1,1,0,anish,0.5863,745,91,1211,713
1758357622.27739,9a8cb23e,75,1,1,0,anish,0.5863,748,90,1214,712
1758357622.6515148,9a8cb23e,76,1,1,0,anish,0.5745,760,91,1218,712
1758357622.76754,9a8cb23e,77,1,1,0,anish,0.5745,766,93,1224,714
1758357623.135533,9a8cb23e,78,1,1,0,anish,0.5497,770,90,1234,712
1758357623.294306,9a8cb23e,79,1,1,0,anish,0.5497,773,90,1237,712
1758357624.065527,9a8cb23e,80,1,1,0,anish,0.5345,765,84,1235,711
1758357624.191387,9a8cb23e,81,1,1,0,anish,0.5345,761,84,1231,711
1758357624.515309,9a8cb23e,82,1,1,0,anish,0.5649,766,93,1228,713
1758357624.71431,9a8cb23e,83,1,1,0,anish,0.5649,765,94,1227,714
1758357625.2283368,9a8cb23e,84,1,1,0,anish,0.5613,767,89,1227,725
1758357625.4026072,9a8cb23e,85,1,1,0,anish,0.5613,783,107,1225,718
1758357625.75572,9a8cb23e,86,1,1,0,anish,0.5722,784,100,1240,734
1758357625.865346,9a8cb23e,87,1,1,0,anish,0.5722,786,96,1242,730
1758357626.662289,9a8cb23e,88,1,1,0,anish,0.5686,781,83,1236,719
1758357626.776384,9a8cb23e,89,1,1,0,anish,0.5686,787,79,1242,715
1758357627.13292,9a8cb23e,90,1,1,0,anish,0.5583,781,85,1237,721
1758357627.264905,9a8cb23e,91,1,1,0,anish,0.5583,778,88,1234,724
1758357627.58438,9a8cb23e,92,1,1,0,anish,0.5513,781,101,1237,722
1758357627.841333,9a8cb23e,93,1,1,0,anish,0.5513,791,104,1247,725
1758357628.312377,9a8cb23e,94,1,1,0,anish,0.601,796,93,1253,717
