frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,175.97,539.08,715.05,1.4,0,0,0
1,0.93,0.32,1.25,801.97,0,0,0
2,935.98,1.44,937.42,1.07,1,1,0
3,155.28,33.72,188.99,5.29,1,1,0
4,479.8,0.31,480.11,2.08,1,1,0
5,138.02,0.21,138.24,7.23,1,1,0
6,354.33,0.22,354.55,2.82,1,1,0
7,115.39,0.51,115.9,8.63,1,1,0
8,309.05,396.4,705.45,1.42,1,1,0
9,87.74,0.21,87.95,11.37,1,1,0
10,260.74,0.19,260.93,3.83,1,1,0
11,73.04,0.2,73.23,13.66,1,1,0
12,267.7,0.19,267.9,3.73,1,1,0
13,79.32,0.25,79.58,12.57,1,1,0
14,302.09,0.18,302.27,3.31,1,1,0
15,88.72,0.21,88.94,11.24,1,1,0
16,313.9,398.7,712.6,1.4,1,1,0
17,103.41,0.22,103.63,9.65,1,1,0
18,321.64,0.24,321.88,3.11,1,1,0
19,102.56,0.24,102.8,9.73,1,1,0
20,290.13,0.22,290.35,3.44,1,1,0
21,92.49,0.23,92.72,10.79,1,1,0
22,289.9,1.24,291.14,3.43,1,1,0
23,102.31,0.22,102.53,9.75,1,1,0
24,280.37,362.41,642.77,1.56,1,1,0
25,102.11,0.21,102.31,9.77,1,1,0
26,274.81,0.24,275.05,3.64,1,1,0
27,84.02,0.23,84.25,11.87,1,1,0
28,280.91,0.33,281.23,3.56,1,1,0
29,213.56,0.93,214.49,4.66,1,1,0
30,496.63,0.45,497.08,2.01,1,1,0
31,119.38,0.22,119.6,8.36,1,1,0
32,324.21,424.64,748.85,1.34,1,1,0
33,103.54,0.22,103.76,9.64,1,1,0
34,322.06,0.26,322.31,3.1,1,1,0
35,96.62,0.35,96.97,10.31,1,1,0
36,307.98,0.22,308.19,3.24,1,1,0
37,100.81,0.22,101.03,9.9,1,1,0
38,300.24,0.22,300.45,3.33,1,1,0
39,84.8,0.23,85.03,11.76,1,1,0
40,298.53,376.08,674.61,1.48,1,0,1
41,121.64,0.21,121.86,8.21,1,0,1
42,363.49,0.61,364.1,2.75,1,1,0
43,138.97,0.21,139.18,7.18,1,1,0
44,289.87,0.69,290.56,3.44,1,1,0
45,85.75,0.25,86.0,11.63,1,1,0
46,286.25,0.3,286.56,3.49,1,1,0
47,105.17,0.23,105.4,9.49,1,1,0
48,267.5,410.03,677.53,1.48,1,1,0
49,109.05,0.24,109.29,9.15,1,1,0
50,328.04,0.31,328.34,3.05,1,1,0
51,100.83,0.23,101.06,9.9,1,1,0
52,283.65,0.26,283.9,3.52,1,1,0
53,114.89,0.27,115.16,8.68,1,1,0
54,282.3,0.23,282.53,3.54,1,1,0
55,91.53,0.23,91.76,10.9,1,1,0
56,274.55,358.96,633.51,1.58,1,1,0
57,91.97,0.21,92.19,10.85,1,1,0
58,303.21,0.23,303.44,3.3,1,1,0
59,114.39,0.37,114.76,8.71,1,1,0
60,342.28,0.36,342.64,2.92,1,1,0
61,103.46,0.24,103.7,9.64,1,1,0
62,280.15,0.28,280.42,3.57,1,1,0
63,120.72,0.46,121.19,8.25,1,1,0
64,291.94,402.82,694.76,1.44,1,1,0
65,104.32,0.24,104.56,9.56,1,1,0
66,304.12,0.25,304.37,3.29,1,1,0
67,89.31,0.21,89.51,11.17,1,1,0
68,301.83,0.25,302.08,3.31,1,1,0
69,117.11,0.43,117.53,8.51,1,1,0
70,309.66,0.2,309.86,3.23,1,1,0
71,108.62,0.21,108.82,9.19,1,1,0
72,301.13,372.03,673.16,1.49,1,1,0
73,112.4,0.22,112.62,8.88,1,1,0
74,296.82,0.22,297.04,3.37,1,1,0
75,173.53,0.91,174.44,5.73,1,1,0
76,351.79,0.23,352.02,2.84,1,1,0
77,99.9,0.29,100.19,9.98,1,1,0
78,334.37,0.24,334.61,2.99,1,1,0
79,125.1,0.25,125.35,7.98,1,1,0
80,320.48,411.42,731.9,1.37,1,1,0
81,89.63,0.23,89.86,11.13,1,1,0
82,314.85,0.29,315.14,3.17,1,1,0
83,175.08,1.13,176.21,5.67,1,1,0
84,490.98,0.96,491.94,2.03,1,1,0
85,130.87,0.34,131.2,7.62,1,1,0
86,318.65,0.21,318.86,3.14,1,1,0
87,98.22,0.22,98.45,10.16,1,1,0
88,313.3,446.19,759.5,1.32,1,1,0
89,105.82,0.23,106.06,9.43,1,1,0
90,330.68,0.39,331.07,3.02,1,1,0
91,96.65,0.26,96.91,10.32,1,1,0
92,281.1,0.23,281.33,3.55,1,1,0
93,239.04,0.57,239.61,4.17,1,1,0
94,439.78,0.3,440.08,2.27,1,1,0
