frame_idx,class,x1,y1,x2,y2
8,NO-Mask,778,22,1374,709
16,NO-Mask,888,81,1458,746
16,NO-Hardhat,879,80,1460,748
24,NO-Mask,715,8,1266,815
32,NO-Mask,804,13,1381,682
32,NO-Hardhat,788,10,1386,683
40,NO-Hardhat,861,9,1443,710
40,NO-Mask,864,9,1437,702
48,NO-Hardhat,672,6,1261,764
48,NO-Mask,677,5,1278,761
56,NO-Hardhat,713,11,1266,709
64,NO-Hardhat,708,7,1272,645
72,NO-Hardhat,714,7,1268,786
72,NO-Mask,717,6,1270,779
80,NO-Hardhat,725,9,1278,780
80,NO-Mask,728,10,1280,772
88,NO-Mask,741,7,1289,770
88,NO-Hardhat,739,9,1288,773
