ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758357428.874072,9b040b0a,2,1,1,0,anish,0.5625,380,280,809,805
1758357429.119169,9b040b0a,3,1,1,0,anish,0.5625,424,298,836,803
1758357429.6553159,9b040b0a,4,1,1,0,anish,0.548,469,306,885,820
1758357429.780622,9b040b0a,5,1,1,0,anish,0.548,503,307,919,821
1758357430.164099,9b040b0a,6,1,1,0,anish,0.5588,494,308,915,816
1758357430.2773912,9b040b0a,7,1,1,0,anish,0.5588,455,312,876,820
1758357431.019627,9b040b0a,8,1,1,0,anish,0.5078,453,335,895,847
1758357431.1616771,9b040b0a,9,1,1,0,anish,0.5078,486,364,937,886
1758357431.54057,9b040b0a,10,1,1,0,anish,0.451,464,373,913,883
1758357431.641933,9b040b0a,11,1,1,0,anish,0.451,417,359,875,879
1758357431.958283,9b040b0a,12,1,1,0,anish,0.5073,378,362,831,871
1758357432.0863302,9b040b0a,13,1,1,0,anish,0.5073,356,364,809,873
1758357432.386508,9b040b0a,14,1,1,0,anish,0.5132,359,353,809,877
1758357432.5105002,9b040b0a,15,1,1,0,anish,0.5132,317,323,767,847
1758357433.236654,9b040b0a,16,1,1,0,anish,0.5064,295,321,759,848
1758357433.346559,9b040b0a,17,1,1,0,anish,0.5064,303,313,776,851
1758357433.649379,9b040b0a,18,1,1,0,anish,0.5071,301,321,783,859
1758357433.7468202,9b040b0a,19,1,1,0,anish,0.5071,296,319,778,857
1758357434.087013,9b040b0a,20,1,1,0,anish,0.5201,299,313,774,852
1758357434.2329102,9b040b0a,21,1,1,0,anish,0.5201,274,296,758,846
1758357434.5767412,9b040b0a,22,1,1,0,anish,0.5144,267,291,740,837
1758357434.696116,9b040b0a,23,1,1,0,anish,0.5144,314,319,778,854
1758357435.400393,9b040b0a,24,1,1,0,anish,0.5094,303,308,758,839
1758357435.4398441,9b040b0a,25,1,1,0,anish,0.5094,303,308,758,839
1758357435.6924229,9b040b0a,26,1,0,1,Unknown,0.0462,1182,651,1398,882
1758357435.737581,9b040b0a,27,1,0,1,Unknown,0.0462,1070,645,1290,881
1758357435.995463,9b040b0a,28,1,0,1,Unknown,0.0335,1072,649,1283,876
1758357436.0652711,9b040b0a,29,1,0,1,Unknown,0.0335,1071,632,1282,859
1758357436.3170402,9b040b0a,30,1,0,1,Unknown,0.0109,1071,625,1281,856
1758357436.353878,9b040b0a,31,1,0,1,Unknown,0.0109,1072,631,1282,862
1758357436.9526882,9b040b0a,32,1,0,1,Unknown,0.0045,1070,629,1281,863
1758357437.0001972,9b040b0a,33,1,0,1,Unknown,0.0045,1073,649,1284,883
1758357437.2620218,9b040b0a,34,1,0,1,Unknown,0.0407,1072,654,1283,885
1758357437.326287,9b040b0a,35,1,0,1,Unknown,0.0407,1072,654,1283,885
1758357437.596545,9b040b0a,36,1,0,1,Unknown,0.0566,1072,656,1284,885
1758357437.6589592,9b040b0a,37,1,0,1,Unknown,0.0566,1073,658,1285,887
1758357437.953515,9b040b0a,38,1,0,1,Unknown,0.0423,1072,660,1287,886
1758357438.0034711,9b040b0a,39,1,0,1,Unknown,0.0423,1074,665,1285,887
1758357438.683127,9b040b0a,40,1,0,1,Unknown,0.0385,1073,663,1285,890
1758357438.7265532,9b040b0a,41,1,0,1,Unknown,0.0385,1071,661,1287,893
1758357439.006794,9b040b0a,42,1,0,1,Unknown,0.0229,1073,666,1285,892
1758357439.062407,9b040b0a,43,1,0,1,Unknown,0.0229,1073,665,1285,891
1758357439.366314,9b040b0a,44,1,0,1,Unknown,0.0371,1072,662,1284,892
1758357439.4401479,9b040b0a,45,1,0,1,Unknown,0.0371,1075,667,1283,892
1758357439.701698,9b040b0a,46,1,0,1,Unknown,0.0631,1075,665,1286,894
1758357439.759608,9b040b0a,47,1,0,1,Unknown,0.0631,1078,671,1285,896
1758357440.471483,9b040b0a,48,1,0,1,Unknown,0.0219,1075,673,1288,897
1758357440.5291588,9b040b0a,49,1,0,1,Unknown,0.0219,1076,672,1289,896
1758357440.819328,9b040b0a,50,1,0,1,Unknown,0.0285,1076,674,1288,897
1758357440.865178,9b040b0a,51,1,0,1,Unknown,0.0285,1076,676,1288,899
1758357441.143818,9b040b0a,52,1,0,1,Unknown,0.008,1077,677,1287,899
1758357441.192853,9b040b0a,53,1,0,1,Unknown,0.008,1080,679,1290,901
1758357441.441487,9b040b0a,54,1,0,1,Unknown,0.0237,1078,677,1291,903
1758357441.4941592,9b040b0a,55,1,0,1,Unknown,0.0237,1076,675,1289,901
1758357442.143671,9b040b0a,56,1,0,1,Unknown,0.0385,1077,678,1289,900
1758357442.1971421,9b040b0a,57,1,0,1,Unknown,0.0385,1086,675,1298,897
1758357442.462198,9b040b0a,58,1,0,1,Unknown,0.075,1088,671,1296,897
1758357442.5305119,9b040b0a,59,1,0,1,Unknown,0.075,1094,675,1298,897
1758357442.788405,9b040b0a,60,1,0,1,Unknown,0.054,1094,671,1299,900
1758357442.8285398,9b040b0a,61,1,0,1,Unknown,0.054,1089,664,1302,902
1758357443.137794,9b040b0a,62,1,0,1,Unknown,0.0536,1091,664,1299,892
1758357443.200075,9b040b0a,63,1,0,1,Unknown,0.0536,1092,665,1300,893
1758357443.867424,9b040b0a,64,1,0,1,Unknown,0.0407,1093,664,1298,896
1758357443.937821,9b040b0a,65,1,0,1,Unknown,0.0407,1094,665,1299,897
1758357444.228649,9b040b0a,66,1,0,1,Unknown,0.0174,1092,665,1299,898
1758357444.298508,9b040b0a,67,1,0,1,Unknown,0.0174,1093,667,1300,900
1758357444.559722,9b040b0a,68,1,0,1,Unknown,0.0084,1094,665,1300,898
1758357444.599913,9b040b0a,69,1,0,1,Unknown,0.0084,1092,660,1302,898
1758357444.8910599,9b040b0a,70,1,0,1,Unknown,0.0157,1094,667,1300,894
1758357444.928757,9b040b0a,71,1,0,1,Unknown,0.0157,1094,668,1300,895
1758357445.594367,9b040b0a,72,1,0,1,Unknown,0.0525,1096,669,1299,899
1758357445.6677911,9b040b0a,73,1,0,1,Unknown,0.0525,1098,673,1297,898
1758357445.9469042,9b040b0a,74,1,0,1,Unknown,0.0194,1096,672,1300,900
1758357446.005713,9b040b0a,75,1,0,1,Unknown,0.0194,1097,673,1301,901
1758357446.277078,9b040b0a,76,1,0,1,Unknown,0.0322,1095,670,1300,901
1758357446.336798,9b040b0a,77,1,0,1,Unknown,0.0322,1095,671,1300,902
1758357446.604619,9b040b0a,78,1,0,1,Unknown,0.0344,1096,672,1300,902
1758357446.666514,9b040b0a,79,1,0,1,Unknown,0.0344,1096,672,1300,902
1758357447.303152,9b040b0a,80,1,0,1,Unknown,0.0404,1095,671,1299,898
1758357447.371626,9b040b0a,81,1,0,1,Unknown,0.0404,1097,676,1301,903
1758357447.642494,9b040b0a,82,1,0,1,Unknown,0.0387,1095,675,1303,904
1758357447.696683,9b040b0a,83,1,0,1,Unknown,0.0387,1136,676,1344,905
1758357447.970602,9b040b0a,84,1,0,1,Unknown,0.0566,1167,664,1379,905
1758357448.038,9b040b0a,85,1,0,1,Unknown,0.0566,1290,652,1502,893
