frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,168.44,504.58,673.02,1.49,0,0,0
1,1.35,0.51,1.86,537.39,0,0,0
2,579.93,0.43,580.36,1.72,1,1,0
3,226.06,0.8,226.86,4.41,1,1,0
4,504.39,0.76,505.15,1.98,1,1,0
5,86.57,0.38,86.94,11.5,1,1,0
6,370.73,0.22,370.95,2.7,1,1,0
7,84.3,0.21,84.51,11.83,1,1,0
8,309.13,418.55,727.68,1.37,1,1,0
9,99.66,0.23,99.89,10.01,1,1,0
10,344.85,0.25,345.1,2.9,1,1,0
11,81.78,0.26,82.04,12.19,1,1,0
12,299.2,0.4,299.6,3.34,1,1,0
13,92.82,0.25,93.07,10.74,1,1,0
14,257.69,0.3,257.99,3.88,1,1,0
15,77.93,0.32,78.25,12.78,1,1,0
16,297.52,413.58,711.1,1.41,1,1,0
17,85.07,0.25,85.31,11.72,1,1,0
18,288.13,0.22,288.35,3.47,1,1,0
19,87.95,0.24,88.19,11.34,1,1,0
20,326.5,0.46,326.96,3.06,1,1,0
21,102.06,0.25,102.31,9.77,1,1,0
22,312.5,0.27,312.77,3.2,1,1,0
23,101.1,0.28,101.39,9.86,1,1,0
24,309.68,363.47,673.15,1.49,1,1,0
25,5.41,0.22,5.63,177.52,1,1,0
26,229.01,0.17,229.18,4.36,1,0,1
27,37.88,0.15,38.03,26.29,1,0,1
28,232.03,0.17,232.21,4.31,1,0,1
29,32.13,0.16,32.3,30.96,1,0,1
30,215.85,0.16,216.01,4.63,1,0,1
31,27.12,0.14,27.27,36.67,1,0,1
32,224.21,367.63,591.84,1.69,1,0,1
33,37.98,0.21,38.19,26.18,1,0,1
34,231.53,0.24,231.77,4.31,1,0,1
35,28.25,0.21,28.46,35.14,1,0,1
36,229.32,0.19,229.51,4.36,1,0,1
37,26.23,0.18,26.4,37.87,1,0,1
38,256.07,0.2,256.27,3.9,1,0,1
39,40.98,0.21,41.19,24.28,1,0,1
40,279.16,375.05,654.21,1.53,1,0,1
41,29.96,0.17,30.13,33.19,1,0,1
42,237.95,0.17,238.12,4.2,1,0,1
43,30.34,0.27,30.6,32.68,1,0,1
44,266.63,0.18,266.81,3.75,1,0,1
45,37.91,0.18,38.08,26.26,1,0,1
46,237.18,0.57,237.75,4.21,1,0,1
47,29.27,0.18,29.45,33.96,1,0,1
48,273.41,398.06,671.48,1.49,1,0,1
49,30.76,0.28,31.04,32.22,1,0,1
50,252.28,0.2,252.48,3.96,1,0,1
51,35.73,0.21,35.94,27.82,1,0,1
52,246.83,0.21,247.04,4.05,1,0,1
53,29.12,0.19,29.31,34.12,1,0,1
54,239.94,0.19,240.13,4.16,1,0,1
55,29.56,0.17,29.73,33.63,1,0,1
56,242.81,367.13,609.94,1.64,1,0,1
57,31.17,0.21,31.38,31.87,1,0,1
58,227.08,0.24,227.32,4.4,1,0,1
59,28.31,0.21,28.52,35.07,1,0,1
60,215.7,0.19,215.89,4.63,1,0,1
61,31.1,0.21,31.31,31.94,1,0,1
62,271.72,0.26,271.98,3.68,1,0,1
63,31.38,0.29,31.67,31.57,1,0,1
64,233.53,399.32,632.85,1.58,1,0,1
65,36.38,0.2,36.58,27.34,1,0,1
66,261.03,0.17,261.21,3.83,1,0,1
67,31.97,0.22,32.19,31.07,1,0,1
68,227.25,0.17,227.42,4.4,1,0,1
69,33.71,0.16,33.87,29.52,1,0,1
70,254.99,0.19,255.18,3.92,1,0,1
71,30.18,0.19,30.37,32.93,1,0,1
72,245.07,383.07,628.14,1.59,1,0,1
73,34.23,0.21,34.44,29.04,1,0,1
74,246.86,0.19,247.05,4.05,1,0,1
75,38.05,0.19,38.23,26.16,1,0,1
76,244.24,0.2,244.44,4.09,1,0,1
77,34.4,0.22,34.62,28.89,1,0,1
78,233.66,0.18,233.84,4.28,1,0,1
79,28.68,1.0,29.68,33.69,1,0,1
80,217.15,381.23,598.38,1.67,1,0,1
81,27.91,0.2,28.11,35.57,1,0,1
82,239.28,0.18,239.46,4.18,1,0,1
83,27.91,0.19,28.1,35.59,1,0,1
84,235.29,0.18,235.47,4.25,1,0,1
85,32.27,0.19,32.45,30.81,1,0,1
86,231.61,0.21,231.82,4.31,1,0,1
87,4.05,0.16,4.21,237.49,1,0,1
88,332.44,365.45,697.89,1.43,1,1,0
89,116.98,0.23,117.21,8.53,1,1,0
90,276.13,0.19,276.32,3.62,1,1,0
91,84.32,0.31,84.63,11.82,1,1,0
92,264.46,0.31,264.77,3.78,1,1,0
93,81.46,0.19,81.65,12.25,1,1,0
94,287.14,0.19,287.33,3.48,1,1,0
95,87.77,0.19,87.96,11.37,1,1,0
96,288.95,365.07,654.02,1.53,1,1,0
97,101.14,0.47,101.61,9.84,1,1,0
98,317.34,0.22,317.55,3.15,1,1,0
99,93.14,0.2,93.34,10.71,1,1,0
100,422.48,0.45,422.93,2.36,1,1,0
101,143.29,0.85,144.14,6.94,1,1,0
102,337.34,0.21,337.55,2.96,1,1,0
103,114.9,0.27,115.17,8.68,1,1,0
104,285.88,412.71,698.59,1.43,1,1,0
