frame_idx,class,x1,y1,x2,y2
8,NO-Hardhat,391,225,923,878
8,NO-Mask,392,237,923,878
16,NO-Hardhat,230,235,794,883
16,NO-Mask,229,243,792,882
24,NO-Mask,244,274,786,866
24,NO-Hardhat,242,281,787,869
32,NO-Hardhat,1058,639,1282,876
32,NO-Mask,1060,635,1282,875
40,NO-Hardhat,1058,664,1285,904
48,NO-Hardhat,1060,670,1288,912
48,NO-Mask,1058,669,1289,910
56,NO-Hardhat,1059,671,1290,917
56,NO-Mask,1057,670,1291,917
64,NO-Hardhat,1067,664,1300,914
72,NO-Hardhat,1063,669,1302,915
72,NO-Mask,1064,669,1303,915
80,NO-Hardhat,1067,668,1302,913
80,NO-Mask,1065,666,1304,914
88,NO-Mask,4,146,673,860
96,NO-Mask,818,174,1372,850
104,NO-Hardhat,905,32,1479,931
