ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758347038.232639,a0bd2f3c,0,1,1,0,anish,0.4467,862,279,1270,819
1758347040.249585,a0bd2f3c,5,1,1,0,anish,0.5646,855,263,1270,825
1758347041.352402,a0bd2f3c,10,1,1,0,anish,0.5803,819,271,1236,835
1758347041.797292,a0bd2f3c,15,2,1,0,anish,0.5692,728,269,1160,845
1758347041.797292,a0bd2f3c,15,2,1,0,anish,0.5692,517,332,1006,895
1758347042.768916,a0bd2f3c,20,2,1,0,anish,0.5038,593,297,1025,873
1758347042.768916,a0bd2f3c,20,2,1,0,anish,0.5038,392,390,905,924
1758347043.828746,a0bd2f3c,25,2,1,0,anish,0.5483,644,272,1076,848
1758347043.828746,a0bd2f3c,25,2,1,0,anish,0.5483,436,349,928,914
1758347044.335476,a0bd2f3c,30,2,1,0,anish,0.5178,725,274,1148,845
1758347044.335476,a0bd2f3c,30,2,1,0,anish,0.5178,526,329,1026,905
1758347045.197087,a0bd2f3c,35,2,1,0,anish,0.5341,844,266,1276,842
1758347045.197087,a0bd2f3c,35,2,1,0,anish,0.5341,1000,328,1438,854
1758347045.694793,a0bd2f3c,40,2,1,0,anish,0.5524,860,270,1292,846
1758347045.694793,a0bd2f3c,40,2,1,0,anish,0.5524,1013,333,1462,856
1758347046.6029491,a0bd2f3c,45,3,1,0,anish,0.5245,756,289,1188,865
1758347046.6029491,a0bd2f3c,45,3,1,0,anish,0.5245,1118,384,1568,924
1758347046.6029491,a0bd2f3c,45,3,1,0,anish,0.5245,948,310,1383,853
1758347047.626762,a0bd2f3c,50,3,0,1,Unknown,0.2673,705,305,1137,881
1758347047.626762,a0bd2f3c,50,3,0,1,Unknown,0.2673,1074,375,1524,915
1758347047.626762,a0bd2f3c,50,3,0,1,Unknown,0.2673,919,308,1323,872
1758347048.2096121,a0bd2f3c,55,3,0,1,Unknown,0.2704,704,298,1136,874
1758347048.2096121,a0bd2f3c,55,3,0,1,Unknown,0.2704,1071,369,1521,909
1758347048.2096121,a0bd2f3c,55,3,0,1,Unknown,0.2704,922,315,1321,853
1758347049.197453,a0bd2f3c,60,3,0,1,Unknown,0.2773,696,298,1128,874
1758347049.197453,a0bd2f3c,60,3,0,1,Unknown,0.2773,1065,365,1515,905
1758347049.197453,a0bd2f3c,60,3,0,1,Unknown,0.2773,911,305,1316,873
1758347050.298804,a0bd2f3c,65,3,0,1,Unknown,0.2629,495,330,927,906
1758347050.298804,a0bd2f3c,65,3,0,1,Unknown,0.2629,736,298,1143,879
1758347050.298804,a0bd2f3c,65,3,0,1,Unknown,0.2629,932,286,1337,862
1758347050.878409,a0bd2f3c,70,3,0,1,Unknown,0.2517,509,327,941,903
1758347050.878409,a0bd2f3c,70,3,0,1,Unknown,0.2517,748,294,1159,883
1758347050.878409,a0bd2f3c,70,3,0,1,Unknown,0.2517,947,290,1352,866
1758347051.925596,a0bd2f3c,75,3,0,1,Unknown,0.274,510,326,942,902
1758347051.925596,a0bd2f3c,75,3,0,1,Unknown,0.274,753,293,1163,874
1758347051.925596,a0bd2f3c,75,3,0,1,Unknown,0.274,949,291,1354,867
1758347052.574253,a0bd2f3c,80,3,0,1,Unknown,0.2695,512,325,944,901
1758347052.574253,a0bd2f3c,80,3,0,1,Unknown,0.2695,755,297,1164,875
1758347052.574253,a0bd2f3c,80,3,0,1,Unknown,0.2695,951,290,1356,866
1758347053.6263459,a0bd2f3c,85,3,0,1,Unknown,0.2824,502,326,934,902
1758347053.6263459,a0bd2f3c,85,3,0,1,Unknown,0.2824,748,297,1159,887
1758347053.6263459,a0bd2f3c,85,3,0,1,Unknown,0.2824,942,289,1347,865
1758347054.5779111,a0bd2f3c,90,3,1,0,anish,0.5537,499,356,931,932
1758347054.5779111,a0bd2f3c,90,3,1,0,anish,0.5537,754,306,1170,865
1758347054.5779111,a0bd2f3c,90,3,1,0,anish,0.5537,944,321,1349,897
1758347055.180639,a0bd2f3c,95,3,1,0,anish,0.5909,519,351,951,927
1758347055.180639,a0bd2f3c,95,3,1,0,anish,0.5909,768,303,1192,870
1758347055.180639,a0bd2f3c,95,3,1,0,anish,0.5909,965,325,1370,901
1758347056.138705,a0bd2f3c,100,3,1,0,anish,0.5936,570,305,1002,881
1758347056.138705,a0bd2f3c,100,3,1,0,anish,0.5936,805,273,1217,840
1758347056.138705,a0bd2f3c,100,3,1,0,anish,0.5936,1007,281,1412,857
1758347057.282275,a0bd2f3c,105,3,1,0,anish,0.591,601,289,1033,865
1758347057.282275,a0bd2f3c,105,3,1,0,anish,0.591,834,277,1224,823
1758347057.282275,a0bd2f3c,105,3,1,0,anish,0.591,1028,276,1433,852
1758347057.879282,a0bd2f3c,110,3,1,0,anish,0.585,599,289,1031,865
1758347057.879282,a0bd2f3c,110,3,1,0,anish,0.585,833,273,1225,823
1758347057.879282,a0bd2f3c,110,3,1,0,anish,0.585,1023,272,1428,848
1758347058.8563259,a0bd2f3c,115,3,1,0,anish,0.5761,593,282,1025,858
1758347058.8563259,a0bd2f3c,115,3,1,0,anish,0.5761,824,269,1224,819
1758347058.8563259,a0bd2f3c,115,3,1,0,anish,0.5761,1018,263,1423,839
1758347059.657752,a0bd2f3c,120,3,1,0,anish,0.5616,589,292,1021,868
1758347059.657752,a0bd2f3c,120,3,1,0,anish,0.5616,823,270,1224,821
1758347059.657752,a0bd2f3c,120,3,1,0,anish,0.5616,1017,270,1422,846
1758347061.091438,a0bd2f3c,125,3,1,0,anish,0.5674,588,295,1020,871
1758347061.091438,a0bd2f3c,125,3,1,0,anish,0.5674,822,271,1226,831
1758347061.091438,a0bd2f3c,125,3,1,0,anish,0.5674,1017,271,1422,847
1758347062.303841,a0bd2f3c,130,3,1,0,anish,0.5776,586,289,1018,865
1758347062.303841,a0bd2f3c,130,3,1,0,anish,0.5776,821,266,1226,827
1758347062.303841,a0bd2f3c,130,3,1,0,anish,0.5776,1015,268,1420,844
