frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,1436.06,1160.04,2596.09,0.39,1,1,0
1,10.97,0.06,11.03,90.7,1,1,0
2,9.85,0.05,9.89,101.08,1,1,0
3,13.58,0.19,13.76,72.66,1,1,0
4,10.13,0.06,10.19,98.17,1,1,0
5,671.43,0.09,671.52,1.49,1,1,0
6,10.56,0.05,10.61,94.23,1,1,0
7,28.24,0.07,28.31,35.33,1,1,0
8,41.57,476.17,517.74,1.93,1,1,0
9,10.82,0.08,10.9,91.71,1,1,0
10,405.24,0.08,405.32,2.47,1,1,0
11,10.65,0.08,10.72,93.25,1,1,0
12,9.1,0.08,9.18,108.98,1,1,0
13,10.0,0.12,10.11,98.88,1,1,0
14,9.19,0.08,9.26,107.94,1,1,0
15,285.55,0.08,285.63,3.5,2,2,0
16,19.26,394.05,413.31,2.42,2,2,0
17,19.97,0.05,20.02,49.95,2,2,0
18,18.82,0.05,18.87,52.99,2,2,0
19,20.41,0.05,20.46,48.88,2,2,0
20,384.78,0.05,384.82,2.6,2,2,0
21,20.7,0.05,20.74,48.21,2,2,0
22,26.47,0.05,26.52,37.71,2,2,0
23,22.02,0.05,22.07,45.31,2,2,0
24,23.69,456.97,480.66,2.08,2,2,0
25,379.33,0.04,379.37,2.64,2,2,0
26,19.78,0.04,19.81,50.47,2,2,0
27,26.63,0.04,26.67,37.49,2,2,0
28,22.35,0.05,22.4,44.64,2,2,0
29,19.0,0.06,19.06,52.47,2,2,0
30,289.51,0.04,289.55,3.45,2,2,0
31,23.65,0.04,23.69,42.21,2,2,0
32,24.73,402.24,426.96,2.34,2,2,0
33,23.64,0.08,23.72,42.16,2,2,0
34,21.19,0.14,21.33,46.88,2,2,0
35,284.23,0.09,284.31,3.52,2,2,0
36,19.12,0.09,19.21,52.06,2,2,0
37,17.49,0.08,17.58,56.89,2,2,0
38,15.41,0.08,15.49,64.57,2,2,0
39,19.61,0.09,19.7,50.77,2,2,0
40,347.71,412.26,759.96,1.32,2,2,0
41,21.97,0.09,22.06,45.33,2,2,0
42,17.66,0.07,17.73,56.39,2,2,0
43,17.94,0.1,18.04,55.43,2,2,0
44,19.47,0.09,19.56,51.14,2,2,0
45,321.32,0.07,321.39,3.11,3,3,0
46,29.78,0.09,29.87,33.48,3,3,0
47,30.27,0.08,30.34,32.96,3,3,0
48,30.7,415.23,445.93,2.24,3,3,0
49,29.25,0.05,29.3,34.13,3,3,0
50,346.12,0.05,346.17,2.89,3,0,3
51,35.28,0.05,35.32,28.31,3,0,3
52,30.52,0.05,30.56,32.72,3,0,3
53,27.51,0.05,27.56,36.28,3,0,3
54,27.09,0.05,27.14,36.85,3,0,3
55,290.02,0.05,290.07,3.45,3,0,3
56,24.92,401.5,426.42,2.35,3,0,3
57,27.86,0.06,27.92,35.81,3,0,3
58,24.68,0.05,24.72,40.44,3,0,3
59,30.03,0.05,30.08,33.24,3,0,3
60,314.9,0.05,314.95,3.18,3,0,3
61,28.4,0.05,28.45,35.15,3,0,3
62,27.6,0.05,27.65,36.17,3,0,3
63,26.32,0.05,26.37,37.93,3,0,3
64,27.99,443.14,471.13,2.12,3,0,3
65,381.16,0.05,381.21,2.62,3,0,3
66,31.97,0.08,32.05,31.2,3,0,3
67,28.28,0.05,28.32,35.31,3,0,3
68,33.76,0.05,33.8,29.58,3,0,3
69,30.2,0.09,30.28,33.02,3,0,3
70,291.12,0.05,291.17,3.43,3,0,3
71,26.12,0.05,26.17,38.21,3,0,3
72,29.82,396.27,426.08,2.35,3,0,3
73,27.88,0.06,27.94,35.8,3,0,3
74,25.59,0.05,25.64,39.0,3,0,3
75,373.52,0.07,373.59,2.68,3,0,3
76,32.24,0.3,32.55,30.72,3,0,3
77,28.81,0.06,28.87,34.64,3,0,3
78,29.44,0.05,29.49,33.91,3,0,3
79,26.67,0.07,26.73,37.41,3,0,3
80,357.73,425.01,782.74,1.28,3,0,3
81,32.9,0.06,32.97,30.34,3,0,3
82,29.08,0.06,29.15,34.31,3,0,3
83,30.6,0.05,30.65,32.63,3,0,3
84,34.87,0.05,34.92,28.63,3,0,3
85,343.0,0.06,343.06,2.91,3,0,3
86,28.5,0.11,28.6,34.96,3,0,3
87,27.58,0.07,27.66,36.16,3,0,3
88,26.5,392.4,418.9,2.39,3,0,3
89,28.9,0.08,28.98,34.51,3,0,3
90,292.51,0.08,292.59,3.42,3,3,0
91,30.06,0.08,30.14,33.18,3,3,0
92,27.99,0.09,28.08,35.61,3,3,0
93,28.73,0.08,28.81,34.71,3,3,0
94,25.72,0.14,25.87,38.66,3,3,0
95,295.14,0.08,295.22,3.39,3,3,0
96,34.25,368.2,402.45,2.48,3,3,0
97,28.98,0.1,29.07,34.4,3,3,0
98,30.93,0.11,31.04,32.21,3,3,0
99,27.0,0.08,27.08,36.93,3,3,0
100,282.47,0.08,282.55,3.54,3,3,0
101,31.27,0.1,31.37,31.88,3,3,0
102,58.51,0.11,58.61,17.06,3,3,0
103,34.95,0.09,35.04,28.54,3,3,0
104,53.13,458.68,511.81,1.95,3,3,0
105,363.52,0.09,363.6,2.75,3,3,0
106,29.5,0.12,29.61,33.77,3,3,0
107,25.18,0.08,25.26,39.59,3,3,0
108,29.28,0.08,29.36,34.06,3,3,0
109,26.62,0.09,26.71,37.45,3,3,0
110,292.13,0.08,292.21,3.42,3,3,0
111,26.21,0.08,26.3,38.03,3,3,0
112,25.99,405.94,431.93,2.32,3,3,0
113,27.43,0.08,27.52,36.34,3,3,0
114,30.46,0.1,30.55,32.73,3,3,0
115,268.72,0.11,268.84,3.72,3,3,0
116,31.62,0.09,31.7,31.54,3,3,0
117,33.77,0.13,33.91,29.49,3,3,0
118,50.85,0.12,50.96,19.62,3,3,0
119,29.6,0.1,29.69,33.68,3,3,0
