frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,817,292,1296,868
8,NO-Mask,808,263,1290,865
8,NO-Hardhat,807,266,1290,865
16,NO-Hardhat,434,349,988,939
24,Mask,389,367,920,956
32,NO-Mask,797,262,1334,876
32,NO-Hardhat,797,267,1333,874
40,Mask,957,279,1520,881
40,NO-Hardhat,972,296,1515,884
48,NO-Hardhat,852,309,1373,882
56,NO-Hardhat,846,300,1376,919
64,NO-Hardhat,753,293,1259,931
72,NO-Hardhat,698,297,1193,944
80,NO-Hardhat,698,293,1193,944
88,NO-Mask,709,303,1194,883
88,NO-Hardhat,710,305,1194,883
96,NO-Mask,738,297,1236,888
96,NO-Hardhat,738,300,1236,889
104,NO-Hardhat,772,276,1265,873
104,NO-Mask,775,276,1264,873
112,NO-Hardhat,768,269,1257,864
112,NO-Mask,771,265,1253,865
120,NO-Hardhat,767,270,1254,863
120,NO-Mask,770,267,1251,865
128,NO-Hardhat,769,270,1256,863
128,NO-Mask,772,267,1252,864
