ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758465325.087722,a22a1fce,2,1,1,0,anish,0.5143,976,268,1323,706
1758465325.170333,a22a1fce,3,1,1,0,anish,0.5143,992,295,1326,716
1758465325.502152,a22a1fce,4,1,1,0,anish,0.5463,986,275,1353,742
1758465325.59134,a22a1fce,5,1,1,0,anish,0.5463,998,277,1358,735
1758465325.889717,a22a1fce,6,1,1,0,anish,0.5585,995,274,1360,749
1758465325.998901,a22a1fce,7,1,1,0,anish,0.5585,992,240,1372,734
1758465326.676254,a22a1fce,8,1,1,0,anish,0.5307,999,259,1351,668
1758465326.7539,a22a1fce,9,1,1,0,anish,0.5307,1029,288,1367,681
1758465326.999085,a22a1fce,10,1,1,0,anish,0.406,1018,282,1354,639
1758465327.081475,a22a1fce,11,1,1,0,anish,0.406,1018,282,1354,639
1758465327.3581991,a22a1fce,12,1,1,0,anish,0.434,1015,287,1354,633
1758465327.448309,a22a1fce,13,1,1,0,anish,0.434,1014,290,1360,643
1758465327.690165,a22a1fce,14,1,1,0,anish,0.5314,1032,295,1363,680
1758465327.745169,a22a1fce,15,1,1,0,anish,0.5314,1034,288,1372,681
1758465328.391215,a22a1fce,16,1,1,0,anish,0.5443,1032,283,1380,724
1758465328.4698482,a22a1fce,17,1,1,0,anish,0.5443,1006,302,1361,752
1758465328.8030899,a22a1fce,18,1,1,0,anish,0.5459,1013,309,1394,800
1758465328.900023,a22a1fce,19,1,1,0,anish,0.5459,1040,302,1421,793
1758465329.193019,a22a1fce,20,1,1,0,anish,0.5123,1052,310,1422,799
1758465329.300321,a22a1fce,21,1,1,0,anish,0.5123,1053,291,1423,780
1758465329.574086,a22a1fce,22,1,1,0,anish,0.5694,1049,293,1421,785
1758465329.6620932,a22a1fce,23,1,1,0,anish,0.5694,1057,305,1422,787
1758465330.3163671,a22a1fce,24,1,1,0,anish,0.5411,1048,313,1413,783
1758465330.393227,a22a1fce,25,1,1,0,anish,0.5411,1044,317,1409,787
1758465330.683842,a22a1fce,26,1,1,0,anish,0.5536,1042,310,1407,789
1758465330.756567,a22a1fce,27,1,1,0,anish,0.5536,1044,307,1409,786
1758465331.000978,a22a1fce,28,1,1,0,anish,0.5093,1048,316,1415,794
1758465331.0960839,a22a1fce,29,1,1,0,anish,0.5093,1040,312,1407,790
1758465331.522676,a22a1fce,30,2,1,0,anish,0.4884,1038,324,1395,805
1758465331.522676,a22a1fce,30,2,0,1,Unknown,0.153,-19,395,296,687
1758465331.6275918,a22a1fce,31,2,1,0,anish,0.4884,1027,321,1398,821
1758465331.6275918,a22a1fce,31,2,0,1,Unknown,0.153,-8,343,301,629
