frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,203.43,554.83,758.26,1.32,0,0,0
1,0.48,0.08,0.56,1795.51,0,0,0
2,487.43,0.75,488.18,2.05,1,1,0
3,72.34,0.27,72.61,13.77,1,1,0
4,304.24,0.27,304.51,3.28,1,1,0
5,56.6,0.2,56.79,17.61,1,1,0
6,256.24,0.19,256.43,3.9,1,1,0
7,67.65,0.17,67.82,14.74,1,1,0
8,261.26,381.16,642.42,1.56,1,1,0
9,51.92,0.2,52.11,19.19,1,1,0
10,235.31,0.17,235.48,4.25,1,1,0
11,44.18,0.22,44.4,22.52,1,1,0
12,259.82,0.19,260.01,3.85,1,1,0
13,48.51,0.32,48.83,20.48,1,1,0
14,226.6,0.22,226.82,4.41,1,1,0
15,47.16,0.19,47.35,21.12,1,1,0
16,250.87,375.31,626.18,1.6,1,1,0
17,70.16,0.31,70.47,14.19,1,1,0
18,302.56,0.31,302.87,3.3,1,1,0
19,65.37,0.19,65.56,15.25,1,1,0
20,258.93,0.22,259.16,3.86,1,1,0
21,62.3,0.27,62.56,15.98,1,1,0
22,238.61,0.22,238.83,4.19,1,1,0
23,57.22,0.19,57.41,17.42,1,1,0
24,242.56,372.68,615.25,1.63,1,1,0
25,59.71,0.22,59.93,16.69,1,1,0
26,246.39,0.29,246.68,4.05,1,1,0
27,56.63,0.19,56.82,17.6,1,1,0
28,236.21,0.17,236.38,4.23,1,1,0
29,59.73,0.31,60.04,16.66,1,1,0
30,388.55,0.31,388.86,2.57,2,1,1
31,94.9,0.23,95.13,10.51,2,1,1
32,374.28,356.13,730.41,1.37,2,1,1
33,103.8,0.28,104.08,9.61,2,1,1
34,404.53,0.19,404.72,2.47,1,0,1
35,96.32,0.2,96.52,10.36,1,0,1
36,379.31,0.18,379.49,2.64,1,0,1
37,94.9,0.28,95.18,10.51,1,0,1
38,379.21,0.18,379.38,2.64,1,0,1
39,101.24,0.16,101.4,9.86,1,0,1
40,383.2,386.52,769.72,1.3,1,0,1
41,107.11,0.28,107.39,9.31,1,0,1
42,430.58,0.37,430.94,2.32,2,1,1
43,101.83,0.26,102.09,9.8,2,1,1
44,434.18,0.27,434.46,2.3,1,0,1
45,102.05,0.22,102.27,9.78,1,0,1
46,396.15,0.32,396.47,2.52,2,1,1
47,99.1,0.24,99.34,10.07,2,1,1
48,359.79,345.05,704.84,1.42,2,1,1
49,99.0,0.25,99.24,10.08,2,1,1
50,385.81,0.22,386.03,2.59,2,1,1
51,113.29,0.27,113.56,8.81,2,1,1
52,416.89,0.33,417.22,2.4,2,1,1
53,117.74,0.3,118.05,8.47,2,1,1
54,421.35,0.24,421.59,2.37,2,1,1
55,132.78,0.88,133.66,7.48,2,1,1
56,452.55,387.97,840.52,1.19,2,1,1
57,142.46,0.31,142.77,7.0,2,1,1
58,382.67,0.25,382.92,2.61,2,1,1
59,115.95,0.28,116.24,8.6,2,1,1
60,418.99,0.23,419.22,2.39,1,0,1
61,118.94,0.24,119.18,8.39,1,0,1
62,422.24,0.26,422.5,2.37,2,1,1
63,102.75,0.26,103.02,9.71,2,1,1
64,396.5,346.21,742.71,1.35,2,1,1
65,124.59,0.43,125.02,8.0,2,1,1
66,272.3,0.31,272.61,3.67,1,1,0
67,61.84,0.32,62.17,16.09,1,1,0
68,386.95,0.3,387.25,2.58,2,1,1
69,123.97,0.3,124.27,8.05,2,1,1
70,366.09,0.21,366.3,2.73,1,0,1
71,101.57,0.25,101.82,9.82,1,0,1
72,384.69,376.02,760.72,1.31,2,1,1
73,114.81,0.43,115.24,8.68,2,1,1
74,425.02,0.47,425.49,2.35,2,1,1
75,102.32,0.34,102.66,9.74,2,1,1
76,386.19,0.3,386.49,2.59,2,1,1
77,99.6,0.32,99.92,10.01,2,1,1
78,388.74,0.35,389.09,2.57,2,1,1
79,105.49,0.27,105.77,9.45,2,1,1
80,366.04,352.44,718.48,1.39,2,1,1
81,117.61,0.4,118.01,8.47,2,1,1
82,411.51,0.24,411.75,2.43,2,1,1
83,110.59,0.35,110.94,9.01,2,1,1
84,388.78,0.39,389.17,2.57,2,1,1
85,108.0,0.4,108.4,9.23,2,1,1
86,508.13,0.26,508.4,1.97,2,1,1
87,162.4,0.56,162.96,6.14,2,1,1
88,423.43,383.93,807.36,1.24,2,1,1
89,112.28,0.34,112.62,8.88,2,1,1
90,380.72,0.26,380.98,2.62,2,1,1
91,100.06,0.26,100.32,9.97,2,1,1
92,361.07,0.29,361.36,2.77,2,1,1
93,100.89,0.25,101.14,9.89,2,1,1
94,369.65,0.25,369.91,2.7,2,1,1
95,103.91,0.29,104.2,9.6,2,1,1
96,383.24,363.05,746.3,1.34,2,1,1
97,103.08,0.27,103.35,9.68,2,1,1
98,392.14,0.33,392.47,2.55,2,1,1
99,106.96,0.26,107.22,9.33,2,1,1
100,397.24,0.42,397.67,2.51,1,0,1
101,105.63,0.19,105.81,9.45,1,0,1
102,418.2,0.29,418.49,2.39,2,1,1
103,106.71,0.28,106.99,9.35,2,1,1
104,384.11,402.15,786.26,1.27,1,0,1
105,120.31,0.24,120.55,8.3,1,0,1
106,401.94,0.38,402.32,2.49,1,0,1
107,118.11,0.21,118.32,8.45,1,0,1
108,396.03,0.19,396.22,2.52,1,0,1
109,96.56,0.2,96.76,10.33,1,0,1
110,391.87,0.38,392.25,2.55,2,1,1
111,114.77,0.28,115.05,8.69,2,1,1
112,399.18,358.72,757.89,1.32,2,1,1
113,120.12,0.3,120.42,8.3,2,1,1
114,379.44,0.39,379.83,2.63,2,1,1
115,108.23,0.41,108.63,9.21,2,1,1
116,382.18,0.29,382.47,2.61,2,1,1
117,100.17,0.29,100.46,9.95,2,1,1
118,394.26,0.26,394.53,2.53,1,0,1
119,97.7,0.21,97.91,10.21,1,0,1
120,391.66,376.59,768.25,1.3,1,0,1
121,103.15,0.34,103.5,9.66,1,0,1
122,402.15,0.28,402.44,2.48,2,1,1
123,101.91,0.26,102.17,9.79,2,1,1
124,419.87,0.33,420.2,2.38,2,1,1
125,123.44,0.29,123.73,8.08,2,1,1
126,402.21,0.44,402.64,2.48,2,1,1
127,111.56,0.49,112.05,8.92,2,1,1
128,413.77,354.72,768.49,1.3,2,1,1
129,103.86,0.3,104.16,9.6,2,1,1
130,374.25,0.56,374.81,2.67,2,1,1
131,98.12,0.29,98.41,10.16,2,1,1
132,365.38,0.27,365.64,2.73,2,1,1
133,96.09,0.32,96.42,10.37,2,1,1
134,376.91,0.35,377.26,2.65,2,1,1
135,102.37,0.28,102.64,9.74,2,1,1
136,368.66,349.97,718.63,1.39,2,1,1
137,107.67,0.4,108.07,9.25,2,1,1
138,391.59,0.23,391.82,2.55,1,0,1
139,96.63,0.19,96.81,10.33,1,0,1
140,372.77,0.18,372.95,2.68,1,0,1
141,93.22,0.19,93.41,10.71,1,0,1
142,360.92,0.36,361.28,2.77,2,1,1
143,97.11,0.26,97.37,10.27,2,1,1
144,370.58,358.12,728.7,1.37,2,1,1
145,112.53,0.38,112.91,8.86,2,1,1
146,394.52,0.35,394.86,2.53,2,1,1
147,103.78,0.24,104.02,9.61,2,1,1
148,392.6,0.27,392.87,2.55,2,1,1
149,100.62,0.28,100.89,9.91,2,1,1
150,375.09,0.22,375.31,2.66,2,1,1
151,102.32,0.52,102.83,9.72,2,1,1
152,376.23,354.41,730.64,1.37,2,1,1
153,111.58,0.26,111.84,8.94,2,1,1
154,401.03,0.36,401.4,2.49,2,1,1
155,108.95,0.28,109.24,9.15,2,1,1
156,381.35,0.34,381.69,2.62,2,1,1
157,109.63,0.27,109.9,9.1,2,1,1
158,416.1,0.29,416.39,2.4,2,1,1
159,113.03,0.27,113.31,8.83,2,1,1
160,425.27,367.11,792.38,1.26,2,1,1
161,155.64,0.58,156.22,6.4,2,1,1
162,465.02,0.31,465.33,2.15,2,1,1
163,117.01,0.35,117.36,8.52,2,1,1
164,443.81,0.25,444.07,2.25,1,0,1
165,108.27,0.35,108.63,9.21,1,0,1
166,385.0,0.4,385.41,2.59,2,1,1
167,106.8,0.28,107.08,9.34,2,1,1
