frame_idx,class,x1,y1,x2,y2
8,NO-Mask,970,224,1393,727
16,NO-Mask,1008,248,1432,797
24,NO-Mask,1005,259,1455,921
32,NO-Mask,0,319,367,704
32,NO-Mask,980,252,1410,871
40,NO-Mask,1,403,343,803
40,NO-Mask,932,254,1362,883
48,NO-Mask,0,407,310,814
48,NO-Mask,856,300,1275,857
56,NO-Mask,999,284,1437,921
56,NO-Mask,0,132,483,765
64,NO-Mask,975,334,1404,865
64,NO-Hardhat,159,373,594,859
64,NO-Mask,184,369,595,865
72,NO-Mask,115,351,494,794
72,NO-Mask,959,286,1396,895
72,NO-Hardhat,960,288,1396,897
80,NO-Mask,922,268,1362,918
80,NO-Hardhat,920,267,1362,919
88,NO-Mask,938,269,1375,904
88,NO-Hardhat,178,383,595,849
96,NO-Mask,967,319,1395,933
96,NO-Hardhat,204,379,591,799
104,NO-Mask,982,263,1429,974
104,NO-Hardhat,195,379,575,842
112,NO-Mask,927,287,1363,921
112,NO-Mask,147,356,585,768
112,NO-Hardhat,147,353,584,770
120,NO-Mask,75,251,505,697
120,NO-Mask,968,303,1412,929
120,NO-Hardhat,965,295,1412,948
128,NO-Mask,957,275,1389,927
128,NO-Hardhat,959,285,1390,914
128,NO-Hardhat,130,252,565,700
136,NO-Mask,5,240,490,693
136,NO-Mask,926,270,1360,926
136,NO-Hardhat,926,269,1360,917
144,NO-Mask,0,173,305,582
144,NO-Mask,941,304,1374,933
152,NO-Mask,944,274,1375,919
152,NO-Mask,0,90,350,645
152,NO-Hardhat,0,87,351,661
160,NO-Mask,3,174,481,686
160,NO-Mask,951,269,1398,956
160,NO-Hardhat,952,268,1398,964
168,NO-Mask,941,265,1376,957
168,NO-Mask,67,305,478,812
168,NO-Hardhat,67,302,491,817
