ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758356531.7982469,ae9d5210,0,1,1,0,anish,0.4654,822,246,1257,824
1758356533.909976,ae9d5210,5,1,1,0,anish,0.5571,806,241,1272,855
1758356534.7210581,ae9d5210,10,2,1,0,anish,0.5575,806,241,1272,855
1758356534.7210581,ae9d5210,10,2,1,0,anish,0.5575,798,252,1269,858
1758356535.233731,ae9d5210,15,1,1,0,anish,0.5782,879,274,1361,888
1758356536.079045,ae9d5210,20,2,1,0,anish,0.5595,879,274,1361,888
1758356536.079045,ae9d5210,20,2,1,0,anish,0.5595,1126,389,1657,1007
1758356536.84382,ae9d5210,25,1,1,0,anish,0.5627,1050,354,1574,977
1758356537.2845628,ae9d5210,30,1,1,0,anish,0.5513,972,300,1487,918
1758356538.126271,ae9d5210,35,1,1,0,anish,0.5385,769,234,1232,839
1758356538.581045,ae9d5210,40,1,1,0,anish,0.5517,761,235,1226,833
1758356539.350938,ae9d5210,45,1,1,0,anish,0.5536,758,234,1219,834
1758356540.2159941,ae9d5210,50,1,1,0,anish,0.5482,756,234,1220,838
1758356540.651705,ae9d5210,55,1,1,0,anish,0.5436,755,231,1220,837
1758356541.880668,ae9d5210,60,1,1,0,anish,0.5293,627,234,1122,839
1758356542.6957152,ae9d5210,65,1,1,0,anish,0.5228,536,249,1039,838
1758356543.128865,ae9d5210,70,1,1,0,anish,0.5243,519,260,1028,840
1758356543.946335,ae9d5210,75,1,1,0,anish,0.5501,709,235,1174,843
1758356544.3555121,ae9d5210,80,2,1,0,anish,0.5592,600,250,1080,875
1758356544.3555121,ae9d5210,80,2,1,0,anish,0.5592,822,261,1309,862
1758356545.367834,ae9d5210,85,2,1,0,anish,0.5356,684,415,1164,1040
1758356545.367834,ae9d5210,85,2,1,0,anish,0.5356,1074,361,1591,945
1758356546.4201112,ae9d5210,90,2,1,0,anish,0.5652,666,411,1146,1036
1758356546.4201112,ae9d5210,90,2,1,0,anish,0.5652,961,288,1462,895
1758356547.056104,ae9d5210,95,2,1,0,anish,0.5284,678,413,1158,1038
1758356547.056104,ae9d5210,95,2,1,0,anish,0.5284,1056,336,1550,905
1758356547.9847648,ae9d5210,100,2,1,0,anish,0.5594,644,418,1124,1043
1758356547.9847648,ae9d5210,100,2,1,0,anish,0.5594,813,232,1270,837
1758356548.799062,ae9d5210,105,2,1,0,anish,0.5136,693,255,1169,873
1758356548.799062,ae9d5210,105,2,1,0,anish,0.5136,921,253,1401,878
