frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,562.54,1456.91,2019.45,0.5,1,1,0
1,11.28,0.07,11.34,88.18,1,1,0
2,12.51,0.06,12.57,79.53,1,1,0
3,12.03,0.11,12.14,82.37,1,1,0
4,17.2,0.09,17.29,57.85,1,1,0
5,488.52,0.18,488.7,2.05,1,1,0
6,6.03,0.06,6.08,164.39,1,1,0
7,9.04,0.06,9.11,109.82,1,1,0
8,6.17,413.61,419.78,2.38,1,1,0
9,5.64,0.1,5.74,174.33,1,1,0
10,262.69,0.1,262.79,3.81,2,2,0
11,20.53,0.16,20.69,48.34,1,1,0
12,12.1,0.11,12.21,81.89,1,1,0
13,11.44,0.1,11.54,86.69,1,1,0
14,11.26,0.1,11.36,88.05,1,1,0
15,315.88,0.16,316.04,3.16,1,1,0
16,6.17,373.91,380.08,2.63,1,1,0
17,7.58,0.1,7.67,130.3,1,1,0
18,5.85,0.1,5.94,168.24,1,1,0
19,6.44,0.1,6.54,152.88,1,1,0
20,325.1,0.12,325.22,3.07,2,2,0
21,27.86,0.1,27.96,35.76,1,1,0
22,15.52,0.11,15.63,63.99,1,1,0
23,13.44,0.1,13.53,73.89,1,1,0
24,12.89,372.03,384.92,2.6,1,1,0
25,256.9,0.05,256.96,3.89,1,1,0
26,13.48,0.06,13.54,73.85,1,1,0
27,12.93,0.06,12.99,76.98,1,1,0
28,12.65,0.06,12.71,78.7,1,1,0
29,17.5,0.06,17.56,56.94,1,1,0
30,298.28,0.06,298.33,3.35,1,1,0
31,15.6,0.06,15.67,63.83,1,1,0
32,13.85,348.39,362.24,2.76,1,1,0
33,16.76,0.05,16.81,59.48,1,1,0
34,12.44,0.05,12.49,80.08,1,1,0
35,273.5,0.06,273.56,3.66,1,1,0
36,12.92,0.06,12.98,77.04,1,1,0
37,11.77,0.05,11.82,84.57,1,1,0
38,11.0,0.06,11.05,90.47,1,1,0
39,11.04,0.05,11.09,90.18,1,1,0
40,282.87,358.09,640.96,1.56,1,1,0
41,11.3,0.1,11.4,87.73,1,1,0
42,10.39,0.1,10.49,95.32,1,1,0
43,10.85,0.1,10.95,91.34,1,1,0
44,10.48,0.1,10.57,94.59,1,1,0
45,259.49,0.1,259.59,3.85,1,1,0
46,11.48,0.1,11.58,86.36,1,1,0
47,11.1,0.1,11.2,89.32,1,1,0
48,10.64,364.64,375.28,2.66,1,1,0
49,10.27,0.09,10.36,96.5,1,1,0
50,322.09,0.1,322.2,3.1,1,1,0
51,11.8,0.09,11.9,84.06,1,1,0
52,11.27,0.1,11.37,87.96,1,1,0
53,11.87,0.14,12.0,83.33,1,1,0
54,13.26,0.1,13.36,74.85,1,1,0
55,262.85,0.1,262.96,3.8,1,1,0
56,12.76,596.27,609.03,1.64,1,1,0
57,16.73,0.61,17.34,57.66,1,1,0
58,17.65,0.12,17.77,56.27,1,1,0
59,13.03,0.17,13.19,75.8,1,1,0
60,457.87,0.15,458.02,2.18,1,1,0
61,12.53,0.15,12.69,78.82,1,1,0
62,11.64,0.1,11.74,85.14,1,1,0
63,10.95,0.1,11.05,90.49,1,1,0
64,11.67,382.24,393.91,2.54,1,1,0
65,268.44,0.19,268.63,3.72,1,1,0
66,12.22,0.1,12.32,81.16,1,1,0
67,12.69,0.1,12.78,78.22,1,1,0
68,12.68,0.1,12.78,78.25,1,1,0
69,12.08,0.09,12.18,82.12,1,1,0
70,272.17,0.09,272.26,3.67,1,1,0
71,11.74,0.11,11.85,84.42,1,1,0
72,12.03,378.43,390.47,2.56,1,1,0
73,13.21,0.1,13.3,75.18,1,1,0
74,13.36,0.1,13.46,74.28,1,1,0
75,289.63,0.1,289.73,3.45,1,1,0
76,13.51,0.12,13.64,73.34,1,1,0
77,11.79,0.1,11.89,84.12,1,1,0
78,11.99,0.1,12.09,82.68,1,1,0
79,11.13,0.1,11.23,89.05,1,1,0
80,263.57,371.27,634.84,1.58,2,2,0
81,25.16,0.1,25.26,39.58,2,2,0
82,23.1,0.1,23.21,43.09,2,2,0
83,21.02,0.1,21.12,47.36,2,2,0
84,27.43,0.12,27.55,36.3,2,2,0
85,338.83,0.29,339.12,2.95,2,2,0
86,23.25,0.11,23.36,42.8,2,2,0
87,29.33,0.11,29.44,33.97,2,2,0
88,25.76,411.38,437.14,2.29,2,2,0
89,27.38,0.06,27.44,36.45,2,2,0
90,391.93,0.06,391.99,2.55,2,2,0
91,27.79,0.06,27.84,35.91,2,2,0
92,28.3,0.06,28.36,35.26,2,2,0
93,26.64,0.05,26.69,37.46,2,2,0
94,32.27,0.07,32.33,30.93,2,2,0
95,330.9,0.1,331.0,3.02,2,2,0
96,22.55,420.07,442.61,2.26,2,2,0
97,23.22,0.05,23.27,42.97,2,2,0
98,22.17,0.06,22.22,45.0,2,2,0
99,21.99,0.05,22.04,45.36,2,2,0
100,325.64,0.06,325.7,3.07,2,2,0
101,23.78,0.05,23.83,41.96,2,2,0
102,26.0,0.06,26.06,38.38,2,2,0
103,23.79,0.05,23.84,41.94,2,2,0
104,27.41,371.3,398.71,2.51,2,2,0
105,270.52,0.1,270.62,3.7,2,2,0
106,24.03,0.11,24.14,41.42,2,2,0
107,24.13,0.15,24.29,41.18,2,2,0
108,23.15,0.1,23.25,43.02,2,2,0
109,27.57,0.14,27.71,36.09,2,2,0
110,281.06,0.1,281.16,3.56,2,2,0
111,23.42,0.1,23.52,42.52,2,2,0
112,23.63,359.46,383.09,2.61,2,2,0
113,25.2,0.1,25.3,39.52,2,2,0
114,25.89,0.1,26.0,38.47,2,2,0
115,306.57,0.15,306.72,3.26,2,2,0
116,17.24,0.13,17.37,57.58,2,2,0
117,17.18,0.1,17.28,57.87,2,2,0
118,23.92,0.11,24.04,41.6,2,2,0
119,21.85,0.1,21.94,45.57,2,2,0
120,312.58,444.44,757.02,1.32,2,2,0
121,24.65,0.13,24.77,40.37,2,2,0
122,25.35,0.1,25.45,39.29,2,2,0
123,21.27,0.11,21.38,46.76,2,2,0
124,27.03,0.1,27.13,36.85,2,2,0
125,330.7,0.1,330.8,3.02,2,2,0
126,20.62,0.1,20.72,48.26,2,2,0
127,24.23,0.11,24.34,41.09,2,2,0
128,22.03,354.52,376.55,2.66,2,2,0
129,21.38,0.09,21.46,46.59,2,2,0
130,251.25,0.09,251.34,3.98,2,2,0
131,16.03,0.13,16.16,61.89,2,2,0
132,16.17,0.14,16.31,61.32,2,2,0
133,16.65,0.14,16.79,59.55,2,2,0
