frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,746,91,1312,877
8,NO-Mask,751,95,1301,988
8,NO-Hardhat,754,96,1300,979
16,NO-Mask,1023,206,1667,1008
16,NO-Hardhat,1024,171,1668,1008
24,NO-Hardhat,1048,174,1686,1018
32,NO-Mask,822,148,1375,958
40,NO-Hardhat,710,102,1261,956
40,NO-Mask,714,101,1264,965
48,NO-Hardhat,703,101,1260,938
48,NO-Mask,709,102,1263,940
56,NO-Mask,683,104,1249,955
56,NO-Hardhat,683,104,1246,956
64,NO-Hardhat,480,135,1116,988
64,NO-Mask,483,133,1124,987
72,NO-Mask,507,138,1134,990
72,NO-Hardhat,505,137,1127,990
80,NO-Mask,770,101,1345,999
80,NO-Hardhat,769,113,1344,1000
88,NO-Hardhat,1012,194,1616,973
96,NO-Hardhat,965,198,1576,958
104,NO-Mask,645,88,1218,967
104,NO-Hardhat,646,88,1218,966
112,NO-Hardhat,648,89,1223,961
112,NO-Mask,652,92,1225,973
120,NO-Hardhat,648,89,1217,969
120,NO-Mask,653,87,1219,982
128,NO-Mask,691,172,1161,919
128,NO-Hardhat,689,170,1160,923
136,NO-Mask,813,169,1263,851
136,NO-Hardhat,811,176,1263,847
144,NO-Mask,838,190,1275,869
144,NO-Hardhat,840,199,1274,859
152,NO-Mask,850,191,1272,850
152,NO-Hardhat,850,195,1271,843
160,NO-Mask,830,196,1253,839
160,NO-Hardhat,829,197,1252,837
168,NO-Mask,767,282,1172,830
176,NO-Mask,813,236,1222,821
176,NO-Hardhat,813,235,1221,822
184,NO-Mask,833,199,1250,832
184,NO-Hardhat,832,201,1248,831
192,NO-Mask,834,198,1251,829
192,NO-Hardhat,834,196,1251,824
200,NO-Mask,840,202,1258,829
200,NO-Hardhat,843,204,1257,827
208,NO-Mask,832,196,1255,846
208,NO-Hardhat,834,195,1254,842
216,NO-Mask,830,197,1250,843
216,NO-Hardhat,829,197,1250,840
224,NO-Hardhat,829,198,1252,849
