ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1757829176.069011,b144fd4a,0,1,1,0,worker1,0.9171,391,89,466,182
1757829178.8707752,b144fd4a,5,1,1,0,worker1,0.9194,392,89,467,182
1757829179.665894,b144fd4a,10,1,1,0,worker1,0.9259,393,90,468,182
1757829180.4437704,b144fd4a,15,1,1,0,worker1,0.9211,393,90,469,182
1757829181.3124864,b144fd4a,20,1,1,0,worker1,0.9385,394,91,470,182
1757829182.2116666,b144fd4a,25,1,1,0,worker1,0.9405,394,90,470,182
1757829183.114881,b144fd4a,30,1,1,0,worker1,0.9457,394,90,470,182
1757829184.0261116,b144fd4a,35,1,1,0,worker1,0.9477,394,90,469,182
1757829184.9765797,b144fd4a,40,1,1,0,worker1,0.9465,393,90,469,183
1757829185.8822248,b144fd4a,45,1,1,0,worker1,0.9283,393,89,469,184
1757829186.6420057,b144fd4a,50,1,1,0,worker1,0.9379,392,88,468,185
1757829187.3740187,b144fd4a,55,1,1,0,worker1,0.9332,392,88,468,186
1757829188.1190448,b144fd4a,60,1,1,0,worker1,0.9028,392,89,469,186
1757829188.848582,b144fd4a,65,1,1,0,worker1,0.9253,394,89,469,186
1757829189.564621,b144fd4a,70,1,1,0,worker1,0.9355,391,90,467,187
1757829190.2757435,b144fd4a,75,1,1,0,worker1,0.9096,390,88,466,186
1757829190.862718,b144fd4a,80,1,1,0,worker1,0.9203,392,88,468,186
1757829191.457542,b144fd4a,85,1,1,0,worker1,0.9313,392,89,468,186
1757829192.092114,b144fd4a,90,1,1,0,worker1,0.9315,391,89,467,186
1757829192.9395835,b144fd4a,95,1,1,0,worker1,0.9297,391,89,467,187
1757829193.7415843,b144fd4a,100,1,1,0,worker1,0.9331,391,89,467,187
1757829194.5560796,b144fd4a,105,1,1,0,worker1,0.9325,391,89,467,187
1757829195.3730974,b144fd4a,110,1,1,0,worker1,0.9319,391,89,467,187
1757829196.145694,b144fd4a,115,1,1,0,worker1,0.9307,392,88,468,187
1757829196.8834407,b144fd4a,120,1,1,0,worker1,0.9277,392,88,468,187
1757829197.6389554,b144fd4a,125,1,1,0,worker1,0.9234,392,88,468,186
1757829198.4374878,b144fd4a,130,1,1,0,worker1,0.8814,391,88,468,186
1757829199.1774333,b144fd4a,135,1,1,0,worker1,0.8839,391,88,468,186
1757829199.8759093,b144fd4a,140,1,1,0,worker1,0.8885,391,88,468,186
1757829200.4750981,b144fd4a,145,1,1,0,worker1,0.8903,391,88,468,186
1757829201.2751842,b144fd4a,150,1,1,0,worker1,0.8887,391,88,468,186
1757829201.8716269,b144fd4a,155,1,1,0,worker1,0.8936,392,88,468,186
1757829202.4610708,b144fd4a,160,1,1,0,worker1,0.886,392,88,469,186
1757829203.0603778,b144fd4a,165,1,1,0,worker1,0.8955,392,88,468,186
1757829203.645342,b144fd4a,170,1,1,0,worker1,0.8899,392,88,468,186
1757829204.232931,b144fd4a,175,1,1,0,worker1,0.8848,392,88,468,186
1757829204.8204458,b144fd4a,180,1,1,0,worker1,0.8881,392,89,468,186
