frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,411.11,1970.96,2382.07,0.42,1,1,0
1,100.49,0.16,100.66,9.93,1,1,0
2,90.52,0.16,90.67,11.03,1,1,0
3,89.75,0.29,90.04,11.11,1,1,0
4,75.43,0.24,75.67,13.22,1,1,0
5,443.63,0.14,443.76,2.25,1,1,0
6,88.15,0.15,88.3,11.32,1,1,0
7,79.74,0.16,79.9,12.52,1,1,0
8,93.69,34.74,128.43,7.79,1,1,0
9,87.1,0.16,87.26,11.46,1,1,0
10,398.67,0.17,398.84,2.51,1,1,0
11,98.73,0.17,98.9,10.11,1,1,0
12,87.78,0.18,87.95,11.37,1,1,0
13,93.65,0.17,93.82,10.66,1,1,0
14,89.43,0.16,89.59,11.16,1,1,0
15,394.28,0.17,394.45,2.54,1,1,0
16,98.05,36.83,134.88,7.41,1,1,0
17,89.55,0.18,89.73,11.14,1,1,0
18,95.28,0.23,95.51,10.47,1,1,0
19,90.57,0.17,90.74,11.02,1,1,0
20,443.76,0.15,443.9,2.25,1,1,0
21,89.05,0.17,89.22,11.21,1,1,0
22,83.52,0.16,83.68,11.95,1,1,0
23,94.59,0.16,94.75,10.55,1,1,0
24,89.72,36.23,125.94,7.94,1,1,0
25,492.84,0.15,492.99,2.03,1,1,0
26,89.87,0.16,90.03,11.11,1,1,0
27,81.36,0.16,81.53,12.27,1,1,0
28,93.66,0.16,93.82,10.66,1,1,0
29,84.48,0.15,84.63,11.82,1,1,0
30,541.04,0.17,541.2,1.85,1,1,0
31,97.73,0.16,97.88,10.22,1,1,0
32,84.08,34.31,118.39,8.45,1,1,0
33,90.44,0.13,90.56,11.04,1,1,0
34,84.95,0.12,85.07,11.75,1,1,0
35,507.22,0.2,507.42,1.97,1,1,0
36,93.71,0.14,93.85,10.66,1,1,0
37,84.07,0.13,84.21,11.88,1,1,0
38,89.8,0.15,89.94,11.12,1,1,0
39,86.33,0.12,86.45,11.57,1,1,0
40,583.05,55.38,638.42,1.57,1,1,0
41,91.28,0.16,91.43,10.94,1,1,0
42,84.31,0.16,84.47,11.84,1,1,0
43,88.42,0.16,88.59,11.29,1,1,0
