frame_idx,class,x1,y1,x2,y2
0,Hardhat,371,53,484,126
0,NO-Safety Vest,292,194,558,456
8,Hardhat,372,53,486,125
8,NO-Safety Vest,293,195,559,458
16,Hardhat,374,53,487,126
16,NO-Safety Vest,293,195,560,461
24,Hardhat,374,53,488,126
24,NO-Safety Vest,293,194,560,463
32,Hardhat,374,53,488,126
32,NO-Safety Vest,293,194,561,469
40,Hardhat,374,53,488,126
40,NO-Safety Vest,292,194,561,470
48,NO-Safety Vest,291,195,560,467
48,Hardhat,374,53,487,124
56,NO-Safety Vest,291,195,561,459
56,Hardhat,373,53,487,126
64,Hardhat,375,53,488,126
64,NO-Safety Vest,293,194,558,452
72,NO-Safety Vest,292,194,557,455
72,Hardhat,372,54,485,125
80,NO-Safety Vest,294,194,559,446
80,Hardhat,374,54,487,124
88,NO-Safety Vest,292,194,559,454
88,Hardhat,373,54,487,124
96,NO-Safety Vest,294,194,559,446
96,Hardhat,372,53,486,126
104,NO-Safety Vest,293,194,560,444
104,Hardhat,372,54,486,124
112,NO-Safety Vest,293,194,560,447
112,Hardhat,373,54,486,124
120,NO-Safety Vest,293,194,560,448
120,Hardhat,373,54,487,124
128,NO-Safety Vest,295,195,557,437
128,Hardhat,374,54,486,124
136,NO-Safety Vest,294,194,557,437
136,Hardhat,373,54,486,124
144,NO-Safety Vest,294,195,557,439
144,Hardhat,373,54,486,124
152,NO-Safety Vest,294,195,557,439
152,Hardhat,373,54,486,124
160,NO-Safety Vest,294,195,557,437
160,Hardhat,374,54,487,124
168,NO-Safety Vest,294,195,556,439
168,Hardhat,373,54,486,125
176,NO-Safety Vest,294,195,557,441
176,Hardhat,373,54,486,124
184,NO-Safety Vest,294,195,557,443
184,Hardhat,373,54,486,125
