ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758350041.1251981,b6369355,0,1,1,0,anish,0.402,856,158,1273,750
1758350043.294204,b6369355,5,1,1,0,anish,0.4877,860,163,1274,762
1758350044.1764631,b6369355,10,1,1,0,anish,0.5252,839,175,1264,763
1758350044.623255,b6369355,15,1,1,0,anish,0.5281,826,182,1258,778
1758350045.430186,b6369355,20,1,1,0,anish,0.5107,819,189,1252,778
1758350046.2645912,b6369355,25,1,1,0,anish,0.5936,753,189,1206,801
1758350046.715303,b6369355,30,1,1,0,anish,0.5635,685,199,1154,810
1758350047.600806,b6369355,35,2,1,0,anish,0.532,599,195,1079,820
1758350047.600806,b6369355,35,2,1,0,anish,0.532,399,318,908,888
1758350048.096867,b6369355,40,2,1,0,anish,0.5248,682,195,1148,808
1758350048.096867,b6369355,40,2,1,0,anish,0.5248,503,284,1015,860
1758350049.138011,b6369355,45,3,1,0,anish,0.5296,682,195,1148,808
1758350049.138011,b6369355,45,3,1,0,anish,0.5296,1085,237,1544,796
1758350050.14449,b6369355,50,2,1,0,anish,0.5081,502,284,1014,860
1758350050.14449,b6369355,50,2,1,0,anish,0.5081,701,206,1166,824
1758350050.971593,b6369355,55,2,1,0,anish,0.5438,452,292,964,868
1758350050.971593,b6369355,55,2,1,0,anish,0.5438,653,205,1120,818
1758350051.901031,b6369355,60,2,1,0,anish,0.5678,537,255,1049,831
1758350051.901031,b6369355,60,2,1,0,anish,0.5678,726,184,1176,782
1758350052.7802649,b6369355,65,2,1,0,anish,0.5299,516,260,1028,836
1758350052.7802649,b6369355,65,2,1,0,anish,0.5299,703,186,1169,793
1758350053.243179,b6369355,70,3,1,0,anish,0.5053,287,369,799,945
1758350053.243179,b6369355,70,3,1,0,anish,0.5053,671,160,1151,785
1758350053.243179,b6369355,70,3,1,0,anish,0.5053,465,275,979,849
1758350054.282185,b6369355,75,3,1,0,anish,0.5241,586,212,1067,805
1758350054.282185,b6369355,75,3,1,0,anish,0.5241,809,116,1289,741
1758350054.282185,b6369355,75,3,1,0,anish,0.5241,375,318,915,894
1758350054.866,b6369355,80,3,1,0,anish,0.4517,591,222,1077,822
1758350054.866,b6369355,80,3,1,0,anish,0.4517,812,179,1228,754
1758350054.866,b6369355,80,3,1,0,anish,0.4517,600,238,1140,814
1758350055.8680499,b6369355,85,3,1,0,anish,0.5213,595,222,1081,822
1758350055.8680499,b6369355,85,3,1,0,anish,0.5213,814,174,1232,779
1758350055.8680499,b6369355,85,3,1,0,anish,0.5213,603,237,1143,813
1758350056.931116,b6369355,90,3,1,0,anish,0.4784,585,226,1071,826
1758350056.931116,b6369355,90,3,1,0,anish,0.4784,808,183,1226,761
1758350056.931116,b6369355,90,3,1,0,anish,0.4784,593,241,1133,817
1758350057.5362492,b6369355,95,3,1,0,anish,0.5163,584,224,1070,824
1758350057.5362492,b6369355,95,3,1,0,anish,0.5163,807,179,1225,755
1758350057.5362492,b6369355,95,3,1,0,anish,0.5163,593,239,1133,815
1758350058.534528,b6369355,100,3,1,0,anish,0.5152,588,230,1074,830
1758350058.534528,b6369355,100,3,1,0,anish,0.5152,811,184,1228,762
1758350058.534528,b6369355,100,3,1,0,anish,0.5152,597,245,1137,821
1758350059.494412,b6369355,105,3,1,0,anish,0.5309,590,233,1076,833
1758350059.494412,b6369355,105,3,1,0,anish,0.5309,811,181,1229,767
1758350059.494412,b6369355,105,3,1,0,anish,0.5309,599,248,1139,824
1758350060.1659148,b6369355,110,3,1,0,anish,0.5069,599,230,1085,830
1758350060.1659148,b6369355,110,3,1,0,anish,0.5069,818,180,1233,767
1758350060.1659148,b6369355,110,3,1,0,anish,0.5069,609,246,1149,822
1758350061.241952,b6369355,115,3,1,0,anish,0.5266,611,229,1097,829
1758350061.241952,b6369355,115,3,1,0,anish,0.5266,829,187,1233,764
1758350061.241952,b6369355,115,3,1,0,anish,0.5266,621,245,1161,821
1758350061.890872,b6369355,120,3,1,0,anish,0.5493,612,229,1098,829
1758350061.890872,b6369355,120,3,1,0,anish,0.5493,830,183,1237,771
1758350061.890872,b6369355,120,3,1,0,anish,0.5493,622,245,1162,821
1758350062.864466,b6369355,125,3,1,0,anish,0.5294,606,223,1092,823
1758350062.864466,b6369355,125,3,1,0,anish,0.5294,826,182,1237,755
1758350062.864466,b6369355,125,3,1,0,anish,0.5294,616,239,1156,815
1758350063.8112419,b6369355,130,3,1,0,anish,0.5579,606,224,1092,824
1758350063.8112419,b6369355,130,3,1,0,anish,0.5579,826,182,1228,769
1758350063.8112419,b6369355,130,3,1,0,anish,0.5579,615,239,1155,815
1758350064.419609,b6369355,135,3,1,0,anish,0.4828,595,228,1081,828
1758350064.419609,b6369355,135,3,1,0,anish,0.4828,813,177,1231,770
1758350064.419609,b6369355,135,3,1,0,anish,0.4828,605,243,1145,819
1758350065.386614,b6369355,140,3,1,0,anish,0.518,589,228,1075,828
1758350065.386614,b6369355,140,3,1,0,anish,0.518,811,178,1231,762
1758350065.386614,b6369355,140,3,1,0,anish,0.518,598,243,1138,819
1758350066.4026492,b6369355,145,3,1,0,anish,0.4617,591,227,1077,827
1758350066.4026492,b6369355,145,3,1,0,anish,0.4617,813,178,1231,784
1758350066.4026492,b6369355,145,3,1,0,anish,0.4617,600,242,1140,818
1758350066.973542,b6369355,150,3,1,0,anish,0.5309,583,226,1069,826
1758350066.973542,b6369355,150,3,1,0,anish,0.5309,809,183,1229,765
1758350066.973542,b6369355,150,3,1,0,anish,0.5309,592,241,1132,817
