frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,507.19,1496.16,2003.35,0.5,1,1,0
1,13.36,0.18,13.54,73.88,1,1,0
2,17.72,0.06,17.78,56.25,1,1,0
3,56.31,0.11,56.43,17.72,1,1,0
4,11.72,0.06,11.78,84.88,1,1,0
5,398.77,0.07,398.84,2.51,1,1,0
6,9.23,0.12,9.35,107.01,1,1,0
7,9.28,0.09,9.38,106.64,1,1,0
8,11.86,430.99,442.85,2.26,1,1,0
9,8.77,0.09,8.86,112.88,1,1,0
10,282.0,0.09,282.09,3.54,1,1,0
11,10.65,0.1,10.75,93.03,1,1,0
12,12.15,0.1,12.25,81.63,1,1,0
13,10.19,0.09,10.28,97.28,1,1,0
14,9.76,0.09,9.85,101.51,1,1,0
15,297.28,0.1,297.38,3.36,1,1,0
16,9.53,360.37,369.9,2.7,1,1,0
17,9.47,0.08,9.55,104.72,1,1,0
18,9.56,0.08,9.64,103.68,1,1,0
19,9.75,0.09,9.84,101.65,1,1,0
20,268.72,0.08,268.81,3.72,1,1,0
21,8.82,0.08,8.89,112.44,1,1,0
22,10.12,0.08,10.2,98.06,1,1,0
23,10.94,0.09,11.03,90.69,1,1,0
24,10.54,357.09,367.63,2.72,1,1,0
25,303.41,0.08,303.49,3.3,1,1,0
26,10.78,0.09,10.87,92.0,1,1,0
27,11.44,0.08,11.52,86.78,1,1,0
28,13.12,0.09,13.21,75.69,1,1,0
29,10.23,0.09,10.32,96.87,1,1,0
30,287.7,0.09,287.79,3.47,1,1,0
31,11.41,0.09,11.5,86.99,1,1,0
32,14.14,389.03,403.17,2.48,1,1,0
33,11.77,0.1,11.87,84.26,1,1,0
34,13.32,0.1,13.41,74.54,1,1,0
35,339.47,0.1,339.57,2.94,2,2,0
36,21.04,0.24,21.28,47.0,2,2,0
37,24.76,0.1,24.86,40.22,2,2,0
38,23.39,0.09,23.48,42.6,2,2,0
39,20.82,0.11,20.92,47.8,2,2,0
40,299.37,559.24,858.61,1.16,2,2,0
41,22.42,0.08,22.5,44.44,2,2,0
42,16.83,0.08,16.91,59.14,2,2,0
43,17.49,0.11,17.6,56.83,2,2,0
44,19.88,0.13,20.01,49.96,2,2,0
45,424.29,0.09,424.37,2.36,3,3,0
46,27.34,0.11,27.45,36.42,2,2,0
47,21.4,0.1,21.5,46.51,2,2,0
48,21.22,388.18,409.4,2.44,2,2,0
49,21.64,0.09,21.73,46.02,2,2,0
50,314.15,0.12,314.27,3.18,2,2,0
51,27.21,0.14,27.35,36.56,2,2,0
52,93.52,0.32,93.84,10.66,2,2,0
53,38.52,0.09,38.62,25.9,2,2,0
54,26.02,0.13,26.15,38.24,2,2,0
55,442.19,0.14,442.33,2.26,2,2,0
56,23.14,404.44,427.58,2.34,2,2,0
57,26.1,0.06,26.16,38.23,2,2,0
58,22.89,0.05,22.94,43.6,2,2,0
59,24.28,0.05,24.33,41.09,2,2,0
60,304.26,0.05,304.31,3.29,2,2,0
61,19.41,0.06,19.46,51.37,2,2,0
62,22.07,0.05,22.13,45.2,2,2,0
63,25.55,0.05,25.6,39.06,2,2,0
64,20.95,379.61,400.56,2.5,2,2,0
65,278.9,0.08,278.98,3.58,2,2,0
66,19.52,0.09,19.61,50.99,2,2,0
67,17.44,0.08,17.52,57.08,2,2,0
68,22.97,0.1,23.07,43.35,2,2,0
69,25.29,0.09,25.37,39.41,2,2,0
70,277.69,0.08,277.77,3.6,3,3,0
71,34.83,0.09,34.91,28.64,3,3,0
72,35.14,372.96,408.1,2.45,3,3,0
73,32.76,0.01,32.77,30.52,3,3,0
74,32.24,0.01,32.25,31.01,3,3,0
75,370.83,0.0,370.83,2.7,3,3,0
76,33.5,0.0,33.5,29.85,3,3,0
77,32.02,0.01,32.03,31.22,3,3,0
78,37.82,0.01,37.83,26.44,3,3,0
79,32.54,0.01,32.55,30.72,3,3,0
80,300.88,398.99,699.87,1.43,3,3,0
81,29.08,0.08,29.17,34.29,3,3,0
82,28.08,0.08,28.16,35.51,3,3,0
83,29.17,0.11,29.28,34.16,3,3,0
84,31.91,0.08,31.99,31.26,3,3,0
85,302.36,0.08,302.44,3.31,3,3,0
86,29.83,0.09,29.92,33.42,3,3,0
87,32.72,0.09,32.8,30.48,3,3,0
88,29.58,380.93,410.51,2.44,3,3,0
89,36.79,0.09,36.89,27.11,3,3,0
90,395.07,0.11,395.18,2.53,3,3,0
91,34.51,0.08,34.59,28.91,3,3,0
92,29.94,0.09,30.03,33.3,3,3,0
93,29.78,0.09,29.86,33.49,3,3,0
94,29.83,0.11,29.95,33.39,3,3,0
95,302.39,0.08,302.47,3.31,3,3,0
96,31.93,422.06,453.98,2.2,3,3,0
97,28.66,0.09,28.75,34.78,3,3,0
98,28.85,0.09,28.94,34.55,3,3,0
99,30.96,0.09,31.05,32.21,3,3,0
100,266.05,0.08,266.13,3.76,3,3,0
101,33.32,0.09,33.41,29.93,3,3,0
102,32.36,0.08,32.44,30.83,3,3,0
103,31.1,0.12,31.22,32.03,3,3,0
104,29.82,360.98,390.8,2.56,3,3,0
105,327.36,0.1,327.46,3.05,3,3,0
106,32.88,0.09,32.96,30.34,3,3,0
