frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,785,40,1303,805
8,NO-Hardhat,783,140,1305,802
8,NO-Mask,784,141,1305,802
16,NO-Hardhat,771,167,1285,810
16,NO-Mask,774,163,1283,809
24,NO-Hardhat,761,152,1270,850
24,NO-Mask,761,153,1270,849
32,NO-Mask,585,205,1193,858
32,NO-Hardhat,582,205,1193,859
40,NO-Mask,650,173,1189,847
40,NO-Hardhat,648,171,1189,848
48,NO-Mask,929,73,1522,806
48,NO-Hardhat,931,75,1524,806
56,NO-Hardhat,675,164,1203,823
64,NO-Hardhat,704,150,1211,813
64,NO-Mask,703,156,1212,813
80,NO-Hardhat,750,150,1267,808
80,NO-Mask,751,151,1270,809
88,NO-Hardhat,759,163,1264,813
88,NO-Mask,757,159,1265,811
96,NO-Hardhat,753,159,1248,806
96,NO-Mask,751,161,1251,804
104,NO-Hardhat,754,167,1260,806
104,NO-Mask,759,162,1258,806
112,NO-Hardhat,754,141,1280,804
112,NO-Mask,757,146,1278,802
120,NO-Hardhat,760,171,1286,808
120,NO-Mask,763,166,1285,808
128,NO-Hardhat,760,168,1277,801
128,NO-Mask,764,164,1276,801
136,NO-Hardhat,754,160,1265,813
136,NO-Mask,755,160,1264,812
144,NO-Hardhat,760,164,1262,807
144,NO-Mask,761,168,1263,807
152,NO-Mask,760,174,1257,806
152,NO-Hardhat,757,171,1256,805
