ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758352221.482881,b6cbf0a4,5,1,1,0,anish,0.5226,890,179,1322,775
1758352222.277062,b6cbf0a4,10,1,1,0,anish,0.5182,878,190,1321,788
1758352222.702975,b6cbf0a4,15,1,1,0,anish,0.5247,853,188,1310,799
1758352223.506819,b6cbf0a4,20,1,1,0,anish,0.5753,847,191,1300,799
1758352224.338169,b6cbf0a4,25,1,1,0,anish,0.5341,938,192,1385,791
1758352224.7587898,b6cbf0a4,30,2,1,0,anish,0.5236,1015,204,1465,804
1758352224.7587898,b6cbf0a4,30,2,1,0,anish,0.5236,1197,245,1690,831
1758352225.729805,b6cbf0a4,35,2,1,0,anish,0.5206,796,184,1262,802
1758352225.729805,b6cbf0a4,35,2,1,0,anish,0.5206,939,193,1439,793
1758352226.2440262,b6cbf0a4,40,2,1,0,anish,0.5597,899,108,1379,733
1758352226.2440262,b6cbf0a4,40,2,1,0,anish,0.5597,671,204,1160,805
1758352227.1858392,b6cbf0a4,45,2,1,0,anish,0.5433,923,91,1403,716
1758352227.1858392,b6cbf0a4,45,2,1,0,anish,0.5433,693,202,1173,798
1758352228.120149,b6cbf0a4,50,2,1,0,anish,0.568,921,145,1401,770
1758352228.120149,b6cbf0a4,50,2,1,0,anish,0.568,729,257,1128,789
1758352228.875772,b6cbf0a4,55,2,1,0,anish,0.5873,915,138,1395,763
1758352228.875772,b6cbf0a4,55,2,1,0,anish,0.5873,727,261,1125,778
1758352229.77894,b6cbf0a4,60,2,1,0,anish,0.5989,926,135,1406,760
1758352229.77894,b6cbf0a4,60,2,1,0,anish,0.5989,742,255,1129,774
1758352230.6293828,b6cbf0a4,65,2,1,0,anish,0.596,929,135,1409,760
1758352230.6293828,b6cbf0a4,65,2,1,0,anish,0.596,743,252,1131,772
1758352231.06845,b6cbf0a4,70,2,1,0,anish,0.6025,926,135,1406,760
1758352231.06845,b6cbf0a4,70,2,1,0,anish,0.6025,742,256,1129,770
1758352231.9218838,b6cbf0a4,75,2,1,0,anish,0.6068,924,134,1404,759
1758352231.9218838,b6cbf0a4,75,2,1,0,anish,0.6068,740,257,1129,771
1758352232.327924,b6cbf0a4,80,2,1,0,anish,0.6056,923,134,1403,759
1758352232.327924,b6cbf0a4,80,2,1,0,anish,0.6056,740,258,1128,772
1758352233.13056,b6cbf0a4,85,3,1,0,anish,0.4268,989,108,1469,733
1758352233.13056,b6cbf0a4,85,3,1,0,anish,0.4268,740,258,1128,772
1758352233.13056,b6cbf0a4,85,3,1,0,anish,0.4268,902,218,1246,700
1758352233.984782,b6cbf0a4,90,2,1,0,anish,0.3963,990,108,1470,733
1758352233.984782,b6cbf0a4,90,2,1,0,anish,0.3963,910,222,1243,694
1758352234.399884,b6cbf0a4,95,2,1,0,anish,0.3952,987,108,1467,733
1758352234.399884,b6cbf0a4,95,2,1,0,anish,0.3952,907,228,1240,693
1758352235.2039309,b6cbf0a4,100,2,1,0,anish,0.3851,984,108,1464,733
1758352235.2039309,b6cbf0a4,100,2,1,0,anish,0.3851,908,231,1236,692
1758352236.074882,b6cbf0a4,105,2,1,0,anish,0.4735,1028,114,1508,739
1758352236.074882,b6cbf0a4,105,2,1,0,anish,0.4735,837,233,1206,710
1758352236.612721,b6cbf0a4,110,2,1,0,anish,0.592,940,115,1420,740
1758352236.612721,b6cbf0a4,110,2,1,0,anish,0.592,747,256,1131,751
1758352237.582458,b6cbf0a4,115,2,1,0,anish,0.5558,937,133,1417,758
1758352237.582458,b6cbf0a4,115,2,1,0,anish,0.5558,744,266,1128,767
1758352238.011141,b6cbf0a4,120,2,1,0,anish,0.555,990,154,1470,779
1758352238.011141,b6cbf0a4,120,2,1,0,anish,0.555,779,249,1170,779
1758352238.795615,b6cbf0a4,125,3,1,0,anish,0.5252,1195,43,1675,668
1758352238.795615,b6cbf0a4,125,3,1,0,anish,0.5252,1366,345,1841,877
1758352239.761311,b6cbf0a4,130,3,1,0,anish,0.562,976,161,1456,786
1758352239.761311,b6cbf0a4,130,3,1,0,anish,0.562,754,236,1172,798
1758352240.519302,b6cbf0a4,135,4,1,0,anish,0.5356,1085,175,1565,800
1758352240.519302,b6cbf0a4,135,4,1,0,anish,0.5356,657,241,1089,817
1758352240.519302,b6cbf0a4,135,4,1,0,anish,0.5356,862,247,1263,784
1758352241.658401,b6cbf0a4,140,4,1,0,anish,0.5586,1074,256,1505,797
1758352241.658401,b6cbf0a4,140,4,1,0,anish,0.5586,1215,330,1695,870
1758352241.658401,b6cbf0a4,140,4,1,0,anish,0.5586,889,246,1294,786
1758352242.699317,b6cbf0a4,145,4,1,0,anish,0.5543,1106,237,1538,813
1758352242.699317,b6cbf0a4,145,4,1,0,anish,0.5543,1042,291,1522,831
1758352242.699317,b6cbf0a4,145,4,1,0,anish,0.5543,590,209,1022,785
1758352242.699317,b6cbf0a4,145,4,1,0,anish,0.5543,927,247,1323,787
1758352243.291347,b6cbf0a4,150,4,1,0,anish,0.5631,1084,234,1516,810
1758352243.291347,b6cbf0a4,150,4,1,0,anish,0.5631,1019,288,1499,828
1758352243.291347,b6cbf0a4,150,4,1,0,anish,0.5631,568,215,1000,791
1758352243.291347,b6cbf0a4,150,4,1,0,anish,0.5631,906,245,1304,787
1758352244.217599,b6cbf0a4,155,4,1,0,anish,0.5789,1078,230,1510,806
1758352244.217599,b6cbf0a4,155,4,1,0,anish,0.5789,1013,284,1493,824
1758352244.217599,b6cbf0a4,155,4,1,0,anish,0.5789,565,214,997,790
1758352244.217599,b6cbf0a4,155,4,1,0,anish,0.5789,903,242,1300,786
1758352244.781468,b6cbf0a4,160,4,1,0,anish,0.5645,1076,221,1508,797
1758352244.781468,b6cbf0a4,160,4,1,0,anish,0.5645,1011,275,1491,815
1758352244.781468,b6cbf0a4,160,4,1,0,anish,0.5645,559,218,991,794
1758352244.781468,b6cbf0a4,160,4,1,0,anish,0.5645,895,236,1292,781
1758352245.746846,b6cbf0a4,165,4,1,0,anish,0.5831,1045,229,1477,805
1758352245.746846,b6cbf0a4,165,4,1,0,anish,0.5831,980,283,1460,823
1758352245.746846,b6cbf0a4,165,4,1,0,anish,0.5831,529,240,961,816
1758352245.746846,b6cbf0a4,165,4,1,0,anish,0.5831,872,244,1278,793
1758352246.785559,b6cbf0a4,170,4,1,0,anish,0.5736,980,205,1412,781
1758352246.785559,b6cbf0a4,170,4,1,0,anish,0.5736,914,259,1394,799
1758352246.785559,b6cbf0a4,170,4,1,0,anish,0.5736,467,252,899,828
1758352246.785559,b6cbf0a4,170,4,1,0,anish,0.5736,810,223,1247,793
1758352247.631645,b6cbf0a4,175,4,1,0,anish,0.5417,1023,191,1455,767
1758352247.631645,b6cbf0a4,175,4,1,0,anish,0.5417,956,245,1436,785
1758352247.631645,b6cbf0a4,175,4,1,0,anish,0.5417,467,252,899,828
1758352247.631645,b6cbf0a4,175,4,1,0,anish,0.5417,828,204,1286,782
1758352248.6672142,b6cbf0a4,180,4,1,0,anish,0.5778,1020,161,1452,737
1758352248.6672142,b6cbf0a4,180,4,1,0,anish,0.5778,954,215,1434,755
1758352248.6672142,b6cbf0a4,180,4,1,0,anish,0.5778,467,252,899,828
1758352248.6672142,b6cbf0a4,180,4,1,0,anish,0.5778,821,190,1291,772
1758352250.432292,b6cbf0a4,185,4,1,0,anish,0.5152,1074,305,1506,881
1758352250.432292,b6cbf0a4,185,4,1,0,anish,0.5152,1008,359,1488,899
1758352250.432292,b6cbf0a4,185,4,1,0,anish,0.5152,467,252,899,828
1758352250.432292,b6cbf0a4,185,4,1,0,anish,0.5152,832,261,1313,869
1758352251.0143108,b6cbf0a4,190,4,1,0,anish,0.543,1074,292,1506,868
1758352251.0143108,b6cbf0a4,190,4,1,0,anish,0.543,1009,346,1489,886
1758352251.0143108,b6cbf0a4,190,4,1,0,anish,0.543,467,252,899,828
1758352251.0143108,b6cbf0a4,190,4,1,0,anish,0.543,837,254,1311,862
1758352252.004686,b6cbf0a4,195,4,1,0,anish,0.52,1051,258,1483,834
1758352252.004686,b6cbf0a4,195,4,1,0,anish,0.52,987,311,1467,851
1758352252.004686,b6cbf0a4,195,4,1,0,anish,0.52,467,252,899,828
1758352252.004686,b6cbf0a4,195,4,1,0,anish,0.52,834,236,1299,843
1758352252.836064,b6cbf0a4,200,4,1,0,anish,0.5049,1047,209,1479,785
1758352252.836064,b6cbf0a4,200,4,1,0,anish,0.5049,985,261,1465,801
1758352252.836064,b6cbf0a4,200,4,1,0,anish,0.5049,467,252,899,828
1758352252.836064,b6cbf0a4,200,4,1,0,anish,0.5049,844,206,1287,800
1758352253.84391,b6cbf0a4,205,4,1,0,anish,0.5815,1077,196,1509,772
1758352253.84391,b6cbf0a4,205,4,1,0,anish,0.5815,1021,248,1501,788
1758352253.84391,b6cbf0a4,205,4,1,0,anish,0.5815,467,252,899,828
1758352253.84391,b6cbf0a4,205,4,1,0,anish,0.5815,874,204,1302,786
1758352254.856216,b6cbf0a4,210,4,1,0,anish,0.5647,1067,192,1499,768
1758352254.856216,b6cbf0a4,210,4,1,0,anish,0.5647,1012,243,1492,783
1758352254.856216,b6cbf0a4,210,4,1,0,anish,0.5647,467,252,899,828
1758352254.856216,b6cbf0a4,210,4,1,0,anish,0.5647,867,199,1296,782
1758352255.449159,b6cbf0a4,215,4,1,0,anish,0.5563,1066,191,1498,767
1758352255.449159,b6cbf0a4,215,4,1,0,anish,0.5563,1012,242,1492,782
1758352255.449159,b6cbf0a4,215,4,1,0,anish,0.5563,467,252,899,828
1758352255.449159,b6cbf0a4,215,4,1,0,anish,0.5563,867,202,1294,780
