frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,228.81,518.61,747.41,1.34,0,0,0
1,1.9,0.01,1.91,523.31,0,0,0
2,0.39,0.01,0.4,2531.26,0,0,0
3,1.53,0.02,1.55,646.87,0,0,0
4,0.56,0.01,0.56,1770.5,0,0,0
5,350.37,0.0,350.37,2.85,1,1,0
6,11.37,0.0,11.37,87.92,1,1,0
7,10.1,0.01,10.11,98.95,1,1,0
8,9.86,373.32,383.17,2.61,1,1,0
9,9.65,0.09,9.74,102.68,1,1,0
10,275.31,0.13,275.44,3.63,1,1,0
11,13.47,0.11,13.58,73.63,1,1,0
12,9.24,0.09,9.33,107.19,1,1,0
13,9.69,0.09,9.78,102.25,1,1,0
14,11.82,0.1,11.91,83.94,1,1,0
15,271.59,0.09,271.68,3.68,1,1,0
16,11.76,373.31,385.07,2.6,1,1,0
17,11.59,0.09,11.68,85.61,1,1,0
18,11.57,0.09,11.66,85.76,1,1,0
19,11.25,0.09,11.34,88.19,1,1,0
20,275.51,0.09,275.6,3.63,1,1,0
21,11.19,0.09,11.28,88.65,1,1,0
22,14.54,0.12,14.66,68.2,1,1,0
23,11.63,0.09,11.72,85.33,1,1,0
24,14.51,389.46,403.97,2.48,1,1,0
25,270.41,0.09,270.5,3.7,1,1,0
26,10.69,0.09,10.78,92.74,1,1,0
27,9.27,0.09,9.36,106.86,1,1,0
28,14.74,0.1,14.84,67.38,1,1,0
29,12.0,0.12,12.12,82.5,1,1,0
30,259.09,0.09,259.18,3.86,2,2,0
31,20.58,0.09,20.67,48.37,2,2,0
32,20.96,371.99,392.95,2.54,2,2,0
33,22.26,0.1,22.36,44.72,2,2,0
34,23.01,0.09,23.11,43.28,2,2,0
35,363.29,0.11,363.41,2.75,2,2,0
36,23.73,0.1,23.83,41.97,2,2,0
37,22.55,0.09,22.64,44.17,2,2,0
38,24.73,0.1,24.82,40.29,2,2,0
39,22.33,0.09,22.42,44.61,2,2,0
40,310.71,387.19,697.9,1.43,2,2,0
41,25.24,0.06,25.3,39.52,2,2,0
42,24.26,0.05,24.31,41.13,2,2,0
43,23.78,0.05,23.83,41.97,2,2,0
44,27.76,0.06,27.82,35.95,2,2,0
45,315.89,0.05,315.94,3.17,2,2,0
46,26.4,0.05,26.45,37.81,2,2,0
47,23.25,0.05,23.3,42.92,2,2,0
48,21.61,390.28,411.9,2.43,2,2,0
49,22.38,0.09,22.47,44.51,2,2,0
50,317.49,0.11,317.6,3.15,2,2,0
51,25.02,0.1,25.12,39.81,2,2,0
52,20.72,0.14,20.86,47.93,2,2,0
53,23.45,0.1,23.55,42.46,2,2,0
54,21.28,0.09,21.37,46.79,2,2,0
55,540.48,0.1,540.58,1.85,2,2,0
56,19.92,422.48,442.41,2.26,2,2,0
57,25.7,0.15,25.85,38.68,2,2,0
58,22.85,0.09,22.94,43.6,2,2,0
59,20.32,0.1,20.41,48.99,2,2,0
60,277.46,0.08,277.54,3.6,2,2,0
61,20.69,0.08,20.77,48.14,2,2,0
62,18.5,0.08,18.58,53.82,2,2,0
63,19.66,0.09,19.75,50.64,2,2,0
64,21.92,391.68,413.6,2.42,2,2,0
65,293.01,0.08,293.09,3.41,2,2,0
66,19.8,0.1,19.9,50.26,2,2,0
