frame_idx,class,x1,y1,x2,y2
8,NO-Hardhat,826,73,1365,832
8,NO-Mask,828,127,1363,828
16,NO-Mask,801,151,1322,837
16,NO-Hardhat,798,130,1324,838
24,NO-Hardhat,798,79,1323,836
24,NO-Mask,805,129,1325,835
32,NO-Mask,1053,122,1718,845
32,NO-Hardhat,1072,108,1718,843
40,NO-Hardhat,623,96,1206,838
48,NO-Hardhat,673,82,1222,850
48,NO-Mask,682,113,1222,848
56,NO-Hardhat,665,230,1151,828
56,NO-Mask,690,234,1149,828
64,NO-Hardhat,688,239,1150,829
64,NO-Mask,701,239,1151,829
72,NO-Hardhat,689,240,1147,829
72,NO-Mask,701,240,1147,829
80,NO-Hardhat,692,241,1145,825
80,NO-Mask,702,240,1145,826
88,NO-Mask,846,247,1258,724
88,NO-Hardhat,841,254,1251,727
96,NO-Mask,852,254,1258,717
96,NO-Hardhat,845,260,1252,722
104,NO-Mask,855,255,1255,715
104,NO-Hardhat,843,261,1251,720
112,NO-Hardhat,696,245,1146,819
120,NO-Hardhat,690,209,1188,845
120,NO-Mask,697,205,1187,846
128,NO-Mask,973,208,1471,807
136,NO-Hardhat,1046,264,1609,865
144,NO-Mask,876,234,1354,828
144,NO-Hardhat,870,232,1352,828
152,NO-Mask,854,227,1319,830
152,NO-Hardhat,846,225,1320,829
160,NO-Hardhat,827,199,1324,816
160,NO-Mask,828,188,1326,819
168,NO-Mask,798,140,1290,826
168,NO-Hardhat,794,163,1291,822
176,NO-Hardhat,756,153,1308,860
184,NO-Hardhat,742,72,1295,818
192,NO-Hardhat,793,203,1347,893
200,NO-Hardhat,774,64,1310,847
200,NO-Mask,777,75,1309,845
208,NO-Hardhat,801,113,1334,818
208,NO-Mask,803,123,1333,819
216,NO-Hardhat,798,126,1325,817
216,NO-Mask,800,130,1326,818
