frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,434.19,106.95,541.14,1.85,1,1,0
1,95.43,0.13,95.56,10.46,1,1,0
2,85.11,0.13,85.24,11.73,1,1,0
3,90.41,0.18,90.59,11.04,1,1,0
4,89.71,0.17,89.87,11.13,1,1,0
5,358.39,0.15,358.54,2.79,1,1,0
6,109.87,0.16,110.03,9.09,1,1,0
7,98.07,0.27,98.35,10.17,1,1,0
8,99.1,38.66,137.77,7.26,1,1,0
9,89.28,0.13,89.41,11.18,1,1,0
10,445.51,0.19,445.7,2.24,1,1,0
11,97.04,0.17,97.21,10.29,1,1,0
12,90.8,0.18,90.98,10.99,1,1,0
13,95.21,0.15,95.36,10.49,1,1,0
14,88.08,0.18,88.26,11.33,1,1,0
15,471.06,0.17,471.23,2.12,1,1,0
16,97.12,46.57,143.7,6.96,1,1,0
17,89.58,0.18,89.76,11.14,1,1,0
18,95.6,0.14,95.75,10.44,1,1,0
19,87.94,0.17,88.11,11.35,1,1,0
20,415.97,0.18,416.15,2.4,1,1,0
21,104.75,0.13,104.88,9.53,1,1,0
22,83.84,0.13,83.97,11.91,1,1,0
23,89.43,0.12,89.55,11.17,1,1,0
24,86.03,59.5,145.53,6.87,1,1,0
25,345.68,0.19,345.86,2.89,1,1,0
26,95.87,0.13,96.0,10.42,1,1,0
27,84.4,0.12,84.52,11.83,1,1,0
28,89.31,0.11,89.42,11.18,1,1,0
29,85.3,0.13,85.43,11.71,1,1,0
30,347.85,0.15,348.0,2.87,1,1,0
31,93.65,0.2,93.86,10.65,1,1,0
32,90.59,40.2,130.79,7.65,1,1,0
33,100.74,0.19,100.93,9.91,1,1,0
34,90.55,0.14,90.69,11.03,1,1,0
35,328.1,0.19,328.28,3.05,1,1,0
36,99.56,0.19,99.75,10.03,1,1,0
37,94.17,0.19,94.36,10.6,1,1,0
38,96.19,0.21,96.4,10.37,1,1,0
39,95.61,0.2,95.81,10.44,1,1,0
40,515.58,25.94,541.52,1.85,1,1,0
41,72.06,0.13,72.2,13.85,1,1,0
42,65.99,0.14,66.13,15.12,1,1,0
43,69.9,0.13,70.04,14.28,1,1,0
44,67.05,0.13,67.19,14.88,1,1,0
45,285.5,0.14,285.64,3.5,1,1,0
46,67.97,0.12,68.09,14.69,1,1,0
47,59.69,0.15,59.85,16.71,1,1,0
48,64.47,24.87,89.35,11.19,1,1,0
49,63.73,0.09,63.82,15.67,1,1,0
50,350.86,0.13,350.99,2.85,1,1,0
51,79.37,0.13,79.5,12.58,1,1,0
52,72.95,0.12,73.08,13.68,1,1,0
53,78.79,0.12,78.92,12.67,1,1,0
54,84.31,0.12,84.43,11.84,1,1,0
55,449.85,0.16,450.01,2.22,1,1,0
56,79.72,27.31,107.03,9.34,1,1,0
57,73.91,0.12,74.03,13.51,1,1,0
58,76.7,0.11,76.81,13.02,1,1,0
59,72.66,0.1,72.77,13.74,1,1,0
60,387.35,0.14,387.49,2.58,1,1,0
