ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758348611.89997,c30b2cad,5,1,1,0,anish,0.5274,907,166,1351,750
1758348612.9313989,c30b2cad,10,1,1,0,anish,0.554,890,159,1338,764
1758348613.356344,c30b2cad,15,1,1,0,anish,0.5532,876,171,1326,767
1758348614.2088819,c30b2cad,20,1,1,0,anish,0.5806,851,166,1312,771
1758348615.0322812,c30b2cad,25,1,1,0,anish,0.5341,807,156,1285,781
1758348615.474916,c30b2cad,30,2,1,0,anish,0.5594,794,127,1274,752
1758348615.474916,c30b2cad,30,2,1,0,anish,0.5594,560,228,1077,830
1758348616.3266492,c30b2cad,35,2,1,0,anish,0.5464,1003,346,1439,930
1758348616.3266492,c30b2cad,35,2,1,0,anish,0.5464,803,347,1343,972
1758348616.832953,c30b2cad,40,2,1,0,anish,0.5523,1002,360,1426,926
1758348616.832953,c30b2cad,40,2,1,0,anish,0.5523,787,349,1327,974
1758348617.672966,c30b2cad,45,2,1,0,anish,0.5562,1162,351,1594,927
1758348617.672966,c30b2cad,45,2,1,0,anish,0.5562,944,367,1362,931
1758348618.5647192,c30b2cad,50,2,1,0,anish,0.5788,1149,348,1581,924
1758348618.5647192,c30b2cad,50,2,1,0,anish,0.5788,937,368,1351,929
1758348618.986707,c30b2cad,55,2,1,0,anish,0.592,1146,347,1578,923
1758348618.986707,c30b2cad,55,2,1,0,anish,0.592,933,370,1347,928
1758348619.833822,c30b2cad,60,2,1,0,anish,0.5729,1130,310,1562,886
1758348619.833822,c30b2cad,60,2,1,0,anish,0.5729,925,351,1338,900
1758348620.6485639,c30b2cad,65,2,1,0,anish,0.5808,1111,268,1543,844
1758348620.6485639,c30b2cad,65,2,1,0,anish,0.5808,918,334,1326,872
1758348621.1007109,c30b2cad,70,2,1,0,anish,0.57,1107,267,1539,843
1758348621.1007109,c30b2cad,70,2,1,0,anish,0.57,912,334,1324,870
1758348621.911093,c30b2cad,75,2,1,0,anish,0.6027,1101,267,1533,843
1758348621.911093,c30b2cad,75,2,1,0,anish,0.6027,908,331,1319,873
1758348622.3161778,c30b2cad,80,2,1,0,anish,0.5987,1090,268,1522,844
1758348622.3161778,c30b2cad,80,2,1,0,anish,0.5987,906,336,1307,864
1758348623.1322381,c30b2cad,85,2,1,0,anish,0.6119,1093,290,1525,866
1758348623.1322381,c30b2cad,85,2,1,0,anish,0.6119,918,357,1308,877
1758348623.972202,c30b2cad,90,2,1,0,anish,0.5909,1114,389,1546,965
1758348623.972202,c30b2cad,90,2,1,0,anish,0.5909,902,401,1324,962
1758348624.411326,c30b2cad,95,2,1,0,anish,0.5238,1145,446,1577,1022
1758348624.411326,c30b2cad,95,2,1,0,anish,0.5238,905,431,1346,1006
1758348625.225954,c30b2cad,100,2,1,0,anish,0.5707,1124,425,1556,1001
1758348625.225954,c30b2cad,100,2,1,0,anish,0.5707,896,424,1331,999
1758348626.0598989,c30b2cad,105,2,1,0,anish,0.5894,686,435,1162,993
1758348626.0598989,c30b2cad,105,2,1,0,anish,0.5894,870,354,1320,930
1758348626.58008,c30b2cad,110,2,1,0,anish,0.6031,728,409,1194,976
1758348626.58008,c30b2cad,110,2,1,0,anish,0.6031,917,336,1367,912
1758348627.493602,c30b2cad,115,2,1,0,anish,0.5793,854,370,1291,955
1758348627.493602,c30b2cad,115,2,1,0,anish,0.5793,1074,317,1524,893
1758348627.948807,c30b2cad,120,2,1,0,anish,0.5861,860,367,1297,953
1758348627.948807,c30b2cad,120,2,1,0,anish,0.5861,1083,316,1533,892
1758348628.729656,c30b2cad,125,2,1,0,anish,0.5232,932,362,1343,922
1758348628.729656,c30b2cad,125,2,1,0,anish,0.5232,1158,301,1608,877
1758348629.556837,c30b2cad,130,2,1,0,anish,0.597,1006,362,1407,909
1758348629.556837,c30b2cad,130,2,1,0,anish,0.597,1233,305,1683,881
1758348629.977377,c30b2cad,135,2,1,0,anish,0.4412,930,364,1326,893
1758348629.977377,c30b2cad,135,2,1,0,anish,0.4412,1139,280,1589,856
1758348630.799983,c30b2cad,140,2,1,0,anish,0.571,857,353,1275,905
1758348630.799983,c30b2cad,140,2,1,0,anish,0.571,1056,275,1506,851
1758348631.587817,c30b2cad,145,2,0,1,Unknown,0.2765,896,378,1313,934
1758348631.587817,c30b2cad,145,2,0,1,Unknown,0.2765,1119,313,1569,889
1758348632.0509079,c30b2cad,150,2,0,1,Unknown,0.2676,905,374,1319,948
1758348632.0509079,c30b2cad,150,2,0,1,Unknown,0.2676,1129,314,1579,890
1758348632.912069,c30b2cad,155,2,0,1,Unknown,0.2533,910,372,1322,950
1758348632.912069,c30b2cad,155,2,0,1,Unknown,0.2533,1132,314,1582,890
1758348633.3134248,c30b2cad,160,2,1,0,anish,0.5649,893,371,1307,927
1758348633.3134248,c30b2cad,160,2,1,0,anish,0.5649,1113,307,1563,883
1758348634.0907578,c30b2cad,165,2,1,0,anish,0.553,927,367,1333,921
1758348634.0907578,c30b2cad,165,2,1,0,anish,0.553,1148,309,1598,885
