frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,218.94,765.15,984.08,1.02,0,0,0
1,0.77,0.01,0.78,1276.8,0,0,0
2,1.63,0.01,1.64,610.08,0,0,0
3,0.58,0.01,0.59,1695.35,0,0,0
4,0.58,0.01,0.59,1706.39,0,0,0
5,887.68,0.01,887.68,1.13,1,1,0
6,11.75,0.01,11.76,85.07,1,1,0
7,16.66,0.01,16.67,60.0,1,1,0
8,11.14,593.06,604.21,1.66,1,1,0
9,11.16,0.05,11.21,89.19,1,1,0
10,280.46,0.06,280.52,3.56,1,1,0
11,12.16,0.06,12.22,81.84,1,1,0
12,13.14,0.08,13.21,75.69,1,1,0
13,12.42,0.05,12.47,80.17,1,1,0
14,11.31,0.05,11.36,88.01,1,1,0
15,272.04,0.05,272.09,3.68,1,1,0
16,10.4,385.98,396.38,2.52,1,1,0
17,11.26,0.05,11.3,88.47,1,1,0
18,10.43,0.05,10.48,95.38,1,1,0
19,10.41,0.05,10.46,95.63,1,1,0
20,292.23,0.05,292.28,3.42,1,1,0
21,14.68,0.07,14.75,67.8,1,1,0
22,13.74,0.05,13.79,72.51,1,1,0
23,14.3,0.05,14.36,69.65,1,1,0
24,15.28,408.6,423.87,2.36,1,1,0
25,279.76,0.05,279.81,3.57,1,1,0
26,12.24,0.04,12.28,81.43,1,1,0
27,12.03,0.05,12.08,82.8,1,1,0
28,13.13,0.06,13.19,75.83,1,1,0
29,12.26,0.05,12.31,81.21,1,1,0
30,291.23,0.05,291.28,3.43,2,2,0
31,24.48,0.05,24.53,40.77,2,2,0
32,23.82,364.76,388.58,2.57,2,2,0
33,25.92,0.09,26.01,38.45,2,2,0
34,25.95,0.08,26.04,38.41,2,2,0
35,302.59,0.08,302.66,3.3,2,2,0
36,25.83,0.08,25.91,38.59,2,2,0
37,25.16,0.08,25.24,39.61,2,2,0
38,29.33,0.11,29.44,33.97,2,2,0
39,22.64,0.08,22.72,44.02,2,2,0
40,276.7,378.64,655.34,1.53,2,2,0
41,23.05,0.05,23.1,43.29,2,2,0
42,26.97,0.05,27.02,37.01,2,2,0
43,21.05,0.05,21.1,47.4,2,2,0
44,25.26,0.05,25.3,39.52,2,2,0
45,286.94,0.05,286.99,3.48,2,2,0
46,17.74,0.05,17.79,56.22,2,2,0
47,19.56,0.07,19.63,50.93,2,2,0
48,17.4,393.49,410.89,2.43,2,2,0
49,25.8,0.05,25.85,38.68,2,2,0
50,306.73,0.05,306.78,3.26,2,2,0
51,21.95,0.05,22.01,45.44,2,2,0
52,18.56,0.05,18.61,53.73,2,2,0
53,19.93,0.05,19.98,50.04,2,2,0
54,20.04,0.05,20.09,49.78,2,2,0
55,267.49,0.05,267.54,3.74,2,2,0
56,20.5,388.37,408.86,2.45,2,2,0
57,19.65,0.05,19.7,50.76,2,2,0
58,17.7,0.05,17.76,56.32,2,2,0
59,24.81,0.07,24.88,40.19,2,2,0
60,279.37,0.05,279.42,3.58,2,2,0
61,19.47,0.07,19.54,51.17,2,2,0
62,19.64,0.09,19.74,50.66,2,2,0
63,18.32,0.05,18.37,54.43,2,2,0
64,17.67,388.35,406.01,2.46,2,2,0
65,261.21,0.08,261.29,3.83,2,2,0
66,17.18,0.08,17.26,57.94,2,2,0
67,18.43,0.09,18.52,54.0,2,2,0
68,19.05,0.09,19.14,52.26,2,2,0
69,20.13,0.08,20.21,49.47,2,2,0
70,280.64,0.08,280.72,3.56,2,2,0
71,18.19,0.1,18.28,54.7,2,2,0
72,21.83,383.31,405.15,2.47,2,2,0
73,16.89,0.05,16.93,59.05,2,2,0
74,17.66,0.06,17.72,56.43,2,2,0
75,257.51,0.05,257.56,3.88,2,2,0
76,16.84,0.05,16.9,59.19,2,2,0
77,18.08,0.09,18.17,55.04,2,2,0
78,17.43,0.05,17.48,57.2,2,2,0
79,18.67,0.06,18.73,53.39,2,2,0
80,262.38,384.26,646.63,1.55,2,2,0
81,19.62,0.09,19.71,50.74,2,2,0
82,19.48,0.08,19.56,51.12,2,2,0
83,17.68,0.05,17.74,56.39,2,2,0
