frame_idx,class,x1,y1,x2,y2
8,NO-Hardhat,856,158,1385,821
16,NO-Hardhat,836,159,1356,815
24,NO-Hardhat,815,166,1337,805
32,NO-Hardhat,655,335,1200,968
32,NO-Mask,653,331,1201,969
40,NO-Mask,945,343,1460,966
48,NO-Hardhat,887,349,1382,977
56,NO-Hardhat,884,323,1375,976
64,NO-Hardhat,880,309,1350,930
64,NO-Mask,883,310,1351,928
72,NO-Hardhat,876,309,1345,913
80,NO-Hardhat,874,316,1332,915
88,NO-Hardhat,863,327,1340,960
96,NO-Hardhat,875,438,1374,1034
96,NO-Mask,877,438,1373,1036
104,NO-Hardhat,726,420,1275,1018
104,NO-Mask,728,418,1275,1020
112,NO-Hardhat,738,396,1272,993
112,NO-Mask,741,393,1271,992
120,NO-Hardhat,829,376,1321,984
128,NO-Mask,923,358,1404,960
128,NO-Hardhat,919,355,1404,961
136,NO-Hardhat,850,340,1327,964
144,NO-Mask,845,373,1316,996
144,NO-Hardhat,845,357,1316,1003
152,NO-Hardhat,859,380,1343,960
160,NO-Hardhat,846,368,1325,967
168,NO-Hardhat,878,360,1352,966
176,NO-Hardhat,875,360,1357,970
184,NO-Hardhat,1011,364,1602,979
192,Mask,1357,444,1887,1010
192,NO-Hardhat,1355,440,1883,1014
200,NO-Hardhat,1078,339,1569,920
200,NO-Mask,1078,341,1569,916
208,NO-Hardhat,942,357,1352,867
216,NO-Mask,1739,113,1920,886
272,NO-Mask,816,403,1254,945
272,NO-Hardhat,813,391,1254,944
280,NO-Hardhat,793,351,1248,952
288,NO-Mask,888,246,1378,943
288,NO-Hardhat,887,225,1380,942
296,NO-Hardhat,884,331,1378,957
304,NO-Hardhat,347,372,837,969
304,NO-Mask,350,404,837,966
312,NO-Hardhat,345,345,852,973
320,NO-Hardhat,341,311,852,973
328,NO-Hardhat,332,235,857,970
336,NO-Hardhat,383,354,879,954
336,NO-Mask,386,390,878,952
344,NO-Mask,661,397,1120,947
344,NO-Hardhat,660,369,1120,948
352,NO-Hardhat,948,325,1431,943
352,NO-Mask,944,330,1434,941
360,NO-Hardhat,939,314,1432,955
368,NO-Hardhat,927,337,1418,953
368,NO-Mask,928,334,1417,948
376,NO-Hardhat,928,328,1418,952
376,NO-Mask,929,332,1417,947
384,NO-Hardhat,925,321,1415,951
384,NO-Mask,927,325,1415,946
392,NO-Mask,930,350,1426,959
392,NO-Hardhat,929,351,1426,960
400,NO-Mask,925,353,1425,948
400,NO-Hardhat,922,348,1426,949
408,NO-Hardhat,793,351,1344,1046
408,NO-Mask,795,354,1343,1047
416,NO-Hardhat,820,338,1354,989
416,NO-Mask,820,335,1353,988
424,NO-Mask,826,334,1367,987
424,NO-Hardhat,824,324,1367,990
432,NO-Mask,828,333,1359,986
432,NO-Hardhat,827,328,1360,987
440,NO-Mask,833,331,1363,985
440,NO-Hardhat,832,333,1365,987
448,NO-Hardhat,842,343,1390,996
456,NO-Hardhat,849,342,1390,990
464,NO-Hardhat,828,347,1375,993
464,NO-Mask,829,348,1371,990
472,NO-Hardhat,807,342,1341,990
480,NO-Hardhat,806,347,1348,1004
488,NO-Mask,831,275,1336,943
488,NO-Hardhat,826,267,1337,942
496,NO-Mask,865,281,1347,929
496,NO-Hardhat,865,284,1350,927
504,NO-Mask,863,285,1353,927
504,NO-Hardhat,863,287,1355,925
512,NO-Mask,904,303,1370,838
512,NO-Hardhat,896,298,1374,839
520,NO-Mask,875,357,1292,839
528,NO-Mask,857,380,1283,825
528,NO-Hardhat,854,379,1285,829
536,NO-Mask,870,365,1291,868
536,NO-Hardhat,850,364,1294,872
544,NO-Mask,919,360,1346,847
544,NO-Hardhat,903,359,1350,850
552,NO-Mask,934,370,1360,846
552,NO-Hardhat,927,373,1362,846
560,NO-Mask,940,360,1365,840
560,NO-Hardhat,931,357,1366,842
568,NO-Mask,978,369,1414,891
568,NO-Hardhat,958,369,1415,893
576,NO-Mask,998,372,1395,864
576,NO-Hardhat,984,371,1395,867
584,NO-Hardhat,951,371,1410,909
584,NO-Mask,964,370,1406,912
592,NO-Mask,964,377,1411,895
592,NO-Hardhat,959,376,1411,898
600,NO-Mask,947,382,1394,888
600,NO-Hardhat,943,382,1393,891
608,NO-Mask,898,393,1371,909
616,NO-Mask,900,396,1367,902
616,NO-Hardhat,901,395,1367,903
624,NO-Mask,891,394,1318,895
624,NO-Hardhat,889,390,1319,900
632,NO-Mask,890,394,1319,895
632,NO-Hardhat,888,390,1321,903
640,NO-Hardhat,876,392,1321,905
640,NO-Mask,874,395,1320,903
648,NO-Hardhat,868,386,1309,915
656,NO-Hardhat,860,392,1297,929
656,NO-Mask,862,392,1297,926
664,NO-Mask,886,361,1331,906
664,NO-Hardhat,887,361,1332,905
672,NO-Hardhat,931,295,1448,892
672,NO-Mask,934,293,1445,895
680,NO-Mask,900,335,1402,943
680,NO-Hardhat,900,339,1402,939
688,NO-Mask,848,351,1377,997
688,NO-Hardhat,848,351,1375,998
696,NO-Mask,845,346,1370,989
696,NO-Hardhat,845,347,1368,989
704,NO-Mask,815,339,1337,973
704,NO-Hardhat,814,341,1337,974
712,NO-Mask,868,351,1387,984
712,NO-Hardhat,867,353,1387,983
720,NO-Hardhat,858,354,1385,977
728,NO-Mask,847,341,1357,962
728,NO-Hardhat,846,338,1358,962
736,NO-Mask,833,341,1338,960
736,NO-Hardhat,833,341,1338,959
744,NO-Mask,857,351,1352,960
744,NO-Hardhat,856,354,1352,958
752,NO-Hardhat,857,334,1371,954
752,NO-Mask,858,341,1371,954
