frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,593.83,1683.75,2277.57,0.44,1,1,0
1,20.95,0.06,21.01,47.59,1,1,0
2,20.23,0.15,20.38,49.06,1,1,0
3,69.49,0.8,70.28,14.23,1,1,0
4,36.47,0.11,36.58,27.34,1,1,0
5,319.43,0.1,319.53,3.13,1,1,0
6,17.83,0.06,17.88,55.91,1,1,0
7,17.59,0.05,17.65,56.67,1,1,0
8,19.07,379.1,398.16,2.51,1,1,0
9,16.67,0.06,16.73,59.77,1,1,0
10,212.3,0.06,212.35,4.71,1,1,0
11,17.19,0.06,17.26,57.94,1,1,0
12,16.54,0.06,16.6,60.23,1,1,0
13,18.8,0.06,18.86,53.02,1,1,0
14,17.55,0.07,17.62,56.76,1,1,0
15,229.85,0.06,229.9,4.35,1,1,0
16,16.68,339.47,356.15,2.81,1,1,0
17,17.37,0.05,17.43,57.39,1,1,0
18,17.19,0.05,17.25,57.98,1,1,0
19,16.08,0.05,16.13,61.99,1,1,0
20,207.06,0.06,207.12,4.83,1,1,0
21,16.98,0.05,17.04,58.7,1,1,0
22,15.44,0.05,15.49,64.54,1,1,0
23,17.34,0.06,17.4,57.48,1,1,0
24,17.4,338.7,356.09,2.81,1,1,0
25,198.02,0.05,198.07,5.05,1,1,0
26,16.2,0.05,16.25,61.52,1,1,0
27,15.22,0.05,15.27,65.48,1,1,0
28,17.11,0.06,17.17,58.25,1,1,0
29,17.32,0.05,17.37,57.56,1,1,0
30,226.89,0.06,226.94,4.41,1,1,0
31,16.78,0.06,16.83,59.41,1,1,0
32,17.5,343.89,361.39,2.77,1,1,0
33,17.14,0.06,17.2,58.14,1,1,0
34,17.2,0.06,17.26,57.95,1,1,0
35,226.52,0.06,226.58,4.41,1,1,0
36,18.09,0.06,18.15,55.11,1,1,0
37,17.42,0.07,17.49,57.18,1,1,0
38,17.56,0.06,17.62,56.76,1,1,0
39,16.37,0.06,16.43,60.87,1,1,0
40,216.74,317.42,534.16,1.87,1,1,0
41,16.76,0.05,16.81,59.48,1,1,0
42,15.86,0.06,15.92,62.81,1,1,0
43,18.09,0.06,18.15,55.11,1,1,0
44,25.63,0.07,25.7,38.91,1,1,0
45,264.39,0.07,264.46,3.78,1,1,0
46,19.64,0.06,19.7,50.77,1,1,0
47,17.62,0.06,17.67,56.58,1,1,0
48,17.22,335.21,352.44,2.84,1,1,0
49,17.06,0.05,17.11,58.43,1,1,0
50,204.2,0.05,204.26,4.9,1,1,0
51,17.05,0.06,17.1,58.47,1,1,0
52,15.74,0.06,15.8,63.3,1,1,0
53,15.88,0.05,15.93,62.77,1,1,0
54,15.07,0.05,15.12,66.12,1,1,0
55,220.76,0.06,220.82,4.53,1,1,0
56,24.22,337.54,361.76,2.76,1,1,0
57,24.31,0.06,24.37,41.04,1,1,0
58,24.49,0.06,24.55,40.74,1,1,0
59,23.09,0.06,23.15,43.2,1,1,0
60,204.85,0.05,204.9,4.88,1,1,0
61,16.56,0.05,16.62,60.18,1,1,0
62,16.64,0.05,16.69,59.92,1,1,0
63,15.68,0.05,15.73,63.57,1,1,0
64,16.13,328.24,344.36,2.9,1,1,0
65,188.58,0.06,188.63,5.3,1,1,0
66,16.73,0.05,16.79,59.57,1,1,0
67,15.6,0.05,15.66,63.87,1,1,0
68,15.81,0.05,15.86,63.05,1,1,0
69,15.46,0.05,15.51,64.48,1,1,0
70,191.88,0.06,191.94,5.21,1,1,0
71,16.27,0.05,16.33,61.24,1,1,0
72,15.29,330.75,346.04,2.89,1,1,0
73,17.13,0.05,17.19,58.18,1,1,0
74,16.08,0.05,16.14,61.97,1,1,0
75,193.8,0.06,193.86,5.16,1,1,0
76,16.02,0.05,16.07,62.23,1,1,0
77,16.06,0.05,16.12,62.05,1,1,0
78,16.43,0.06,16.49,60.65,1,1,0
