ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758454360.617822,ccbe0130,0,1,1,0,anish,0.439,992,225,1392,739
1758454360.821654,ccbe0130,1,1,1,0,anish,0.439,966,235,1374,759
1758454361.4484868,ccbe0130,2,1,1,0,anish,0.5719,975,241,1365,756
1758454361.542606,ccbe0130,3,1,1,0,anish,0.5719,978,246,1360,751
1758454361.927608,ccbe0130,4,1,1,0,anish,0.5785,974,245,1363,760
1758454362.032018,ccbe0130,5,1,1,0,anish,0.5785,973,246,1362,761
1758454362.457091,ccbe0130,6,1,1,0,anish,0.5815,969,247,1360,762
1758454362.59259,ccbe0130,7,1,1,0,anish,0.5815,966,244,1365,769
1758454363.55295,ccbe0130,8,1,1,0,anish,0.577,973,248,1365,767
1758454363.668629,ccbe0130,9,1,1,0,anish,0.577,955,263,1332,762
1758454364.0765529,ccbe0130,10,1,1,0,anish,0.5321,955,240,1344,760
1758454364.1754072,ccbe0130,11,1,1,0,anish,0.5321,953,243,1342,763
1758454364.620354,ccbe0130,12,1,1,0,anish,0.4931,947,241,1341,765
1758454364.737909,ccbe0130,13,1,1,0,anish,0.4931,946,249,1332,763
1758454365.168452,ccbe0130,14,1,1,0,anish,0.4832,939,238,1337,762
1758454365.270871,ccbe0130,15,1,1,0,anish,0.4832,970,263,1368,787
1758454366.0380201,ccbe0130,16,1,1,0,anish,0.5229,982,274,1372,793
1758454366.1531572,ccbe0130,17,1,1,0,anish,0.5229,1561,117,1959,646
1758454366.7871392,ccbe0130,18,1,0,1,Unknown,0.1159,354,332,742,855
1758454367.040672,ccbe0130,19,1,0,1,Unknown,0.1159,434,354,785,828
1758454367.758092,ccbe0130,20,1,0,1,Unknown,0.0975,421,353,805,855
1758454368.0448809,ccbe0130,21,1,0,1,Unknown,0.0975,412,340,812,862
1758454368.860342,ccbe0130,22,1,0,1,Unknown,0.1151,414,353,799,854
1758454369.108496,ccbe0130,23,1,0,1,Unknown,0.1151,414,353,799,854
1758454370.0875862,ccbe0130,24,1,0,1,Unknown,0.102,410,352,797,855
1758454370.3228931,ccbe0130,25,1,0,1,Unknown,0.102,410,351,797,854
1758454370.8794959,ccbe0130,26,1,0,1,Unknown,0.1085,410,353,797,846
1758454371.089004,ccbe0130,27,1,0,1,Unknown,0.1085,411,353,798,846
1758454371.748409,ccbe0130,28,1,0,1,Unknown,0.1183,413,360,797,850
1758454371.959937,ccbe0130,29,1,0,1,Unknown,0.1183,409,367,793,857
1758454372.4710069,ccbe0130,30,2,1,0,anish,0.5379,1578,79,2087,715
1758454372.4710069,ccbe0130,30,2,0,1,Unknown,0.1118,412,373,792,852
1758454372.695481,ccbe0130,31,2,1,0,anish,0.5379,1548,81,2067,730
1758454372.695481,ccbe0130,31,2,0,1,Unknown,0.1118,412,382,785,852
1758454373.6457999,ccbe0130,32,2,1,0,anish,0.5144,1548,94,2064,709
1758454373.6457999,ccbe0130,32,2,0,1,Unknown,0.111,400,353,789,861
1758454373.875133,ccbe0130,33,2,1,0,anish,0.5144,1533,103,2039,706
1758454373.875133,ccbe0130,33,2,0,1,Unknown,0.111,404,370,771,849
1758454374.4115992,ccbe0130,34,2,1,0,anish,0.3761,1475,136,1960,736
1758454374.4115992,ccbe0130,34,2,0,1,Unknown,0.1407,390,361,773,859
1758454374.613111,ccbe0130,35,2,1,0,anish,0.3761,1446,140,1931,740
1758454374.613111,ccbe0130,35,2,0,1,Unknown,0.1407,383,345,781,863
1758454375.0863218,ccbe0130,36,2,1,0,anish,0.3796,1484,139,1951,709
1758454375.0863218,ccbe0130,36,2,0,1,Unknown,0.0974,375,327,767,816
1758454375.259916,ccbe0130,37,2,1,0,anish,0.3796,1491,140,1958,710
1758454375.259916,ccbe0130,37,2,0,1,Unknown,0.0974,387,326,756,787
1758454375.786874,ccbe0130,38,2,1,0,anish,0.5081,1525,121,2024,734
1758454375.786874,ccbe0130,38,2,0,1,Unknown,0.0881,369,322,756,740
1758454375.9669151,ccbe0130,39,2,1,0,anish,0.5081,1572,115,2071,728
1758454375.9669151,ccbe0130,39,2,0,1,Unknown,0.0881,369,322,756,740
1758454376.915363,ccbe0130,40,2,1,0,anish,0.479,1579,100,2098,734
1758454376.915363,ccbe0130,40,2,0,1,Unknown,0.0926,369,322,750,759
1758454377.142288,ccbe0130,41,2,1,0,anish,0.479,1556,91,2096,751
1758454377.142288,ccbe0130,41,2,0,1,Unknown,0.0926,367,318,756,764
1758454377.7055519,ccbe0130,42,2,1,0,anish,0.4717,1562,95,2099,758
1758454377.7055519,ccbe0130,42,2,0,1,Unknown,0.0709,362,323,759,763
1758454377.9404988,ccbe0130,43,2,1,0,anish,0.4717,1551,95,2088,758
1758454377.9404988,ccbe0130,43,2,0,1,Unknown,0.0709,363,323,760,763
1758454378.540521,ccbe0130,44,2,1,0,anish,0.5129,1548,100,2075,740
1758454378.540521,ccbe0130,44,2,0,1,Unknown,0.0788,357,313,759,764
1758454378.76736,ccbe0130,45,2,1,0,anish,0.5129,1535,102,2062,742
1758454378.76736,ccbe0130,45,2,0,1,Unknown,0.0788,358,314,760,765
1758454379.313459,ccbe0130,46,2,1,0,anish,0.516,1551,103,2080,734
1758454379.313459,ccbe0130,46,2,0,1,Unknown,0.0813,369,318,757,766
1758454379.5049632,ccbe0130,47,2,1,0,anish,0.516,1560,109,2079,728
1758454379.5049632,ccbe0130,47,2,0,1,Unknown,0.0813,371,319,759,767
1758454380.401621,ccbe0130,48,2,1,0,anish,0.5254,1559,101,2090,733
1758454380.401621,ccbe0130,48,2,0,1,Unknown,0.0778,367,320,755,764
1758454380.6295512,ccbe0130,49,2,1,0,anish,0.5254,1561,114,2071,721
1758454380.6295512,ccbe0130,49,2,0,1,Unknown,0.0778,368,322,756,766
1758454381.1780639,ccbe0130,50,2,1,0,anish,0.4548,1543,80,2096,760
1758454381.1780639,ccbe0130,50,2,0,1,Unknown,0.0688,360,320,754,762
1758454381.419329,ccbe0130,51,2,1,0,anish,0.4548,1517,74,2081,768
1758454381.419329,ccbe0130,51,2,0,1,Unknown,0.0688,363,323,757,765
1758454381.955298,ccbe0130,52,2,1,0,anish,0.486,1531,83,2065,757
1758454381.955298,ccbe0130,52,2,0,1,Unknown,0.0817,373,320,757,756
1758454382.128524,ccbe0130,53,2,1,0,anish,0.486,1547,93,2071,754
1758454382.128524,ccbe0130,53,2,0,1,Unknown,0.0817,381,326,757,753
1758454382.6177979,ccbe0130,54,2,1,0,anish,0.4962,1544,83,2085,765
1758454382.6177979,ccbe0130,54,2,0,1,Unknown,0.0882,371,322,764,764
1758454382.842494,ccbe0130,55,2,1,0,anish,0.4962,1551,97,2061,740
1758454382.842494,ccbe0130,55,2,0,1,Unknown,0.0882,370,322,763,764
1758454383.781974,ccbe0130,56,2,1,0,anish,0.4469,1464,107,1958,719
1758454383.781974,ccbe0130,56,2,0,1,Unknown,0.0779,372,316,757,762
1758454383.979018,ccbe0130,57,2,1,0,anish,0.4469,1516,124,1991,712
1758454383.979018,ccbe0130,57,2,0,1,Unknown,0.0779,405,334,782,771
1758454384.433558,ccbe0130,58,1,0,1,Unknown,0.143,441,357,846,838
1758454384.552306,ccbe0130,59,1,0,1,Unknown,0.143,509,361,930,861
1758454384.82916,ccbe0130,60,1,0,1,Unknown,0.0714,512,361,941,874
1758454384.922296,ccbe0130,61,1,0,1,Unknown,0.0714,510,357,948,880
1758454385.228649,ccbe0130,62,1,0,1,Unknown,0.086,521,381,950,884
1758454385.310796,ccbe0130,63,1,0,1,Unknown,0.086,518,386,947,889
1758454386.1289332,ccbe0130,64,1,0,1,Unknown,0.1075,512,375,955,887
