frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,722.72,1621.21,2343.93,0.43,1,1,0
1,157.04,0.52,157.56,6.35,1,1,0
2,584.48,0.94,585.42,1.71,1,1,0
3,84.53,0.44,84.97,11.77,1,1,0
4,368.17,0.24,368.41,2.71,1,1,0
5,82.48,0.25,82.72,12.09,1,1,0
6,397.43,0.23,397.66,2.51,1,1,0
7,99.31,0.44,99.75,10.03,1,1,0
8,465.44,462.87,928.31,1.08,1,1,0
9,74.16,0.39,74.54,13.42,1,1,0
10,382.96,0.32,383.28,2.61,1,1,0
11,78.89,0.22,79.11,12.64,1,1,0
12,421.45,2.18,423.62,2.36,1,1,0
13,77.31,0.21,77.52,12.9,1,1,0
14,408.68,0.27,408.95,2.45,1,1,0
15,78.13,0.2,78.33,12.77,1,1,0
16,370.36,375.02,745.37,1.34,1,1,0
17,93.48,0.19,93.67,10.68,1,1,0
18,625.74,0.71,626.45,1.6,1,0,1
19,211.89,0.37,212.26,4.71,1,0,1
20,695.64,0.85,696.49,1.44,1,0,1
21,248.99,0.34,249.33,4.01,1,0,1
22,796.64,1.39,798.03,1.25,1,0,1
23,210.47,0.74,211.21,4.73,1,0,1
24,538.99,419.41,958.41,1.04,1,0,1
25,225.49,0.3,225.79,4.43,1,0,1
26,547.92,0.76,548.68,1.82,1,0,1
27,191.65,0.28,191.93,5.21,1,0,1
28,614.28,0.31,614.59,1.63,1,0,1
29,196.12,0.4,196.51,5.09,1,0,1
30,470.85,1.08,471.92,2.12,2,1,1
31,194.01,1.11,195.12,5.13,2,1,1
32,509.59,399.3,908.89,1.1,2,1,1
33,209.01,0.54,209.55,4.77,2,1,1
34,512.27,0.82,513.1,1.95,2,1,1
35,181.39,0.34,181.73,5.5,2,1,1
36,455.65,0.59,456.24,2.19,2,1,1
37,159.6,0.33,159.93,6.25,2,1,1
38,484.2,0.62,484.82,2.06,2,1,1
39,167.24,0.33,167.58,5.97,2,1,1
40,487.28,428.74,916.02,1.09,2,1,1
41,207.71,0.32,208.04,4.81,2,1,1
42,539.0,0.32,539.31,1.85,2,1,1
43,198.28,0.33,198.61,5.03,2,1,1
44,571.64,0.67,572.31,1.75,2,1,1
45,197.07,0.31,197.38,5.07,2,1,1
46,506.53,0.29,506.82,1.97,2,1,1
47,167.27,0.29,167.56,5.97,2,1,1
48,449.77,413.75,863.51,1.16,2,1,1
49,187.84,0.35,188.19,5.31,2,1,1
50,510.17,0.68,510.85,1.96,2,1,1
51,214.28,0.88,215.16,4.65,2,1,1
52,520.84,0.75,521.59,1.92,2,1,1
53,161.42,0.34,161.76,6.18,2,1,1
54,481.34,0.36,481.69,2.08,2,1,1
55,207.65,0.31,207.95,4.81,2,1,1
56,502.92,403.74,906.66,1.1,2,1,1
57,176.29,0.33,176.63,5.66,2,1,1
58,432.11,0.48,432.59,2.31,1,0,1
59,78.07,0.25,78.31,12.77,1,0,1
60,259.46,0.23,259.69,3.85,1,0,1
61,87.26,0.28,87.55,11.42,1,0,1
62,291.03,0.19,291.23,3.43,1,0,1
63,74.74,0.21,74.94,13.34,1,0,1
64,416.59,369.41,786.01,1.27,1,0,1
65,84.17,0.24,84.41,11.85,1,0,1
66,495.14,1.15,496.29,2.01,2,1,1
67,202.83,0.3,203.12,4.92,2,1,1
68,503.45,0.65,504.1,1.98,1,0,1
69,272.41,0.25,272.66,3.67,1,0,1
70,915.61,1.71,917.33,1.09,2,1,1
71,204.44,0.35,204.79,4.88,2,1,1
72,406.45,372.36,778.81,1.28,0,0,0
73,103.2,0.09,103.29,9.68,0,0,0
74,344.25,0.11,344.36,2.9,0,0,0
75,73.32,0.07,73.39,13.63,0,0,0
76,322.87,0.32,323.18,3.09,0,0,0
77,117.74,0.09,117.83,8.49,0,0,0
78,287.42,0.09,287.51,3.48,0,0,0
79,118.97,0.11,119.08,8.4,0,0,0
80,360.56,418.39,778.95,1.28,0,0,0
81,135.36,0.15,135.51,7.38,0,0,0
82,398.3,0.19,398.49,2.51,0,0,0
83,78.46,0.09,78.55,12.73,0,0,0
84,306.08,0.25,306.33,3.26,1,1,0
85,84.3,0.23,84.53,11.83,1,1,0
86,285.08,0.26,285.33,3.5,1,1,0
87,81.15,0.25,81.4,12.29,1,1,0
88,268.63,364.01,632.64,1.58,1,1,0
89,89.24,0.28,89.52,11.17,1,1,0
90,297.88,0.26,298.14,3.35,1,1,0
91,82.96,0.19,83.15,12.03,1,1,0
92,277.1,0.24,277.34,3.61,1,1,0
93,104.34,0.25,104.58,9.56,1,1,0
94,282.2,0.22,282.42,3.54,1,1,0
95,93.39,0.29,93.68,10.67,1,1,0
96,295.92,382.53,678.45,1.47,1,1,0
97,215.2,1.05,216.25,4.62,1,1,0
