frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,943,105,1430,792
0,NO-Mask,942,113,1429,793
8,NO-Mask,933,120,1419,942
16,NO-Mask,948,216,1433,971
16,Mask,0,14,175,705
16,NO-Hardhat,0,49,170,682
24,NO-Mask,368,291,819,865
24,NO-Hardhat,370,294,819,866
24,NO-Mask,1539,15,1920,846
24,NO-Hardhat,1541,16,1919,858
32,NO-Mask,356,293,809,874
32,NO-Mask,1489,54,1920,823
32,NO-Hardhat,1488,49,1920,837
32,NO-Hardhat,358,296,809,875
40,NO-Hardhat,1503,25,1920,837
40,NO-Mask,1506,22,1919,852
40,NO-Hardhat,352,294,810,851
40,Mask,343,299,816,843
48,NO-Mask,1490,34,1920,809
48,NO-Hardhat,1489,33,1919,811
48,Mask,359,293,811,850
48,NO-Hardhat,355,298,812,847
56,NO-Mask,1412,73,1919,765
56,Mask,360,294,814,856
56,NO-Hardhat,361,295,814,856
64,NO-Mask,1574,10,1919,935
64,NO-Hardhat,1576,12,1920,936
64,NO-Hardhat,359,250,984,906
72,NO-Mask,0,180,384,785
72,NO-Mask,1188,288,1698,889
80,NO-Hardhat,743,61,1338,829
80,NO-Mask,746,65,1338,819
88,NO-Mask,831,31,1382,876
88,NO-Hardhat,824,27,1380,869
96,NO-Mask,822,19,1382,880
96,NO-Hardhat,817,15,1384,880
