ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758416922.432107,d041ece2,0,1,1,0,worker1,0.9143,391,89,466,182
1758416922.456128,d041ece2,1,1,1,0,worker1,0.9143,391,89,466,182
1758416922.479131,d041ece2,2,1,1,0,worker1,0.9143,391,89,466,182
1758416922.5012999,d041ece2,3,1,1,0,worker1,0.9143,392,89,467,182
1758416922.528789,d041ece2,4,1,1,0,worker1,0.9143,391,89,466,182
1758416922.547751,d041ece2,5,1,1,0,worker1,0.9143,392,89,467,182
1758416922.584403,d041ece2,6,1,1,0,worker1,0.9143,392,89,467,182
1758416922.60565,d041ece2,7,1,1,0,worker1,0.9143,392,89,467,182
1758416923.0037959,d041ece2,8,1,1,0,worker1,0.9143,392,89,467,182
1758416923.021527,d041ece2,9,1,1,0,worker1,0.9143,392,89,467,182
1758416923.038445,d041ece2,10,1,1,0,worker1,0.9143,393,89,468,182
1758416923.056225,d041ece2,11,1,1,0,worker1,0.9143,392,89,467,182
1758416923.075595,d041ece2,12,1,1,0,worker1,0.9143,393,89,468,182
1758416923.093626,d041ece2,13,1,1,0,worker1,0.9143,393,89,468,182
1758416923.111091,d041ece2,14,1,1,0,worker1,0.9143,393,89,468,182
1758416923.127879,d041ece2,15,1,1,0,worker1,0.9143,393,89,468,182
1758416923.47942,d041ece2,16,1,1,0,worker1,0.9143,393,89,468,182
1758416923.496366,d041ece2,17,1,1,0,worker1,0.9143,394,89,469,182
1758416923.513184,d041ece2,18,1,1,0,worker1,0.9143,394,89,469,182
1758416923.5297742,d041ece2,19,1,1,0,worker1,0.9143,394,89,469,182
1758416923.546412,d041ece2,20,1,1,0,worker1,0.9143,394,89,469,182
1758416923.562212,d041ece2,21,1,1,0,worker1,0.9143,394,89,469,182
1758416923.577636,d041ece2,22,1,1,0,worker1,0.9143,394,89,469,182
1758416923.592982,d041ece2,23,1,1,0,worker1,0.9143,394,89,468,180
1758416923.9307,d041ece2,24,1,1,0,worker1,0.9143,394,90,466,179
