frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,391.16,1301.7,1692.86,0.59,1,1,0
1,19.42,0.5,19.92,50.19,1,1,0
2,19.79,0.8,20.58,48.58,1,1,0
3,19.73,0.22,19.95,50.13,1,1,0
4,25.11,0.17,25.28,39.55,1,1,0
5,17.25,0.22,17.47,57.23,1,1,0
6,34.3,0.35,34.65,28.86,1,1,0
7,18.76,0.19,18.95,52.78,1,1,0
8,16.63,379.99,396.63,2.52,1,1,0
9,15.49,0.14,15.62,64.01,1,1,0
10,15.5,0.14,15.64,63.94,1,1,0
11,16.14,0.14,16.28,61.41,1,1,0
12,17.91,0.17,18.07,55.33,1,1,0
13,16.49,0.15,16.65,60.07,1,1,0
14,15.81,0.14,15.95,62.71,1,1,0
15,15.37,0.15,15.52,64.44,1,1,0
16,15.09,334.94,350.03,2.86,1,1,0
17,15.44,0.13,15.57,64.23,1,1,0
18,15.42,0.16,15.58,64.18,1,1,0
19,15.28,0.11,15.39,64.98,1,1,0
20,15.03,0.12,15.16,65.96,1,1,0
21,14.45,0.12,14.57,68.62,1,1,0
22,14.13,0.11,14.24,70.24,1,1,0
23,14.01,0.11,14.12,70.82,1,1,0
24,15.89,320.64,336.53,2.97,1,1,0
25,14.81,0.14,14.94,66.92,1,1,0
26,14.81,0.11,14.92,67.03,1,1,0
27,14.72,0.13,14.85,67.33,1,1,0
28,14.23,0.11,14.34,69.71,1,1,0
29,13.95,0.09,14.04,71.21,1,1,0
30,15.71,0.16,15.87,63.02,1,1,0
31,15.4,0.12,15.52,64.45,1,1,0
32,15.19,324.36,339.55,2.95,1,1,0
33,14.88,0.13,15.02,66.59,1,1,0
34,14.88,0.11,14.99,66.71,1,1,0
35,15.48,0.12,15.6,64.09,1,1,0
36,15.82,0.11,15.94,62.75,1,1,0
37,14.96,0.21,15.17,65.94,1,1,0
38,16.26,0.12,16.37,61.08,1,1,0
39,15.68,0.12,15.81,63.26,1,1,0
40,15.24,329.54,344.78,2.9,1,1,0
41,15.45,0.13,15.57,64.21,1,1,0
42,15.32,0.1,15.42,64.83,1,1,0
43,15.31,0.11,15.42,64.85,1,1,0
44,15.26,0.11,15.37,65.08,1,1,0
45,15.24,0.1,15.34,65.19,1,1,0
46,15.32,0.11,15.43,64.8,1,1,0
47,15.33,0.1,15.43,64.8,1,1,0
48,15.34,335.03,350.37,2.85,1,1,0
49,18.41,0.15,18.56,53.87,1,1,0
50,15.14,0.12,15.26,65.55,1,1,0
51,14.81,0.11,14.92,67.03,1,1,0
52,14.78,0.11,14.88,67.19,1,1,0
53,14.82,0.1,14.92,67.02,1,1,0
54,14.89,0.11,15.0,66.68,1,1,0
55,15.07,0.11,15.18,65.87,1,1,0
56,14.87,341.72,356.59,2.8,1,1,0
57,15.48,0.14,15.63,63.98,1,1,0
58,15.78,0.14,15.92,62.83,1,1,0
59,17.8,0.17,17.97,55.64,1,1,0
60,16.51,0.14,16.65,60.07,1,1,0
61,14.95,0.12,15.06,66.4,1,1,0
62,15.93,0.12,16.04,62.33,1,1,0
63,16.03,0.13,16.16,61.87,1,1,0
64,16.54,344.93,361.47,2.77,1,1,0
65,15.03,0.13,15.16,65.97,1,1,0
66,18.59,0.13,18.72,53.42,1,1,0
67,15.74,0.14,15.87,63.0,1,1,0
68,17.24,0.15,17.39,57.5,1,1,0
69,16.96,0.15,17.11,58.46,1,1,0
70,16.01,0.15,16.16,61.88,1,1,0
71,15.99,0.13,16.12,62.05,1,1,0
72,21.05,376.99,398.03,2.51,1,1,0
73,15.8,0.13,15.93,62.77,1,1,0
74,15.56,0.15,15.71,63.65,1,1,0
75,14.78,0.13,14.92,67.04,1,1,0
76,14.94,0.11,15.05,66.47,1,1,0
77,15.2,0.16,15.36,65.09,1,1,0
78,15.04,0.12,15.16,65.96,1,1,0
79,16.21,0.13,16.34,61.22,1,1,0
80,15.49,357.91,373.39,2.68,1,1,0
81,16.0,0.17,16.17,61.83,1,1,0
82,14.48,0.12,14.61,68.47,1,1,0
83,14.41,0.11,14.52,68.89,1,1,0
84,15.58,0.13,15.71,63.64,1,1,0
85,17.14,0.18,17.33,57.71,1,1,0
86,17.06,0.16,17.21,58.1,1,1,0
87,15.99,0.13,16.11,62.05,1,1,0
88,15.96,329.15,345.12,2.9,1,1,0
89,15.7,0.12,15.82,63.22,1,1,0
90,278.26,0.17,278.43,3.59,1,1,0
91,20.06,0.13,20.19,49.53,1,1,0
92,21.91,0.16,22.07,45.32,1,1,0
93,22.87,0.2,23.07,43.35,1,1,0
94,21.27,0.12,21.38,46.77,1,1,0
95,21.56,0.15,21.71,46.06,1,1,0
96,21.83,332.85,354.68,2.82,1,1,0
97,21.32,0.15,21.47,46.59,1,1,0
98,20.72,0.12,20.84,47.98,1,1,0
99,20.78,0.21,20.99,47.64,1,1,0
100,20.74,0.17,20.9,47.84,1,1,0
101,21.86,0.14,22.0,45.45,1,1,0
102,20.6,0.12,20.72,48.26,1,1,0
103,20.58,0.11,20.69,48.33,1,1,0
104,20.4,334.08,354.49,2.82,1,1,0
105,20.84,0.13,20.98,47.67,1,1,0
106,21.38,0.14,21.52,46.47,1,1,0
107,23.31,0.15,23.47,42.62,1,1,0
108,25.28,0.2,25.48,39.25,1,1,0
109,23.24,0.15,23.39,42.75,1,1,0
110,21.04,0.16,21.19,47.18,1,1,0
111,22.28,0.17,22.45,44.55,1,1,0
112,24.2,342.21,366.41,2.73,1,1,0
113,19.82,0.14,19.95,50.11,1,1,0
114,19.59,0.12,19.71,50.74,1,1,0
115,20.51,0.14,20.64,48.44,1,1,0
116,20.57,0.12,20.68,48.35,1,1,0
117,21.39,0.15,21.54,46.42,1,1,0
118,20.99,0.13,21.11,47.36,1,1,0
119,21.56,0.17,21.73,46.01,1,1,0
120,21.46,330.19,351.66,2.84,1,1,0
121,20.42,0.13,20.55,48.65,1,1,0
122,20.28,0.12,20.39,49.04,1,1,0
123,20.35,0.1,20.45,48.9,1,1,0
124,21.12,0.16,21.28,47.0,1,1,0
125,21.38,0.2,21.58,46.34,1,1,0
126,22.96,0.16,23.12,43.26,1,1,0
127,20.74,0.13,20.87,47.92,1,1,0
128,20.57,330.38,350.95,2.85,1,1,0
129,22.25,0.17,22.42,44.6,1,1,0
130,25.5,0.21,25.71,38.89,1,1,0
131,41.51,0.2,41.7,23.98,1,1,0
132,27.44,0.18,27.62,36.21,1,1,0
133,23.85,0.18,24.03,41.62,1,1,0
134,23.89,0.17,24.07,41.55,1,1,0
135,22.33,0.16,22.49,44.47,1,1,0
136,21.53,353.28,374.81,2.67,1,1,0
137,23.79,0.18,23.96,41.73,1,1,0
138,22.03,0.15,22.19,45.07,1,1,0
139,21.39,0.17,21.56,46.37,1,1,0
