ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758347797.918415,d221a8e8,5,1,1,0,anish,0.4975,982,219,1435,764
1758347799.225337,d221a8e8,10,1,1,0,anish,0.5749,1007,213,1462,789
1758347799.719274,d221a8e8,15,1,1,0,anish,0.5718,998,210,1460,787
1758347800.7528682,d221a8e8,20,1,1,0,anish,0.5363,1040,228,1491,802
1758347801.814294,d221a8e8,25,2,1,0,anish,0.5177,1129,225,1579,788
1758347801.814294,d221a8e8,25,2,0,1,Unknown,0.1248,-198,425,289,1009
1758347803.094385,d221a8e8,30,3,1,0,anish,0.4404,1356,176,1845,771
1758347803.094385,d221a8e8,30,3,0,1,Unknown,0.1514,-299,312,201,912
1758347803.094385,d221a8e8,30,3,0,1,Unknown,0.1514,-28,411,539,1018
1758347804.3972979,d221a8e8,35,4,1,0,anish,0.5079,1356,176,1845,771
1758347804.3972979,d221a8e8,35,4,0,1,Unknown,0.1731,-177,372,323,972
1758347804.3972979,d221a8e8,35,4,0,1,Unknown,0.1731,135,442,656,994
1758347804.3972979,d221a8e8,35,4,1,0,anish,0.5079,1567,139,2029,724
1758347805.1495948,d221a8e8,40,4,1,0,anish,0.512,1280,233,1780,833
1758347805.1495948,d221a8e8,40,4,0,1,Unknown,0.1778,-177,372,323,972
1758347805.1495948,d221a8e8,40,4,0,1,Unknown,0.1778,140,442,653,1019
1758347805.1495948,d221a8e8,40,4,1,0,anish,0.512,1520,154,2039,759
1758347806.4797828,d221a8e8,45,4,1,0,anish,0.434,1165,275,1665,875
1758347806.4797828,d221a8e8,45,4,0,1,Unknown,0.1913,-179,372,321,972
1758347806.4797828,d221a8e8,45,4,0,1,Unknown,0.1913,142,447,653,1022
1758347806.4797828,d221a8e8,45,4,1,0,anish,0.434,1422,198,1924,768
1758347807.7304928,d221a8e8,50,4,1,0,anish,0.4587,1173,271,1673,871
1758347807.7304928,d221a8e8,50,4,0,1,Unknown,0.1533,-199,377,301,977
1758347807.7304928,d221a8e8,50,4,0,1,Unknown,0.1533,131,442,647,1034
1758347807.7304928,d221a8e8,50,4,1,0,anish,0.4587,1432,195,1940,771
1758347808.487822,d221a8e8,55,4,1,0,anish,0.4736,1174,271,1674,871
1758347808.487822,d221a8e8,55,4,0,1,Unknown,0.1617,-177,372,323,972
1758347808.487822,d221a8e8,55,4,0,1,Unknown,0.1617,146,451,654,1000
1758347808.487822,d221a8e8,55,4,1,0,anish,0.4736,1431,189,1931,771
1758347809.6359758,d221a8e8,60,4,1,0,anish,0.5471,1173,274,1673,874
1758347809.6359758,d221a8e8,60,4,0,1,Unknown,0.1837,-178,375,322,975
1758347809.6359758,d221a8e8,60,4,0,1,Unknown,0.1837,172,471,657,1003
1758347809.6359758,d221a8e8,60,4,1,0,anish,0.5471,1450,205,1968,788
1758347810.83021,d221a8e8,65,4,1,0,anish,0.463,1173,272,1673,872
1758347810.83021,d221a8e8,65,4,0,1,Unknown,0.1767,-179,374,321,974
1758347810.83021,d221a8e8,65,4,0,1,Unknown,0.1767,143,448,649,1021
1758347810.83021,d221a8e8,65,4,1,0,anish,0.463,1374,231,1876,805
1758347811.590852,d221a8e8,70,4,1,0,anish,0.449,1173,271,1673,871
1758347811.590852,d221a8e8,70,4,0,1,Unknown,0.1635,-179,374,321,974
1758347811.590852,d221a8e8,70,4,0,1,Unknown,0.1635,120,452,643,999
1758347811.590852,d221a8e8,70,4,1,0,anish,0.449,1363,230,1852,792
1758347812.785388,d221a8e8,75,4,1,0,anish,0.4951,1173,272,1673,872
1758347812.785388,d221a8e8,75,4,0,1,Unknown,0.149,-186,374,314,974
1758347812.785388,d221a8e8,75,4,0,1,Unknown,0.149,120,455,632,999
1758347812.785388,d221a8e8,75,4,1,0,anish,0.4951,1466,173,1985,782
1758347813.729202,d221a8e8,80,4,1,0,anish,0.4698,1173,272,1673,872
1758347813.729202,d221a8e8,80,4,0,1,Unknown,0.1543,-187,374,313,974
1758347813.729202,d221a8e8,80,4,0,1,Unknown,0.1543,91,425,617,1012
1758347813.729202,d221a8e8,80,4,1,0,anish,0.4698,1297,209,1827,815
1758347815.0889258,d221a8e8,85,4,1,0,anish,0.4496,1173,272,1673,872
1758347815.0889258,d221a8e8,85,4,0,1,Unknown,0.1485,-190,374,310,974
1758347815.0889258,d221a8e8,85,4,0,1,Unknown,0.1485,80,432,600,1017
1758347815.0889258,d221a8e8,85,4,1,0,anish,0.4496,1330,198,1842,806
1758347816.383606,d221a8e8,90,4,1,0,anish,0.4947,1157,306,1657,906
1758347816.383606,d221a8e8,90,4,0,1,Unknown,0.1435,-218,396,282,996
1758347816.383606,d221a8e8,90,4,0,1,Unknown,0.1435,66,423,591,1035
1758347816.383606,d221a8e8,90,4,1,0,anish,0.4947,1319,240,1834,823
1758347817.262078,d221a8e8,95,4,1,0,anish,0.5317,1205,279,1705,879
1758347817.262078,d221a8e8,95,4,0,1,Unknown,0.105,-234,415,266,1015
1758347817.262078,d221a8e8,95,4,0,1,Unknown,0.105,56,422,583,1045
1758347817.262078,d221a8e8,95,4,1,0,anish,0.5317,1344,209,1867,800
1758347818.435732,d221a8e8,100,4,1,0,anish,0.4479,1138,250,1638,850
1758347818.435732,d221a8e8,100,4,0,1,Unknown,0.1456,-208,383,292,983
1758347818.435732,d221a8e8,100,4,0,1,Unknown,0.1456,66,427,592,1030
1758347818.435732,d221a8e8,100,4,1,0,anish,0.4479,1312,202,1821,772
1758347819.686635,d221a8e8,105,4,1,0,anish,0.4283,1104,280,1604,880
1758347819.686635,d221a8e8,105,4,0,1,Unknown,0.1412,-207,382,293,982
1758347819.686635,d221a8e8,105,4,0,1,Unknown,0.1412,66,423,593,1025
1758347819.686635,d221a8e8,105,4,1,0,anish,0.4283,1328,235,1803,796
1758347820.467933,d221a8e8,110,4,1,0,anish,0.5167,1104,280,1604,880
1758347820.467933,d221a8e8,110,4,0,1,Unknown,0.1591,-215,384,285,984
1758347820.467933,d221a8e8,110,4,0,1,Unknown,0.1591,61,424,593,1033
1758347820.467933,d221a8e8,110,4,1,0,anish,0.5167,1392,170,1914,787
1758347821.690492,d221a8e8,115,4,1,0,anish,0.5265,1104,280,1604,880
1758347821.690492,d221a8e8,115,4,0,1,Unknown,0.1526,-223,371,277,971
1758347821.690492,d221a8e8,115,4,0,1,Unknown,0.1526,65,399,582,1020
1758347821.690492,d221a8e8,115,4,1,0,anish,0.5265,1346,185,1861,793
1758347822.592555,d221a8e8,120,4,1,0,anish,0.5227,1104,280,1604,880
1758347822.592555,d221a8e8,120,4,0,1,Unknown,0.1721,-218,373,282,973
1758347822.592555,d221a8e8,120,4,0,1,Unknown,0.1721,60,409,581,1018
1758347822.592555,d221a8e8,120,4,1,0,anish,0.5227,1379,170,1910,778
1758347823.926483,d221a8e8,125,4,1,0,anish,0.4381,1104,280,1604,880
1758347823.926483,d221a8e8,125,4,0,1,Unknown,0.1623,-172,378,328,978
1758347823.926483,d221a8e8,125,4,0,1,Unknown,0.1623,81,438,588,1001
1758347823.926483,d221a8e8,125,4,1,0,anish,0.4381,1353,190,1851,777
1758347825.074295,d221a8e8,130,4,1,0,anish,0.5264,1104,280,1604,880
1758347825.074295,d221a8e8,130,4,0,1,Unknown,0.1844,-192,381,308,981
1758347825.074295,d221a8e8,130,4,0,1,Unknown,0.1844,78,411,578,1017
1758347825.074295,d221a8e8,130,4,1,0,anish,0.5264,1472,136,1998,760
1758347825.679778,d221a8e8,135,5,1,0,anish,0.5004,1097,224,1597,824
1758347825.679778,d221a8e8,135,5,1,0,anish,0.5004,998,311,1368,791
1758347827.1048691,d221a8e8,140,4,1,0,anish,0.5892,1081,238,1581,838
1758347827.1048691,d221a8e8,140,4,1,0,anish,0.5892,983,318,1358,799
1758347828.349649,d221a8e8,145,4,1,0,anish,0.5058,1136,217,1636,817
