frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,220.89,591.01,811.9,1.23,0,0,0
1,0.68,0.01,0.68,1459.9,0,0,0
2,0.59,0.01,0.6,1679.74,0,0,0
3,1.13,0.01,1.14,878.02,0,0,0
4,0.5,0.01,0.51,1959.96,0,0,0
5,691.77,0.02,691.79,1.45,1,1,0
6,13.1,0.0,13.11,76.3,1,1,0
7,13.04,0.01,13.05,76.62,1,1,0
8,10.96,662.65,673.61,1.48,1,1,0
9,13.97,0.09,14.06,71.15,1,1,0
10,491.71,0.08,491.79,2.03,1,1,0
11,11.63,0.09,11.72,85.31,1,1,0
12,12.77,0.09,12.86,77.76,1,1,0
13,13.57,0.09,13.66,73.2,1,1,0
14,19.38,0.12,19.5,51.28,1,1,0
15,319.0,0.08,319.08,3.13,1,1,0
16,14.83,499.37,514.19,1.94,1,1,0
17,13.93,0.11,14.04,71.22,1,1,0
18,12.13,0.08,12.21,81.91,1,1,0
19,13.86,0.05,13.91,71.91,1,1,0
20,386.17,0.06,386.22,2.59,1,1,0
21,11.85,0.05,11.9,84.05,1,1,0
22,11.09,0.06,11.15,89.71,1,1,0
23,13.12,0.05,13.18,75.9,1,1,0
24,13.65,435.24,448.88,2.23,1,1,0
25,479.08,0.09,479.17,2.09,2,1,1
26,27.85,0.1,27.95,35.78,2,1,1
27,27.51,0.16,27.67,36.14,2,1,1
28,29.62,0.11,29.74,33.63,2,1,1
29,28.68,0.1,28.78,34.74,2,1,1
30,994.12,0.11,994.22,1.01,3,1,2
31,36.73,0.12,36.85,27.13,3,1,2
32,32.27,466.16,498.43,2.01,3,1,2
33,32.43,0.19,32.61,30.66,3,1,2
34,34.91,0.18,35.09,28.5,3,1,2
35,529.15,0.21,529.36,1.89,4,2,2
36,44.72,0.19,44.91,22.27,4,2,2
37,53.45,0.22,53.67,18.63,4,2,2
38,45.4,0.18,45.58,21.94,4,2,2
39,45.29,0.18,45.47,21.99,4,2,2
40,449.31,480.34,929.64,1.08,4,2,2
41,62.54,0.15,62.69,15.95,4,2,2
