frame_idx,class,x1,y1,x2,y2
8,NO-Mask,967,166,1471,797
8,NO-Hardhat,959,161,1473,798
16,NO-Hardhat,982,182,1501,811
24,NO-Hardhat,1019,190,1567,831
24,NO-Mask,1032,199,1565,830
32,NO-Hardhat,109,317,696,1003
32,NO-Hardhat,1571,111,1919,737
32,NO-Mask,1573,112,1919,736
32,NO-Mask,108,315,696,1006
32,Person,1050,734,1917,1080
40,NO-Mask,1500,141,1920,780
40,NO-Hardhat,1499,140,1919,780
40,NO-Hardhat,111,317,706,1016
48,NO-Hardhat,113,317,706,1020
48,NO-Hardhat,1386,173,1919,795
48,NO-Mask,1393,181,1919,793
56,NO-Mask,1436,167,1920,792
56,NO-Hardhat,1425,169,1920,792
56,NO-Hardhat,121,327,709,1009
56,Mask,122,327,711,1006
64,Mask,117,327,709,1016
64,NO-Mask,1368,186,1919,840
64,NO-Hardhat,1359,190,1919,843
64,NO-Hardhat,115,326,706,1020
72,Mask,87,317,694,1018
72,NO-Hardhat,86,317,693,1019
72,NO-Mask,1343,187,1919,811
72,NO-Hardhat,1342,182,1919,810
80,NO-Hardhat,78,311,671,1013
80,NO-Hardhat,1259,180,1907,848
88,NO-Hardhat,77,309,666,1020
88,NO-Hardhat,1292,176,1915,811
96,NO-Hardhat,55,302,653,1045
96,NO-Hardhat,1267,208,1901,821
96,NO-Mask,1280,211,1897,823
104,NO-Hardhat,54,300,662,1034
104,NO-Hardhat,1289,214,1887,802
104,NO-Mask,1289,217,1883,801
112,NO-Hardhat,51,299,657,1034
112,NO-Hardhat,1318,160,1919,822
112,NO-Mask,1317,157,1919,821
120,NO-Hardhat,1341,135,1920,811
120,NO-Hardhat,42,301,660,1024
120,NO-Mask,1345,130,1920,810
128,NO-Mask,1339,161,1920,805
128,NO-Hardhat,43,295,644,1013
136,NO-Hardhat,970,268,1406,847
136,NO-Mask,974,294,1404,843
144,NO-Hardhat,936,270,1394,841
144,NO-Mask,947,304,1392,837
152,NO-Mask,979,317,1491,829
152,Mask,0,288,365,1068
152,NO-Hardhat,980,310,1493,834
152,NO-Hardhat,0,284,363,1069
160,NO-Mask,993,321,1499,828
160,Mask,0,276,356,1070
160,NO-Hardhat,991,317,1508,830
160,NO-Hardhat,0,270,354,1075
168,NO-Mask,1032,317,1517,840
168,NO-Hardhat,1030,309,1520,843
168,NO-Hardhat,0,257,305,1069
168,NO-Mask,0,261,299,1070
176,NO-Mask,1121,260,1599,801
176,NO-Hardhat,1119,253,1603,801
176,Mask,0,253,315,1024
176,NO-Hardhat,0,260,306,1026
184,NO-Mask,1109,190,1705,804
184,Mask,0,205,249,1054
192,NO-Hardhat,1074,197,1584,800
192,NO-Mask,1078,205,1579,799
200,NO-Mask,1047,216,1561,804
200,NO-Hardhat,1043,216,1561,804
200,NO-Hardhat,0,293,207,1052
200,Mask,0,280,216,1051
208,NO-Hardhat,1100,194,1596,805
208,NO-Mask,1102,203,1594,803
