ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758465386.285536,d454854c,2,2,1,0,anish,0.5836,1006,362,1353,803
1758465386.285536,d454854c,2,2,0,1,Unknown,0.1198,218,353,542,740
1758465386.438875,d454854c,3,2,1,0,anish,0.5836,1007,362,1354,803
1758465386.438875,d454854c,3,2,0,1,Unknown,0.1198,216,349,546,744
1758465386.856836,d454854c,4,2,1,0,anish,0.5883,1006,362,1352,805
1758465386.856836,d454854c,4,2,0,1,Unknown,0.1281,215,346,546,756
1758465387.0072472,d454854c,5,2,1,0,anish,0.5883,1006,361,1352,804
1758465387.0072472,d454854c,5,2,0,1,Unknown,0.1281,218,346,549,756
1758465387.386116,d454854c,6,1,0,1,Unknown,0.1184,218,353,548,756
1758465387.5344782,d454854c,7,1,0,1,Unknown,0.1184,211,347,548,758
1758465388.371142,d454854c,8,2,1,0,anish,0.5609,1000,361,1349,808
1758465388.371142,d454854c,8,2,0,1,Unknown,0.1342,211,345,542,753
1758465388.509537,d454854c,9,2,1,0,anish,0.5609,999,362,1348,809
1758465388.509537,d454854c,9,2,0,1,Unknown,0.1342,217,345,548,753
1758465388.9313998,d454854c,10,2,1,0,anish,0.551,997,359,1345,812
1758465388.9313998,d454854c,10,2,0,1,Unknown,0.0804,214,348,544,748
1758465389.070998,d454854c,11,2,1,0,anish,0.551,996,360,1344,813
1758465389.070998,d454854c,11,2,0,1,Unknown,0.0804,205,340,535,740
1758465389.560317,d454854c,12,2,1,0,anish,0.5708,995,361,1344,815
1758465389.560317,d454854c,12,2,0,1,Unknown,0.1008,205,340,534,742
1758465389.6977339,d454854c,13,2,1,0,anish,0.5708,994,360,1343,814
1758465389.6977339,d454854c,13,2,0,1,Unknown,0.1008,211,341,540,743
1758465390.099454,d454854c,14,1,0,1,Unknown,0.1103,205,340,529,729
1758465390.22606,d454854c,15,1,0,1,Unknown,0.1103,183,335,507,724
1758465391.0408902,d454854c,16,1,0,1,Unknown,0.1485,180,328,513,723
1758465391.1744819,d454854c,17,1,0,1,Unknown,0.1485,184,330,517,725
1758465391.626552,d454854c,18,1,0,1,Unknown,0.1216,181,328,512,725
1758465391.774462,d454854c,19,1,0,1,Unknown,0.1216,186,329,517,726
1758465392.194447,d454854c,20,2,1,0,anish,0.5768,991,355,1338,809
1758465392.194447,d454854c,20,2,0,1,Unknown,0.187,190,337,519,727
1758465392.3268669,d454854c,21,2,1,0,anish,0.5768,992,351,1339,805
1758465392.3268669,d454854c,21,2,0,1,Unknown,0.187,189,336,518,726
1758465392.733579,d454854c,22,2,1,0,anish,0.6074,992,350,1336,804
1758465392.733579,d454854c,22,2,0,1,Unknown,0.1188,185,332,512,727
1758465392.862853,d454854c,23,2,1,0,anish,0.6074,991,350,1335,804
1758465392.862853,d454854c,23,2,0,1,Unknown,0.1188,185,331,512,726
1758465393.7007968,d454854c,24,2,1,0,anish,0.5838,991,351,1334,805
1758465393.7007968,d454854c,24,2,0,1,Unknown,0.0925,188,337,513,724
1758465393.833579,d454854c,25,2,1,0,anish,0.5838,991,351,1334,805
1758465393.833579,d454854c,25,2,0,1,Unknown,0.0925,204,336,529,723
1758465394.241487,d454854c,26,2,1,0,anish,0.5987,991,353,1333,805
1758465394.241487,d454854c,26,2,0,1,Unknown,0.0969,213,340,517,723
1758465394.3656871,d454854c,27,2,1,0,anish,0.5987,991,353,1333,805
1758465394.3656871,d454854c,27,2,0,1,Unknown,0.0969,209,334,519,725
1758465394.789112,d454854c,28,2,1,0,anish,0.5907,992,353,1334,806
1758465394.789112,d454854c,28,2,0,1,Unknown,0.1108,213,337,523,727
1758465394.9205,d454854c,29,2,1,0,anish,0.5907,992,352,1334,805
1758465394.9205,d454854c,29,2,0,1,Unknown,0.1108,218,326,554,748
1758465395.337186,d454854c,30,2,1,0,anish,0.5858,991,353,1333,805
1758465395.337186,d454854c,30,2,0,1,Unknown,0.1103,228,351,548,740
1758465395.46948,d454854c,31,2,1,0,anish,0.5858,988,348,1337,809
1758465395.46948,d454854c,31,2,0,1,Unknown,0.1103,230,352,550,741
1758465396.285512,d454854c,32,2,1,0,anish,0.5565,995,352,1342,804
1758465396.285512,d454854c,32,2,0,1,Unknown,0.0997,230,351,550,740
1758465396.3976161,d454854c,33,2,1,0,anish,0.5565,1021,367,1348,793
1758465396.3976161,d454854c,33,2,0,1,Unknown,0.0997,243,357,557,738
1758465396.853687,d454854c,34,2,1,0,anish,0.5826,1007,362,1356,813
1758465396.853687,d454854c,34,2,0,1,Unknown,0.0915,225,351,552,738
1758465396.958169,d454854c,35,2,1,0,anish,0.5826,1015,388,1344,813
1758465396.958169,d454854c,35,2,0,1,Unknown,0.0915,221,350,548,737
1758465397.37748,d454854c,36,2,1,0,anish,0.569,1000,365,1353,832
1758465397.37748,d454854c,36,2,0,1,Unknown,0.1241,224,351,547,741
1758465397.492314,d454854c,37,2,1,0,anish,0.569,1001,364,1354,831
1758465397.492314,d454854c,37,2,0,1,Unknown,0.1241,201,346,524,736
1758465397.904602,d454854c,38,1,0,1,Unknown,0.1262,215,344,539,740
1758465398.03631,d454854c,39,1,0,1,Unknown,0.1262,201,340,525,736
1758465398.8468962,d454854c,40,1,0,1,Unknown,0.1246,193,327,529,729
1758465398.971479,d454854c,41,1,0,1,Unknown,0.1246,175,323,518,733
1758465399.378592,d454854c,42,1,0,1,Unknown,0.1502,184,328,520,724
1758465399.49578,d454854c,43,1,0,1,Unknown,0.1502,185,328,521,724
1758465399.9044218,d454854c,44,1,0,1,Unknown,0.1541,184,327,516,721
1758465400.04204,d454854c,45,1,0,1,Unknown,0.1541,190,329,515,715
1758465400.450913,d454854c,46,1,0,1,Unknown,0.1314,187,318,521,711
1758465400.5589812,d454854c,47,1,0,1,Unknown,0.1314,201,319,516,689
1758465401.33635,d454854c,48,2,1,0,anish,0.5601,996,361,1349,834
1758465401.33635,d454854c,48,2,0,1,Unknown,0.1202,187,323,526,687
1758465401.483238,d454854c,49,2,1,0,anish,0.5601,996,361,1349,834
1758465401.483238,d454854c,49,2,0,1,Unknown,0.1202,200,331,532,688
1758465401.881529,d454854c,50,1,0,1,Unknown,0.1309,193,323,540,700
1758465402.0002098,d454854c,51,1,0,1,Unknown,0.1309,194,324,541,701
1758465402.409866,d454854c,52,1,0,1,Unknown,0.1341,196,323,538,704
1758465402.536172,d454854c,53,1,0,1,Unknown,0.1341,195,323,537,704
1758465402.96029,d454854c,54,1,0,1,Unknown,0.1267,195,322,536,705
1758465403.1049652,d454854c,55,1,0,1,Unknown,0.1267,197,322,538,705
1758465403.9343948,d454854c,56,1,0,1,Unknown,0.1315,199,324,537,706
1758465404.069159,d454854c,57,1,0,1,Unknown,0.1315,202,330,533,705
1758465404.4811919,d454854c,58,2,1,0,anish,0.5907,996,375,1353,843
