frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,166.98,512.86,679.84,1.47,0,0,0
1,0.63,0.09,0.73,1375.18,0,0,0
2,576.87,0.35,577.22,1.73,2,1,1
3,112.39,0.24,112.63,8.88,2,1,1
4,401.95,0.22,402.17,2.49,2,1,1
5,112.24,0.25,112.49,8.89,2,1,1
6,364.15,0.16,364.31,2.74,1,0,1
7,105.93,0.15,106.08,9.43,1,0,1
8,404.02,408.89,812.91,1.23,2,1,1
9,119.05,0.55,119.61,8.36,2,1,1
10,409.05,0.28,409.32,2.44,2,1,1
11,106.72,0.32,107.04,9.34,2,1,1
12,470.4,0.36,470.77,2.12,2,1,1
13,104.81,0.39,105.2,9.51,2,1,1
14,373.27,0.19,373.46,2.68,1,0,1
15,96.59,0.17,96.76,10.33,1,0,1
16,397.2,382.55,779.75,1.28,1,0,1
17,116.51,0.2,116.72,8.57,1,0,1
18,436.15,0.21,436.36,2.29,1,0,1
19,115.47,0.24,115.7,8.64,1,0,1
20,403.9,0.29,404.19,2.47,2,1,1
21,98.41,0.58,98.99,10.1,2,1,1
22,370.25,0.27,370.52,2.7,2,1,1
23,98.72,0.27,98.99,10.1,2,1,1
24,397.23,408.85,806.08,1.24,2,1,1
25,105.35,0.28,105.62,9.47,2,1,1
26,381.25,0.26,381.5,2.62,2,1,1
27,106.46,0.27,106.73,9.37,2,1,1
28,395.07,0.25,395.32,2.53,2,1,1
29,120.38,0.49,120.87,8.27,2,1,1
30,372.66,0.31,372.97,2.68,2,1,1
31,103.46,0.27,103.73,9.64,2,1,1
32,403.53,384.85,788.38,1.27,2,1,1
33,103.92,0.28,104.2,9.6,2,1,1
34,426.07,0.29,426.35,2.35,2,1,1
35,96.32,0.45,96.77,10.33,2,1,1
36,381.67,0.26,381.93,2.62,2,1,1
37,98.6,0.32,98.92,10.11,2,1,1
38,373.08,0.18,373.27,2.68,1,0,1
39,107.78,0.22,108.01,9.26,1,0,1
40,411.86,374.85,786.71,1.27,1,0,1
41,109.47,0.22,109.7,9.12,1,0,1
42,380.66,0.21,380.87,2.63,1,0,1
43,100.11,0.21,100.32,9.97,1,0,1
44,371.43,0.23,371.67,2.69,1,0,1
45,109.53,0.3,109.83,9.1,1,0,1
46,389.4,0.21,389.61,2.57,1,0,1
47,96.76,0.21,96.97,10.31,1,0,1
48,373.4,360.03,733.43,1.36,2,1,1
49,113.72,0.48,114.2,8.76,2,1,1
50,385.34,0.28,385.63,2.59,1,0,1
51,103.46,0.21,103.66,9.65,1,0,1
52,375.49,0.2,375.69,2.66,1,0,1
53,104.89,0.3,105.19,9.51,1,0,1
54,391.4,0.2,391.59,2.55,1,0,1
55,101.98,0.19,102.17,9.79,1,0,1
56,444.04,358.29,802.33,1.25,1,0,1
57,97.95,1.13,99.09,10.09,1,0,1
58,382.37,0.4,382.78,2.61,2,1,1
59,94.78,0.36,95.15,10.51,2,1,1
60,371.68,0.27,371.95,2.69,2,1,1
61,95.69,0.28,95.96,10.42,2,1,1
62,379.88,0.43,380.31,2.63,2,1,1
63,102.54,0.3,102.84,9.72,2,1,1
64,422.14,383.89,806.03,1.24,2,1,1
65,108.44,0.37,108.82,9.19,2,1,1
66,425.73,0.42,426.15,2.35,2,1,1
67,102.42,0.26,102.68,9.74,2,1,1
68,404.34,0.21,404.55,2.47,1,0,1
69,103.74,0.22,103.96,9.62,1,0,1
70,402.24,0.7,402.95,2.48,2,1,1
71,121.24,0.27,121.51,8.23,2,1,1
72,416.69,372.86,789.55,1.27,2,1,1
73,110.3,0.33,110.63,9.04,2,1,1
74,378.4,0.32,378.72,2.64,2,1,1
75,100.72,0.58,101.3,9.87,2,1,1
76,373.03,0.21,373.24,2.68,1,0,1
77,115.23,0.22,115.45,8.66,1,0,1
78,375.77,0.22,375.99,2.66,1,0,1
