ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758354532.9278982,d4551c14,0,1,1,0,anish,0.474,819,139,1261,760
1758354535.5825338,d4551c14,5,1,1,0,anish,0.5677,804,134,1268,754
1758354536.4589922,d4551c14,10,1,1,0,anish,0.5353,773,134,1234,754
1758354536.981348,d4551c14,15,1,1,0,anish,0.5094,630,147,1131,746
1758354537.847369,d4551c14,20,1,1,0,anish,0.5473,904,169,1385,786
1758354538.65057,d4551c14,25,1,1,0,anish,0.5514,963,175,1475,800
1758354539.0850298,d4551c14,30,1,1,0,anish,0.4858,576,142,1085,759
1758354539.899162,d4551c14,35,2,1,0,anish,0.4342,576,142,1085,759
1758354539.899162,d4551c14,35,2,1,0,anish,0.4342,312,207,885,776
1758354540.344985,d4551c14,40,1,1,0,anish,0.4413,532,128,1048,740
1758354541.1635451,d4551c14,45,2,1,0,anish,0.5275,1168,285,1695,874
1758354542.092732,d4551c14,50,2,1,0,anish,0.4861,750,239,1290,839
1758354542.092732,d4551c14,50,2,1,0,anish,0.4861,349,184,918,783
1758354542.555843,d4551c14,55,2,1,0,anish,0.5132,750,239,1290,839
1758354542.555843,d4551c14,55,2,1,0,anish,0.5132,617,132,1097,743
1758354543.368785,d4551c14,60,2,1,0,anish,0.523,744,124,1204,753
1758354543.368785,d4551c14,60,2,1,0,anish,0.523,502,168,982,793
1758354544.209984,d4551c14,65,2,1,0,anish,0.6017,862,164,1322,754
1758354544.209984,d4551c14,65,2,1,0,anish,0.6017,662,164,1142,789
1758354544.9999738,d4551c14,70,2,1,0,anish,0.5983,847,152,1312,761
1758354544.9999738,d4551c14,70,2,1,0,anish,0.5983,640,162,1120,787
1758354546.265772,d4551c14,75,2,1,0,anish,0.5982,828,156,1292,764
1758354546.265772,d4551c14,75,2,1,0,anish,0.5982,604,166,1084,791
1758354546.781522,d4551c14,80,2,1,0,anish,0.5921,831,157,1294,762
1758354546.781522,d4551c14,80,2,1,0,anish,0.5921,614,167,1094,792
1758354547.635026,d4551c14,85,2,1,0,anish,0.6163,821,147,1274,759
1758354547.635026,d4551c14,85,2,1,0,anish,0.6163,591,166,1071,791
1758354549.422776,d4551c14,90,2,1,0,anish,0.6289,822,153,1274,762
1758354549.422776,d4551c14,90,2,1,0,anish,0.6289,593,168,1073,793
1758354549.998508,d4551c14,95,2,1,0,anish,0.6279,821,150,1276,762
1758354549.998508,d4551c14,95,2,1,0,anish,0.6279,595,172,1075,797
1758354550.878857,d4551c14,100,2,1,0,anish,0.6145,822,151,1274,759
1758354550.878857,d4551c14,100,2,1,0,anish,0.6145,594,167,1074,792
1758354551.746729,d4551c14,105,2,1,0,anish,0.6175,824,144,1273,760
1758354551.746729,d4551c14,105,2,1,0,anish,0.6175,596,165,1076,790
1758354552.187378,d4551c14,110,2,1,0,anish,0.6139,820,144,1269,760
1758354552.187378,d4551c14,110,2,1,0,anish,0.6139,592,168,1072,793
1758354553.041454,d4551c14,115,2,1,0,anish,0.6167,816,151,1266,761
1758354553.041454,d4551c14,115,2,1,0,anish,0.6167,587,171,1067,796
1758354553.4720662,d4551c14,120,2,1,0,anish,0.6173,810,149,1264,761
1758354553.4720662,d4551c14,120,2,1,0,anish,0.6173,584,171,1064,796
1758354554.2880251,d4551c14,125,2,1,0,anish,0.6037,814,144,1263,759
1758354554.2880251,d4551c14,125,2,1,0,anish,0.6037,587,168,1067,793
1758354555.12752,d4551c14,130,2,1,0,anish,0.618,819,143,1266,760
1758354555.12752,d4551c14,130,2,1,0,anish,0.618,589,164,1069,789
1758354555.5585458,d4551c14,135,2,1,0,anish,0.5871,814,143,1262,758
1758354555.5585458,d4551c14,135,2,1,0,anish,0.5871,585,165,1065,790
1758354556.3698518,d4551c14,140,2,1,0,anish,0.6075,812,141,1261,758
1758354556.3698518,d4551c14,140,2,1,0,anish,0.6075,585,164,1065,789
1758354557.480535,d4551c14,145,2,1,0,anish,0.5821,810,141,1261,753
1758354557.480535,d4551c14,145,2,1,0,anish,0.5821,585,159,1065,784
1758354557.967268,d4551c14,150,2,1,0,anish,0.5822,818,142,1266,754
1758354557.967268,d4551c14,150,2,1,0,anish,0.5822,590,159,1070,784
