frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,543.51,1972.69,2516.2,0.4,1,1,0
1,20.99,0.07,21.06,47.49,1,1,0
2,12.72,0.06,12.78,78.27,1,1,0
3,16.26,0.07,16.33,61.23,1,1,0
4,27.72,0.08,27.8,35.97,1,1,0
5,463.98,0.12,464.1,2.15,1,1,0
6,15.8,0.09,15.89,62.94,1,1,0
7,12.39,0.08,12.47,80.17,1,1,0
8,12.79,408.25,421.04,2.38,1,1,0
9,14.51,0.12,14.63,68.34,1,1,0
10,309.96,0.09,310.04,3.23,1,1,0
11,13.79,0.14,13.92,71.81,1,1,0
12,13.28,0.09,13.37,74.8,1,1,0
13,11.04,0.09,11.14,89.8,1,1,0
14,11.67,0.09,11.76,85.04,1,1,0
15,363.91,0.09,364.01,2.75,1,1,0
16,11.49,394.18,405.67,2.47,1,1,0
17,13.27,0.1,13.37,74.79,1,1,0
18,11.99,0.1,12.09,82.73,1,1,0
19,13.19,0.1,13.29,75.24,1,1,0
20,295.01,0.1,295.11,3.39,1,1,0
21,12.49,0.1,12.59,79.43,1,1,0
22,21.6,0.1,21.69,46.09,1,1,0
23,12.78,0.11,12.9,77.54,1,1,0
24,11.84,369.26,381.1,2.62,1,1,0
25,264.85,0.07,264.92,3.77,1,1,0
26,13.16,0.07,13.22,75.62,1,1,0
27,11.5,0.06,11.55,86.55,1,1,0
28,12.37,0.06,12.44,80.4,1,1,0
29,13.17,0.06,13.23,75.6,1,1,0
30,265.94,0.07,266.01,3.76,1,1,0
31,6.16,0.06,6.21,160.98,1,1,0
32,6.68,359.16,365.85,2.73,1,1,0
33,6.11,0.09,6.2,161.29,1,1,0
34,6.17,0.09,6.26,159.8,1,1,0
35,274.4,0.1,274.5,3.64,2,2,0
36,12.19,0.09,12.28,81.46,1,1,0
37,6.65,0.09,6.74,148.3,1,1,0
38,6.63,0.09,6.72,148.83,1,1,0
39,7.32,0.09,7.41,134.88,1,1,0
40,290.52,385.08,675.6,1.48,1,1,0
41,6.57,0.06,6.62,150.97,1,1,0
42,6.26,0.05,6.31,158.38,1,1,0
43,6.3,0.05,6.35,157.58,1,1,0
44,6.66,0.06,6.72,148.9,1,1,0
45,384.5,0.07,384.56,2.6,2,2,0
46,19.28,0.05,19.33,51.73,1,1,0
47,13.05,0.05,13.1,76.33,1,1,0
48,12.13,381.57,393.7,2.54,1,1,0
49,13.08,0.05,13.13,76.13,1,1,0
50,304.3,0.05,304.35,3.29,2,2,0
51,24.11,0.05,24.15,41.4,2,2,0
52,23.53,0.05,23.58,42.41,2,2,0
53,24.91,0.05,24.96,40.06,2,2,0
54,22.19,0.05,22.23,44.97,2,2,0
55,269.02,0.05,269.07,3.72,2,2,0
56,17.59,366.52,384.11,2.6,2,2,0
57,23.17,0.09,23.27,42.98,2,2,0
58,24.43,0.1,24.52,40.78,2,2,0
59,28.68,0.09,28.77,34.75,2,2,0
60,279.43,0.09,279.52,3.58,2,2,0
61,21.98,0.09,22.07,45.3,2,2,0
62,23.38,0.09,23.47,42.6,2,2,0
63,23.89,0.09,23.98,41.7,2,2,0
64,22.04,347.4,369.44,2.71,2,2,0
65,321.41,0.08,321.49,3.11,2,2,0
66,22.27,0.07,22.33,44.78,2,2,0
67,24.66,0.11,24.77,40.37,2,2,0
68,26.79,0.05,26.84,37.26,2,2,0
69,25.49,0.05,25.54,39.16,2,2,0
70,579.2,0.21,579.41,1.73,2,2,0
71,48.81,0.07,48.88,20.46,2,2,0
72,31.82,452.01,483.83,2.07,2,2,0
73,24.87,0.11,24.99,40.02,2,2,0
74,55.2,0.92,56.11,17.82,2,2,0
75,574.89,0.19,575.08,1.74,2,2,0
76,18.07,0.11,18.19,54.98,2,2,0
77,25.56,0.11,25.66,38.97,2,2,0
78,25.88,0.13,26.01,38.45,2,2,0
79,23.88,0.1,23.98,41.69,2,2,0
80,292.41,411.4,703.8,1.42,2,2,0
81,22.2,0.09,22.29,44.87,2,2,0
82,22.95,0.09,23.04,43.4,2,2,0
83,24.63,0.09,24.72,40.46,2,2,0
84,26.15,0.13,26.28,38.05,2,2,0
85,278.7,0.09,278.79,3.59,2,2,0
86,25.92,0.09,26.02,38.44,2,2,0
87,28.92,0.12,29.04,34.44,2,2,0
88,54.85,442.65,497.49,2.01,2,2,0
89,167.32,0.91,168.23,5.94,2,2,0
90,891.38,0.67,892.05,1.12,2,2,0
91,30.7,0.26,30.96,32.3,2,2,0
92,23.1,0.12,23.22,43.06,2,2,0
93,22.45,0.12,22.58,44.3,2,2,0
94,33.6,0.09,33.69,29.68,2,2,0
95,334.06,0.15,334.2,2.99,2,2,0
96,22.67,406.71,429.38,2.33,2,2,0
97,22.33,0.09,22.43,44.59,2,2,0
98,20.65,0.09,20.74,48.21,2,2,0
99,18.13,0.1,18.22,54.88,2,2,0
100,286.95,0.09,287.04,3.48,2,2,0
101,18.65,0.1,18.75,53.32,2,2,0
102,25.61,0.09,25.7,38.9,2,2,0
103,23.34,0.09,23.43,42.69,2,2,0
104,22.88,362.22,385.1,2.6,2,2,0
105,322.99,0.09,323.08,3.1,2,2,0
106,24.55,0.1,24.64,40.58,2,2,0
107,23.26,0.09,23.35,42.82,2,2,0
108,21.67,0.09,21.77,45.94,2,2,0
109,25.38,0.11,25.49,39.24,2,2,0
110,295.02,0.13,295.15,3.39,2,2,0
111,20.86,0.09,20.95,47.72,2,2,0
112,21.06,373.9,394.97,2.53,2,2,0
113,21.58,0.11,21.69,46.1,2,2,0
114,21.61,0.1,21.71,46.07,2,2,0
115,282.81,0.09,282.91,3.53,2,2,0
116,20.08,0.09,20.17,49.57,2,2,0
117,22.12,0.1,22.21,45.01,2,2,0
118,19.99,0.09,20.08,49.79,2,2,0
119,20.33,0.11,20.44,48.92,2,2,0
120,279.74,376.31,656.06,1.52,2,2,0
121,21.36,0.1,21.46,46.59,2,2,0
122,22.28,0.09,22.37,44.7,2,2,0
123,20.75,0.09,20.84,47.99,2,2,0
124,18.57,0.09,18.66,53.58,2,2,0
125,294.7,0.1,294.8,3.39,2,2,0
126,20.56,0.09,20.65,48.43,2,2,0
127,20.1,0.09,20.19,49.53,2,2,0
128,20.63,348.36,368.99,2.71,2,2,0
129,23.55,0.09,23.64,42.3,2,2,0
130,266.85,0.09,266.95,3.75,2,2,0
131,19.24,0.09,19.33,51.73,2,2,0
132,18.33,0.09,18.42,54.28,2,2,0
133,21.49,0.1,21.59,46.31,2,2,0
134,20.76,0.09,20.84,47.98,2,2,0
135,265.66,0.09,265.76,3.76,2,2,0
136,20.91,340.57,361.47,2.77,2,2,0
137,20.92,0.09,21.02,47.58,2,2,0
138,21.46,0.13,21.59,46.32,2,2,0
139,20.1,0.09,20.19,49.53,2,2,0
140,269.25,0.09,269.33,3.71,2,2,0
141,20.93,0.09,21.02,47.58,2,2,0
142,19.21,0.09,19.31,51.8,2,2,0
143,19.24,0.09,19.33,51.72,2,2,0
144,18.33,408.06,426.39,2.35,2,2,0
145,542.77,0.13,542.89,1.84,2,2,0
146,24.19,0.17,24.36,41.05,2,2,0
147,28.5,0.1,28.6,34.97,2,2,0
148,23.7,0.12,23.82,41.99,2,2,0
149,24.94,0.11,25.05,39.92,2,2,0
150,306.01,0.09,306.1,3.27,2,2,0
151,22.09,0.1,22.18,45.08,2,2,0
152,29.09,417.36,446.45,2.24,2,2,0
153,23.09,0.06,23.14,43.21,2,2,0
