frame_idx,class,x1,y1,x2,y2
0,NO-Hardhat,746,4,1315,795
8,NO-Hardhat,744,10,1303,912
8,NO-Mask,745,5,1306,907
16,NO-Hardhat,527,40,1157,915
16,NO-Mask,526,38,1170,912
24,NO-Hardhat,1013,56,1660,878
32,NO-Hardhat,313,92,967,821
32,NO-Mask,321,93,968,817
40,NO-Mask,495,85,1125,811
48,NO-Mask,955,155,1563,842
56,NO-Mask,848,87,1499,834
56,NO-Hardhat,854,113,1501,826
64,NO-Mask,721,86,1287,894
72,NO-Hardhat,768,20,1353,901
72,NO-Mask,766,21,1353,901
80,NO-Hardhat,753,9,1346,912
80,NO-Mask,752,7,1347,911
88,NO-Hardhat,747,9,1326,903
88,NO-Mask,746,7,1327,902
96,NO-Hardhat,749,8,1328,876
96,NO-Mask,746,8,1326,882
104,NO-Hardhat,751,8,1326,873
104,NO-Mask,748,11,1325,868
112,NO-Hardhat,747,7,1321,869
112,NO-Mask,744,8,1320,874
120,NO-Hardhat,745,8,1314,872
120,NO-Mask,743,9,1313,878
128,NO-Hardhat,750,8,1315,878
128,NO-Mask,746,8,1314,883
136,NO-Hardhat,747,7,1314,870
136,NO-Mask,744,8,1312,875
144,NO-Hardhat,748,7,1312,874
144,NO-Mask,745,10,1307,879
152,NO-Hardhat,749,8,1316,903
