ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758355944.9941719,d67036b0,0,1,1,0,anish,0.5022,870,259,1292,795
1758355947.381335,d67036b0,5,1,1,0,anish,0.5576,870,260,1293,806
1758355948.247947,d67036b0,10,1,1,0,anish,0.5611,874,260,1301,815
1758355948.671793,d67036b0,15,1,1,0,anish,0.5366,929,268,1374,842
1758355949.465068,d67036b0,20,2,1,0,anish,0.5186,929,268,1374,842
1758355949.465068,d67036b0,20,2,1,0,anish,0.5186,1266,417,1791,999
1758355950.282649,d67036b0,25,2,1,0,anish,0.5032,649,244,1128,827
1758355950.81281,d67036b0,30,3,1,0,anish,0.5463,649,244,1128,827
1758355950.81281,d67036b0,30,3,1,0,anish,0.5463,403,316,909,840
1758355951.864819,d67036b0,35,3,1,0,anish,0.5441,391,384,903,924
1758355951.864819,d67036b0,35,3,1,0,anish,0.5441,550,259,1030,812
1758355952.546667,d67036b0,40,3,1,0,anish,0.5142,712,238,1161,816
1758355952.546667,d67036b0,40,3,1,0,anish,0.5142,511,314,991,890
1758355953.557708,d67036b0,45,3,1,0,anish,0.5155,742,244,1181,823
1758355953.557708,d67036b0,45,3,1,0,anish,0.5155,536,316,1016,892
1758355954.978831,d67036b0,50,3,1,0,anish,0.5414,755,239,1192,819
1758355954.978831,d67036b0,50,3,1,0,anish,0.5414,550,310,1030,886
1758355956.482651,d67036b0,55,3,1,0,anish,0.5454,762,243,1209,830
1758355956.482651,d67036b0,55,3,1,0,anish,0.5454,565,319,1045,895
1758355957.9545898,d67036b0,60,3,1,0,anish,0.5682,762,241,1207,828
1758355957.9545898,d67036b0,60,3,1,0,anish,0.5682,564,317,1044,893
1758355959.447366,d67036b0,65,3,1,0,anish,0.5586,764,240,1208,827
1758355959.447366,d67036b0,65,3,1,0,anish,0.5586,566,317,1046,893
1758355960.4692988,d67036b0,70,3,1,0,anish,0.55,764,245,1209,827
1758355960.4692988,d67036b0,70,3,1,0,anish,0.55,567,318,1047,894
1758355961.945507,d67036b0,75,3,1,0,anish,0.5389,763,242,1208,827
1758355961.945507,d67036b0,75,3,1,0,anish,0.5389,565,317,1045,893
1758355963.36744,d67036b0,80,3,1,0,anish,0.5275,761,250,1203,821
1758355963.36744,d67036b0,80,3,1,0,anish,0.5275,566,315,1046,891
1758355964.826494,d67036b0,85,3,1,0,anish,0.5259,713,245,1168,822
1758355964.826494,d67036b0,85,3,1,0,anish,0.5259,513,324,993,900
1758355966.3009229,d67036b0,90,3,1,0,anish,0.5787,656,248,1136,805
1758355966.3009229,d67036b0,90,3,1,0,anish,0.5787,459,333,939,909
1758355967.438195,d67036b0,95,3,0,1,Unknown,0.3012,688,262,1140,810
1758355967.438195,d67036b0,95,3,0,1,Unknown,0.3012,487,339,967,915
1758355968.835649,d67036b0,100,3,0,1,Unknown,0.322,689,269,1137,819
1758355968.835649,d67036b0,100,3,0,1,Unknown,0.322,483,342,963,918
1758355970.2312121,d67036b0,105,3,1,0,anish,0.5333,706,240,1163,815
1758355970.2312121,d67036b0,105,3,1,0,anish,0.5333,502,323,982,899
1758355971.528304,d67036b0,110,3,1,0,anish,0.5304,706,241,1168,810
1758355971.528304,d67036b0,110,3,1,0,anish,0.5304,505,318,985,894
1758355973.515023,d67036b0,115,3,1,0,anish,0.5407,724,244,1171,809
1758355973.515023,d67036b0,115,3,1,0,anish,0.5407,521,313,1001,889
