frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,597.34,1605.09,2202.43,0.45,1,1,0
1,9.7,0.11,9.81,101.96,1,1,0
2,10.85,0.12,10.98,91.1,1,1,0
3,11.65,0.1,11.76,85.05,1,1,0
4,17.32,0.19,17.51,57.12,1,1,0
5,592.38,0.3,592.68,1.69,1,1,0
6,11.89,0.16,12.05,82.99,1,1,0
7,9.99,0.15,10.14,98.64,1,1,0
8,8.65,421.23,429.88,2.33,1,1,0
9,11.0,0.13,11.12,89.9,1,1,0
10,258.18,0.2,258.37,3.87,1,1,0
11,10.06,0.1,10.16,98.39,1,1,0
12,9.5,0.09,9.59,104.25,1,1,0
13,8.8,0.1,8.89,112.46,1,1,0
14,8.93,0.09,9.03,110.74,1,1,0
15,251.09,0.1,251.19,3.98,1,1,0
16,5.13,364.55,369.68,2.71,1,1,0
17,5.81,0.05,5.85,170.83,1,1,0
18,5.11,0.05,5.16,193.76,1,1,0
19,6.23,0.05,6.28,159.33,1,1,0
20,278.51,0.05,278.56,3.59,2,2,0
21,19.7,0.05,19.75,50.62,1,1,0
22,14.52,0.05,14.56,68.66,1,1,0
23,11.71,0.04,11.75,85.08,1,1,0
24,11.92,380.42,392.34,2.55,1,1,0
25,384.19,0.06,384.26,2.6,2,2,0
26,15.95,0.05,16.0,62.49,2,2,0
27,16.37,0.05,16.41,60.93,2,2,0
28,17.75,0.06,17.81,56.15,2,2,0
29,16.17,0.05,16.22,61.64,2,2,0
30,374.71,0.04,374.76,2.67,3,3,0
31,34.66,0.05,34.71,28.81,2,2,0
32,22.75,384.64,407.39,2.45,2,2,0
33,22.71,0.05,22.76,43.93,2,2,0
34,29.23,0.12,29.35,34.07,2,2,0
35,417.71,0.05,417.76,2.39,3,3,0
36,31.44,0.06,31.5,31.75,3,3,0
37,31.39,0.05,31.44,31.8,3,3,0
38,34.27,0.05,34.32,29.14,3,3,0
39,29.73,0.05,29.77,33.59,3,3,0
40,388.78,365.82,754.6,1.33,3,3,0
41,37.09,0.14,37.23,26.86,3,3,0
42,30.39,0.18,30.57,32.71,3,3,0
43,31.56,0.12,31.68,31.57,3,3,0
44,33.07,0.1,33.17,30.15,3,3,0
45,383.42,0.1,383.52,2.61,3,3,0
46,33.66,0.09,33.75,29.63,3,3,0
47,36.93,0.1,37.03,27.01,3,3,0
48,29.89,511.54,541.43,1.85,3,3,0
49,51.89,0.12,52.01,19.23,3,3,0
50,869.06,0.24,869.3,1.15,3,3,0
51,194.32,0.1,194.42,5.14,3,3,0
52,174.1,0.09,174.19,5.74,3,3,0
53,141.79,0.1,141.88,7.05,3,3,0
54,145.52,0.11,145.62,6.87,3,3,0
55,461.86,0.18,462.04,2.16,3,3,0
56,141.66,385.41,527.07,1.9,3,3,0
57,140.68,0.1,140.78,7.1,3,3,0
58,153.45,0.13,153.59,6.51,3,3,0
59,144.8,0.1,144.9,6.9,3,3,0
60,360.74,0.1,360.84,2.77,3,3,0
61,127.12,0.13,127.25,7.86,3,3,0
62,134.23,0.09,134.33,7.44,3,3,0
63,137.44,0.1,137.54,7.27,3,3,0
64,155.35,373.79,529.14,1.89,3,3,0
65,387.25,0.09,387.34,2.58,3,3,0
66,128.4,0.09,128.49,7.78,3,3,0
67,128.1,0.1,128.2,7.8,3,3,0
68,133.64,0.09,133.74,7.48,3,3,0
69,128.72,0.13,128.85,7.76,3,3,0
70,381.6,0.09,381.69,2.62,3,3,0
71,152.98,0.25,153.23,6.53,3,3,0
72,140.51,358.71,499.22,2.0,3,3,0
73,132.81,0.09,132.9,7.52,3,3,0
74,154.04,0.09,154.14,6.49,3,3,0
75,440.37,0.09,440.47,2.27,3,3,0
76,142.21,0.1,142.31,7.03,3,3,0
77,370.26,0.1,370.35,2.7,3,3,0
78,149.24,0.13,149.37,6.69,3,3,0
79,140.12,0.1,140.23,7.13,3,3,0
80,471.03,386.31,857.34,1.17,3,3,0
81,143.58,0.1,143.67,6.96,3,3,0
82,139.85,0.1,139.95,7.15,3,3,0
83,137.4,0.1,137.5,7.27,3,3,0
84,131.07,0.1,131.17,7.62,3,3,0
85,423.01,0.09,423.11,2.36,3,3,0
86,158.75,0.1,158.85,6.3,3,3,0
87,142.75,0.1,142.85,7.0,3,3,0
88,145.77,357.19,502.97,1.99,3,3,0
89,139.29,0.1,139.39,7.17,3,3,0
90,376.7,0.1,376.8,2.65,3,3,0
91,170.37,0.1,170.47,5.87,3,3,0
92,150.36,0.14,150.5,6.64,3,3,0
93,145.61,0.1,145.71,6.86,3,3,0
94,149.13,0.1,149.23,6.7,3,3,0
95,418.67,0.14,418.81,2.39,3,1,2
96,136.17,344.85,481.02,2.08,3,1,2
97,131.66,0.05,131.71,7.59,3,1,2
98,127.17,0.05,127.23,7.86,3,1,2
99,131.86,0.05,131.91,7.58,3,1,2
100,364.5,0.05,364.55,2.74,3,1,2
101,126.35,0.06,126.41,7.91,3,1,2
102,131.81,0.06,131.86,7.58,3,1,2
103,136.47,0.06,136.52,7.32,3,1,2
104,129.64,338.95,468.59,2.13,3,1,2
105,363.93,0.09,364.03,2.75,3,3,0
106,129.89,0.14,130.04,7.69,3,3,0
107,129.3,0.09,129.39,7.73,3,3,0
108,157.09,0.14,157.23,6.36,3,3,0
109,167.96,0.11,168.07,5.95,3,3,0
110,785.57,0.32,785.89,1.27,3,3,0
111,171.01,0.1,171.11,5.84,3,3,0
112,143.17,405.93,549.1,1.82,3,3,0
113,133.84,0.09,133.93,7.47,3,3,0
114,134.12,0.09,134.21,7.45,3,3,0
115,658.9,0.09,659.0,1.52,3,3,0
116,144.35,0.09,144.44,6.92,3,3,0
117,191.08,0.1,191.18,5.23,3,3,0
118,153.31,0.27,153.58,6.51,3,3,0
119,159.89,0.11,160.0,6.25,3,3,0
