frame_idx,class,x1,y1,x2,y2
0,NO-Mask,808,109,1323,859
0,NO-Hardhat,809,110,1322,861
8,NO-Mask,815,123,1322,947
8,NO-Hardhat,815,121,1321,943
16,NO-Mask,1073,311,1699,972
24,NO-Mask,986,273,1568,933
32,NO-Hardhat,383,270,942,870
40,NO-Mask,662,103,1205,919
40,NO-Hardhat,663,104,1203,916
48,NO-Hardhat,690,96,1233,916
48,NO-Mask,694,95,1234,922
56,NO-Hardhat,709,93,1241,892
56,NO-Mask,711,91,1242,893
64,NO-Hardhat,713,94,1240,885
64,NO-Mask,715,93,1241,881
72,NO-Mask,713,92,1242,901
72,NO-Hardhat,711,94,1241,899
80,NO-Hardhat,708,95,1238,894
80,NO-Mask,709,94,1241,911
88,NO-Hardhat,598,128,1193,906
88,NO-Mask,603,126,1201,913
96,NO-Hardhat,614,127,1188,899
104,NO-Hardhat,628,124,1198,895
104,NO-Mask,629,126,1203,907
112,NO-Hardhat,652,115,1217,891
112,NO-Mask,659,117,1222,886
