frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,326.94,120.55,447.49,2.23,1,1,0
1,102.04,0.15,102.19,9.79,1,1,0
2,87.55,0.13,87.68,11.41,1,1,0
3,93.13,0.12,93.25,10.72,1,1,0
4,87.24,0.12,87.36,11.45,1,1,0
5,508.46,0.16,508.61,1.97,1,1,0
6,90.32,0.13,90.46,11.06,1,1,0
7,77.82,0.14,77.96,12.83,1,1,0
8,86.73,40.89,127.62,7.84,1,1,0
9,91.2,0.17,91.37,10.95,1,1,0
10,936.32,0.15,936.47,1.07,1,1,0
11,82.06,0.14,82.2,12.17,1,1,0
12,75.57,0.13,75.71,13.21,1,1,0
13,88.32,0.13,88.44,11.31,1,1,0
14,84.64,0.15,84.79,11.79,1,1,0
15,470.64,0.16,470.8,2.12,1,1,0
16,91.94,28.3,120.25,8.32,1,1,0
17,77.35,0.14,77.49,12.9,1,1,0
18,85.42,0.16,85.57,11.69,1,1,0
19,84.99,0.27,85.25,11.73,1,1,0
20,484.25,0.13,484.38,2.06,1,1,0
21,81.65,0.12,81.78,12.23,1,1,0
22,73.43,0.12,73.55,13.6,1,1,0
23,78.74,0.12,78.86,12.68,1,1,0
24,74.83,27.13,101.96,9.81,1,1,0
25,656.88,0.19,657.06,1.52,1,1,0
26,104.99,0.2,105.19,9.51,1,1,0
27,90.82,0.21,91.03,10.99,1,1,0
28,98.29,0.19,98.49,10.15,1,1,0
29,97.09,0.2,97.29,10.28,1,1,0
30,603.5,0.18,603.68,1.66,1,1,0
31,102.08,0.19,102.27,9.78,1,1,0
32,92.3,39.55,131.85,7.58,1,1,0
33,99.26,0.2,99.47,10.05,1,1,0
34,95.36,0.21,95.56,10.46,1,1,0
35,489.01,0.19,489.2,2.04,1,1,0
36,81.67,0.13,81.8,12.22,1,1,0
37,72.47,0.12,72.59,13.78,1,1,0
38,83.17,0.12,83.29,12.01,1,1,0
39,84.97,0.12,85.08,11.75,1,1,0
40,483.91,31.11,515.03,1.94,1,1,0
41,91.72,0.19,91.91,10.88,1,1,0
42,90.66,0.19,90.85,11.01,1,1,0
43,94.89,0.18,95.07,10.52,1,1,0
44,79.1,0.3,79.4,12.59,1,1,0
45,453.01,0.13,453.14,2.21,1,1,0
46,71.79,0.13,71.92,13.9,1,1,0
47,64.94,0.14,65.08,15.37,1,1,0
48,66.82,24.59,91.4,10.94,1,1,0
49,63.32,0.11,63.43,15.77,1,1,0
50,444.88,0.15,445.03,2.25,1,1,0
51,88.13,0.14,88.27,11.33,1,1,0
52,82.51,0.13,82.65,12.1,1,1,0
53,89.54,0.14,89.68,11.15,1,1,0
54,88.31,0.12,88.43,11.31,1,1,0
55,369.06,0.15,369.2,2.71,1,1,0
56,78.98,29.13,108.11,9.25,1,1,0
57,72.08,0.12,72.2,13.85,1,1,0
58,95.99,0.11,96.11,10.41,1,1,0
59,82.9,0.11,83.01,12.05,1,1,0
60,302.23,0.16,302.39,3.31,1,1,0
61,81.68,0.12,81.8,12.22,1,1,0
62,74.37,0.14,74.51,13.42,1,1,0
63,82.33,0.13,82.46,12.13,1,1,0
64,80.68,50.61,131.29,7.62,1,1,0
65,313.69,0.14,313.84,3.19,1,1,0
66,80.3,0.12,80.42,12.43,1,1,0
67,72.99,0.11,73.1,13.68,1,1,0
68,78.63,0.12,78.75,12.7,1,1,0
69,72.63,0.11,72.74,13.75,1,1,0
70,302.55,0.15,302.7,3.3,1,1,0
71,84.16,0.15,84.31,11.86,1,1,0
72,76.54,29.34,105.88,9.44,1,1,0
73,81.54,0.15,81.69,12.24,1,1,0
74,75.92,0.14,76.06,13.15,1,1,0
75,302.0,0.16,302.16,3.31,1,1,0
76,85.66,0.22,85.88,11.64,1,1,0
77,71.67,0.2,71.87,13.91,1,1,0
78,68.79,0.13,68.92,14.51,1,1,0
79,67.07,0.13,67.2,14.88,1,1,0
80,293.19,24.63,317.82,3.15,1,1,0
81,68.65,0.11,68.75,14.55,1,1,0
82,60.22,0.09,60.31,16.58,1,1,0
83,63.06,0.08,63.15,15.84,1,1,0
84,60.6,0.09,60.69,16.48,1,1,0
85,284.48,0.13,284.61,3.51,1,1,0
86,65.95,0.12,66.06,15.14,1,1,0
87,59.77,0.11,59.88,16.7,1,1,0
88,63.96,24.47,88.43,11.31,1,1,0
89,61.33,0.09,61.42,16.28,1,1,0
90,400.21,0.15,400.36,2.5,1,1,0
91,81.06,0.13,81.2,12.32,1,1,0
92,76.22,0.12,76.34,13.1,1,1,0
93,89.88,0.13,90.0,11.11,1,1,0
94,87.53,0.13,87.66,11.41,1,1,0
95,832.36,0.14,832.5,1.2,1,1,0
96,94.23,29.17,123.4,8.1,1,1,0
97,71.41,0.13,71.54,13.98,1,1,0
98,76.99,0.12,77.11,12.97,1,1,0
99,73.21,0.12,73.33,13.64,1,1,0
100,440.68,0.13,440.81,2.27,1,1,0
101,77.66,0.12,77.78,12.86,1,1,0
102,70.26,0.11,70.37,14.21,1,1,0
103,75.09,0.11,75.2,13.3,1,1,0
104,72.78,27.25,100.04,10.0,1,1,0
105,484.1,0.14,484.24,2.07,1,1,0
106,78.17,0.12,78.29,12.77,1,1,0
107,70.7,0.12,70.82,14.12,1,1,0
108,76.24,0.12,76.36,13.1,1,1,0
109,72.51,0.12,72.63,13.77,1,1,0
110,433.95,0.14,434.09,2.3,1,1,0
111,83.68,0.14,83.83,11.93,1,1,0
112,73.83,29.85,103.69,9.64,1,1,0
113,78.79,0.15,78.94,12.67,1,1,0
114,78.43,0.16,78.59,12.72,1,1,0
115,491.5,0.15,491.65,2.03,1,1,0
116,84.35,0.15,84.5,11.83,1,1,0
117,76.49,0.15,76.65,13.05,1,1,0
118,81.8,0.14,81.94,12.2,1,1,0
119,77.17,0.15,77.33,12.93,1,1,0
120,556.94,27.64,584.58,1.71,1,1,0
121,86.41,0.13,86.54,11.55,1,1,0
122,82.89,0.13,83.01,12.05,1,1,0
123,88.63,0.12,88.74,11.27,1,1,0
124,83.89,0.11,84.0,11.9,1,1,0
125,288.61,0.14,288.76,3.46,1,1,0
126,71.81,0.13,71.94,13.9,1,1,0
127,62.43,0.14,62.56,15.98,1,1,0
128,70.47,25.29,95.76,10.44,1,1,0
129,67.55,0.13,67.68,14.78,1,1,0
130,310.1,0.13,310.23,3.22,1,1,0
131,71.18,0.14,71.31,14.02,1,1,0
132,64.61,0.13,64.74,15.45,1,1,0
133,69.21,0.14,69.35,14.42,1,1,0
134,65.51,0.12,65.63,15.24,1,1,0
135,330.77,0.13,330.9,3.02,1,1,0
136,70.82,25.06,95.89,10.43,1,1,0
137,61.61,0.1,61.71,16.21,1,1,0
138,63.59,0.09,63.68,15.7,1,1,0
139,62.63,0.19,62.83,15.92,1,1,0
140,578.29,0.15,578.44,1.73,1,1,0
141,84.16,0.15,84.31,11.86,1,1,0
142,77.23,0.15,77.38,12.92,1,1,0
143,81.44,0.15,81.59,12.26,1,1,0
144,77.18,29.55,106.73,9.37,1,1,0
145,451.27,0.12,451.39,2.22,1,1,0
