ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1757830293.1821818,d70dfcad,0,1,1,0,worker1,0.9171,391,89,466,182
1757830294.2013721,d70dfcad,5,1,1,0,worker1,0.9194,392,89,467,182
1757830295.112928,d70dfcad,10,1,1,0,worker1,0.9259,393,90,468,182
1757830295.9866607,d70dfcad,15,1,1,0,worker1,0.9211,393,90,469,182
1757830297.087931,d70dfcad,20,1,1,0,worker1,0.9385,394,91,470,182
1757830298.5459504,d70dfcad,25,1,1,0,worker1,0.9405,394,90,470,182
1757830299.9319983,d70dfcad,30,1,1,0,worker1,0.9457,394,90,470,182
1757830300.7974544,d70dfcad,35,1,1,0,worker1,0.9477,394,90,469,182
1757830301.5890625,d70dfcad,40,1,1,0,worker1,0.9465,393,90,469,183
1757830302.498403,d70dfcad,45,1,1,0,worker1,0.9283,393,89,469,184
1757830303.378557,d70dfcad,50,1,1,0,worker1,0.9379,392,88,468,185
1757830304.211149,d70dfcad,55,1,1,0,worker1,0.9332,392,88,468,186
1757830305.095465,d70dfcad,60,1,1,0,worker1,0.9028,392,89,469,186
1757830305.9220912,d70dfcad,65,1,1,0,worker1,0.9253,394,89,469,186
1757830306.6582778,d70dfcad,70,1,1,0,worker1,0.9355,391,90,467,187
1757830307.4522278,d70dfcad,75,1,1,0,worker1,0.9096,390,88,466,186
1757830308.2887123,d70dfcad,80,1,1,0,worker1,0.9203,392,88,468,186
1757830309.0551662,d70dfcad,85,1,1,0,worker1,0.9313,392,89,468,186
1757830309.8489764,d70dfcad,90,1,1,0,worker1,0.9315,391,89,467,186
1757830310.6726978,d70dfcad,95,1,1,0,worker1,0.9297,391,89,467,187
1757830311.4628134,d70dfcad,100,1,1,0,worker1,0.9331,391,89,467,187
1757830312.5898225,d70dfcad,105,1,1,0,worker1,0.9325,391,89,467,187
1757830313.3687272,d70dfcad,110,1,1,0,worker1,0.9319,391,89,467,187
1757830314.054607,d70dfcad,115,1,1,0,worker1,0.9307,392,88,468,187
1757830314.688545,d70dfcad,120,1,1,0,worker1,0.9277,392,88,468,187
1757830315.406026,d70dfcad,125,1,1,0,worker1,0.9234,392,88,468,186
1757830316.2632978,d70dfcad,130,1,1,0,worker1,0.8814,391,88,468,186
1757830317.040377,d70dfcad,135,1,1,0,worker1,0.8839,391,88,468,186
1757830317.9319456,d70dfcad,140,1,1,0,worker1,0.8885,391,88,468,186
1757830318.7294548,d70dfcad,145,1,1,0,worker1,0.8903,391,88,468,186
1757830319.3360634,d70dfcad,150,1,1,0,worker1,0.8887,391,88,468,186
1757830319.9395626,d70dfcad,155,1,1,0,worker1,0.8936,392,88,468,186
1757830320.522328,d70dfcad,160,1,1,0,worker1,0.886,392,88,469,186
1757830321.317392,d70dfcad,165,1,1,0,worker1,0.8955,392,88,468,186
1757830322.134687,d70dfcad,170,1,1,0,worker1,0.8899,392,88,468,186
1757830323.0098858,d70dfcad,175,1,1,0,worker1,0.8848,392,88,468,186
1757830323.9129384,d70dfcad,180,1,1,0,worker1,0.8881,392,89,468,186
