frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,439.4,120.55,559.94,1.79,1,1,0
1,102.76,0.14,102.91,9.72,1,1,0
2,88.18,0.12,88.3,11.33,1,1,0
3,92.85,0.12,92.98,10.76,1,1,0
4,87.32,0.12,87.44,11.44,1,1,0
5,513.6,0.16,513.76,1.95,1,1,0
6,94.02,0.22,94.24,10.61,1,1,0
7,86.74,0.15,86.88,11.51,1,1,0
8,92.94,30.02,122.96,8.13,1,1,0
9,79.93,0.13,80.07,12.49,1,1,0
10,514.13,0.16,514.28,1.94,1,1,0
11,86.29,0.16,86.45,11.57,1,1,0
12,81.55,0.17,81.71,12.24,1,1,0
13,88.47,0.17,88.64,11.28,1,1,0
14,87.36,0.15,87.5,11.43,1,1,0
15,516.29,0.13,516.42,1.94,1,1,0
16,81.18,28.37,109.54,9.13,1,1,0
17,74.84,0.11,74.95,13.34,1,1,0
18,91.71,0.12,91.83,10.89,1,1,0
19,85.83,0.11,85.95,11.64,1,1,0
20,727.88,0.19,728.07,1.37,1,1,0
21,90.51,0.13,90.63,11.03,1,1,0
22,81.63,0.11,81.75,12.23,1,1,0
23,86.99,0.14,87.13,11.48,1,1,0
24,74.89,29.86,104.75,9.55,1,1,0
25,1081.28,0.16,1081.43,0.92,1,1,0
26,85.19,0.16,85.35,11.72,1,1,0
27,75.22,0.18,75.41,13.26,1,1,0
28,88.07,0.16,88.22,11.33,1,1,0
29,87.17,0.19,87.36,11.45,1,1,0
30,1036.24,0.2,1036.44,0.96,1,1,0
31,101.62,0.19,101.82,9.82,1,1,0
32,86.13,42.34,128.47,7.78,1,1,0
33,84.19,0.15,84.34,11.86,1,1,0
34,77.26,0.15,77.42,12.92,1,1,0
35,458.51,0.13,458.64,2.18,1,1,0
36,79.95,0.12,80.07,12.49,1,1,0
37,73.63,0.14,73.77,13.56,1,1,0
38,87.96,0.16,88.12,11.35,1,1,0
39,85.92,0.14,86.07,11.62,1,1,0
40,452.3,38.5,490.8,2.04,1,1,0
41,94.0,0.19,94.19,10.62,1,1,0
42,92.8,0.21,93.01,10.75,1,1,0
43,100.59,0.2,100.8,9.92,1,1,0
44,95.15,0.2,95.36,10.49,1,1,0
45,471.47,0.4,471.88,2.12,1,1,0
46,85.67,0.16,85.83,11.65,1,1,0
47,78.78,0.15,78.94,12.67,1,1,0
48,83.92,33.17,117.1,8.54,1,1,0
49,81.69,0.17,81.86,12.22,1,1,0
50,503.77,0.18,503.94,1.98,1,1,0
51,94.83,0.15,94.98,10.53,1,1,0
52,85.47,0.13,85.6,11.68,1,1,0
53,80.63,0.13,80.76,12.38,1,1,0
54,77.23,0.12,77.35,12.93,1,1,0
55,481.47,0.17,481.64,2.08,1,1,0
56,97.22,39.92,137.14,7.29,1,1,0
57,88.99,0.16,89.14,11.22,1,1,0
58,92.43,0.13,92.56,10.8,1,1,0
59,89.03,0.13,89.16,11.22,1,1,0
60,462.41,0.19,462.6,2.16,1,1,0
61,96.63,0.15,96.78,10.33,1,1,0
62,86.8,0.16,86.97,11.5,1,1,0
63,92.29,0.14,92.43,10.82,1,1,0
64,87.8,40.87,128.68,7.77,1,1,0
65,407.15,0.14,407.29,2.46,1,1,0
66,80.4,0.13,80.52,12.42,1,1,0
67,73.17,0.17,73.34,13.64,1,1,0
68,82.02,0.11,82.14,12.17,1,1,0
69,74.69,0.17,74.86,13.36,1,1,0
70,414.43,0.14,414.56,2.41,1,1,0
71,78.2,0.12,78.32,12.77,1,1,0
72,72.12,27.62,99.75,10.03,1,1,0
73,78.9,0.13,79.03,12.65,1,1,0
74,75.09,0.12,75.21,13.3,1,1,0
75,451.13,0.14,451.27,2.22,1,1,0
76,81.06,0.13,81.2,12.32,1,1,0
77,77.63,0.15,77.78,12.86,1,1,0
78,93.03,0.14,93.17,10.73,1,1,0
79,86.91,0.13,87.05,11.49,1,1,0
80,485.84,26.34,512.18,1.95,1,1,0
81,80.49,0.1,80.6,12.41,1,1,0
82,70.78,0.21,70.98,14.09,1,1,0
83,76.55,0.11,76.66,13.04,1,1,0
84,76.5,0.1,76.6,13.05,1,1,0
85,425.47,0.14,425.61,2.35,1,1,0
86,79.76,0.12,79.87,12.52,1,1,0
87,71.35,0.12,71.47,13.99,1,1,0
88,77.93,26.29,104.22,9.59,1,1,0
89,74.33,0.12,74.45,13.43,1,1,0
90,453.82,0.16,453.98,2.2,1,1,0
91,89.04,0.18,89.22,11.21,1,1,0
92,88.72,0.2,88.92,11.25,1,1,0
93,97.45,0.19,97.64,10.24,1,1,0
94,93.61,0.19,93.8,10.66,1,1,0
95,438.96,0.12,439.09,2.28,1,1,0
96,80.23,29.67,109.9,9.1,1,1,0
97,72.52,0.16,72.68,13.76,1,1,0
98,76.58,0.11,76.69,13.04,1,1,0
99,74.27,0.11,74.38,13.44,1,1,0
100,446.1,0.15,446.25,2.24,1,1,0
101,88.16,0.17,88.32,11.32,1,1,0
102,83.63,0.19,83.82,11.93,1,1,0
103,96.88,0.16,97.04,10.31,1,1,0
104,86.87,39.9,126.76,7.89,1,1,0
105,716.24,0.13,716.37,1.4,1,1,0
106,79.13,0.14,79.27,12.62,1,1,0
107,73.82,0.13,73.96,13.52,1,1,0
108,77.73,0.13,77.86,12.84,1,1,0
109,73.81,0.13,73.94,13.52,1,1,0
110,463.26,0.13,463.39,2.16,1,1,0
111,80.9,0.13,81.03,12.34,1,1,0
112,77.34,28.25,105.59,9.47,1,1,0
113,79.14,0.13,79.27,12.62,1,1,0
114,75.12,0.11,75.23,13.29,1,1,0
115,334.44,0.14,334.59,2.99,1,1,0
116,78.91,0.15,79.06,12.65,1,1,0
117,73.15,0.14,73.29,13.65,1,1,0
118,78.62,0.14,78.76,12.7,1,1,0
119,74.18,0.12,74.3,13.46,1,1,0
120,316.76,28.46,345.22,2.9,1,1,0
121,79.15,0.13,79.27,12.61,1,1,0
122,71.93,0.12,72.05,13.88,1,1,0
123,78.14,0.13,78.27,12.78,1,1,0
124,75.55,0.12,75.67,13.22,1,1,0
125,373.1,0.2,373.31,2.68,1,1,0
126,93.22,0.18,93.4,10.71,1,1,0
127,85.83,0.18,86.01,11.63,1,1,0
128,92.26,38.24,130.5,7.66,1,1,0
129,89.83,0.16,89.99,11.11,1,1,0
130,441.85,0.17,442.03,2.26,1,1,0
131,92.6,0.18,92.78,10.78,1,1,0
132,85.01,0.17,85.18,11.74,1,1,0
133,92.07,0.17,92.24,10.84,1,1,0
134,86.88,0.13,87.01,11.49,1,1,0
135,405.91,0.18,406.08,2.46,1,1,0
136,101.71,39.68,141.4,7.07,1,1,0
137,93.19,0.19,93.38,10.71,1,1,0
138,99.24,0.18,99.42,10.06,1,1,0
139,92.37,0.2,92.57,10.8,1,1,0
140,448.74,0.2,448.94,2.23,1,1,0
141,100.69,0.21,100.9,9.91,1,1,0
142,90.4,0.2,90.6,11.04,1,1,0
143,96.59,0.19,96.78,10.33,1,1,0
144,93.31,34.19,127.5,7.84,1,1,0
145,366.1,0.13,366.22,2.73,1,1,0
146,69.89,0.13,70.03,14.28,1,1,0
147,65.54,0.16,65.7,15.22,1,1,0
148,71.2,0.13,71.33,14.02,1,1,0
149,68.91,0.14,69.05,14.48,1,1,0
150,319.81,0.14,319.95,3.13,1,1,0
151,72.58,0.13,72.71,13.75,1,1,0
