frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,361.44,390.92,752.36,1.33,1,1,0
1,25.89,0.17,26.05,38.38,1,1,0
2,356.26,0.21,356.47,2.81,1,1,0
3,39.61,0.19,39.8,25.13,1,1,0
4,284.71,0.17,284.88,3.51,1,1,0
5,15.46,0.13,15.58,64.17,1,1,0
6,205.87,0.15,206.03,4.85,1,1,0
7,14.59,0.12,14.71,67.97,1,1,0
8,230.47,367.8,598.27,1.67,1,1,0
9,20.85,0.14,20.99,47.64,1,1,0
10,192.89,0.17,193.06,5.18,1,1,0
11,14.51,0.12,14.63,68.36,1,1,0
12,188.63,0.17,188.8,5.3,1,1,0
13,14.69,0.13,14.82,67.5,1,1,0
14,187.34,0.15,187.49,5.33,1,1,0
15,14.42,0.13,14.54,68.77,1,1,0
16,194.87,329.92,524.8,1.91,1,1,0
17,15.18,0.13,15.31,65.32,1,1,0
18,194.43,0.25,194.68,5.14,1,1,0
19,15.12,0.15,15.27,65.5,1,1,0
20,183.94,0.2,184.14,5.43,1,1,0
21,14.61,0.12,14.73,67.9,1,1,0
22,178.32,0.16,178.49,5.6,1,1,0
23,14.58,0.13,14.71,68.0,1,1,0
24,179.81,332.47,512.28,1.95,1,1,0
25,16.25,0.15,16.4,60.98,1,1,0
26,217.5,0.16,217.66,4.59,1,1,0
27,14.71,0.13,14.84,67.4,1,1,0
28,195.12,0.16,195.28,5.12,1,1,0
29,14.89,0.13,15.02,66.58,1,1,0
30,184.31,0.15,184.46,5.42,1,1,0
31,14.56,0.13,14.69,68.1,1,1,0
32,177.31,324.3,501.61,1.99,1,1,0
33,17.87,0.15,18.01,55.51,1,1,0
34,196.42,0.16,196.58,5.09,1,1,0
35,20.15,0.13,20.28,49.31,1,1,0
36,183.13,0.15,183.28,5.46,1,1,0
37,14.79,0.16,14.95,66.9,1,1,0
38,183.33,0.15,183.47,5.45,1,1,0
39,20.13,0.13,20.25,49.37,1,1,0
40,222.22,321.5,543.72,1.84,1,1,0
41,21.22,0.16,21.37,46.79,1,1,0
42,183.63,0.18,183.81,5.44,1,1,0
43,16.04,1.0,17.04,58.68,1,1,0
44,199.35,0.15,199.5,5.01,1,1,0
45,14.7,0.13,14.82,67.46,1,1,0
46,192.46,0.17,192.63,5.19,1,1,0
47,15.58,0.17,15.75,63.49,1,1,0
48,205.49,334.03,539.52,1.85,1,1,0
49,16.66,0.17,16.83,59.41,1,1,0
50,196.6,0.18,196.78,5.08,1,1,0
51,16.19,0.16,16.35,61.18,1,1,0
52,183.72,0.15,183.86,5.44,1,1,0
53,14.72,0.13,14.85,67.35,1,1,0
54,192.25,0.16,192.41,5.2,1,1,0
55,15.69,0.15,15.85,63.11,1,1,0
56,192.48,349.85,542.33,1.84,1,1,0
57,15.17,0.13,15.3,65.35,1,1,0
58,211.38,0.16,211.54,4.73,1,1,0
59,19.78,0.14,19.92,50.2,1,1,0
60,196.36,0.16,196.52,5.09,1,1,0
61,14.76,0.12,14.88,67.21,1,1,0
62,180.16,0.17,180.33,5.55,1,1,0
63,14.82,0.13,14.95,66.91,1,1,0
64,182.44,328.01,510.45,1.96,1,1,0
65,20.1,0.13,20.23,49.43,1,1,0
66,191.21,0.16,191.38,5.23,1,1,0
67,20.12,0.14,20.26,49.36,1,1,0
68,179.71,0.19,179.9,5.56,1,1,0
69,14.9,0.11,15.01,66.63,1,1,0
70,189.74,0.17,189.9,5.27,1,1,0
71,14.88,0.12,15.0,66.66,1,1,0
72,177.47,325.3,502.77,1.99,1,1,0
73,15.91,0.17,16.08,62.21,1,1,0
74,197.0,0.14,197.15,5.07,1,1,0
75,15.03,0.14,15.17,65.9,1,1,0
76,189.19,0.16,189.35,5.28,1,1,0
77,14.65,0.12,14.77,67.7,1,1,0
78,214.86,0.14,215.01,4.65,1,1,0
79,14.86,0.13,14.99,66.71,1,1,0
80,213.53,350.7,564.23,1.77,1,1,0
81,14.82,0.15,14.96,66.83,1,1,0
82,190.79,0.16,190.95,5.24,1,1,0
83,20.18,0.12,20.31,49.24,1,1,0
84,181.84,0.15,181.99,5.49,1,1,0
85,19.94,0.12,20.07,49.84,1,1,0
86,178.34,0.17,178.51,5.6,1,1,0
87,14.62,0.12,14.75,67.81,1,1,0
88,179.48,332.8,512.28,1.95,1,1,0
89,15.59,0.13,15.72,63.61,1,1,0
90,187.16,0.16,187.32,5.34,1,1,0
91,19.88,0.14,20.03,49.93,1,1,0
92,183.27,0.15,183.42,5.45,1,1,0
93,20.39,0.16,20.55,48.67,1,1,0
94,183.6,0.15,183.74,5.44,1,1,0
95,20.42,0.12,20.54,48.69,1,1,0
96,179.43,335.39,514.82,1.94,1,1,0
97,15.02,0.13,15.16,65.98,1,1,0
98,198.81,0.16,198.97,5.03,1,1,0
99,14.58,0.26,14.84,67.39,1,1,0
100,197.71,0.16,197.87,5.05,1,1,0
101,15.24,0.13,15.37,65.08,1,1,0
102,223.47,0.15,223.62,4.47,1,1,0
103,15.05,0.12,15.17,65.91,1,1,0
104,204.84,330.97,535.81,1.87,1,1,0
105,14.69,0.13,14.82,67.47,1,1,0
106,191.36,0.18,191.55,5.22,1,1,0
107,15.0,0.16,15.16,65.96,1,1,0
108,184.14,0.16,184.31,5.43,1,1,0
109,15.06,0.13,15.19,65.84,1,1,0
110,198.72,0.16,198.88,5.03,1,1,0
111,20.5,0.12,20.62,48.49,1,1,0
112,221.29,347.76,569.05,1.76,1,1,0
113,21.05,0.17,21.23,47.11,1,1,0
114,210.03,0.19,210.23,4.76,1,1,0
115,21.43,0.18,21.6,46.29,1,1,0
116,202.83,0.16,202.99,4.93,1,1,0
117,20.63,0.12,20.75,48.19,1,1,0
118,239.99,0.15,240.14,4.16,1,1,0
119,20.42,0.16,20.58,48.59,1,1,0
120,234.88,349.98,584.87,1.71,1,1,0
121,20.24,0.16,20.39,49.03,1,1,0
122,238.81,0.16,238.97,4.18,1,1,0
123,15.27,0.15,15.43,64.82,1,1,0
124,199.36,0.17,199.53,5.01,1,1,0
125,15.19,0.12,15.31,65.32,1,1,0
126,185.53,0.16,185.69,5.39,1,1,0
