frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
104,309.6,649.37,958.97,1.04,1,1,0
105,27.7,0.35,28.05,35.65,1,1,0
106,381.8,0.28,382.08,2.62,1,1,0
107,149.34,0.4,149.75,6.68,1,1,0
0,252.64,802.79,1055.43,0.95,1,1,0
1,8.36,0.15,8.51,117.48,1,1,0
2,655.05,2.36,657.41,1.52,1,1,0
3,41.3,0.32,41.62,24.03,1,1,0
4,432.44,0.33,432.76,2.31,1,1,0
5,23.13,0.28,23.4,42.73,1,1,0
6,396.58,0.43,397.02,2.52,1,1,0
7,22.05,0.31,22.35,44.74,1,1,0
108,747.2,963.17,1710.37,0.58,1,1,0
