ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758344417.272929,e2c86719,0,1,0,1,Unknown,0.268,1024,174,1461,773
1758344418.691173,e2c86719,5,1,1,0,anish,0.5256,972,200,1417,774
1758344419.640901,e2c86719,10,1,1,0,anish,0.5541,925,210,1376,801
1758344420.097821,e2c86719,15,1,1,0,anish,0.5558,883,226,1347,819
1758344421.233438,e2c86719,20,2,1,0,anish,0.5563,918,196,1398,796
1758344421.233438,e2c86719,20,2,1,0,anish,0.5563,695,287,1206,856
1758344422.162279,e2c86719,25,2,1,0,anish,0.5617,993,134,1473,734
1758344422.162279,e2c86719,25,2,1,0,anish,0.5617,775,220,1259,822
1758344422.667161,e2c86719,30,3,1,0,anish,0.5344,1146,101,1626,701
1758344422.667161,e2c86719,30,3,1,0,anish,0.5344,715,216,1201,841
1758344422.667161,e2c86719,30,3,1,0,anish,0.5344,924,192,1353,756
1758344423.680629,e2c86719,35,3,1,0,anish,0.5779,1011,153,1491,753
1758344423.680629,e2c86719,35,3,1,0,anish,0.5779,628,241,1114,866
1758344423.680629,e2c86719,35,3,1,0,anish,0.5779,849,267,1217,760
1758344424.2545788,e2c86719,40,3,1,0,anish,0.5253,964,130,1444,730
1758344424.2545788,e2c86719,40,3,1,0,anish,0.5253,572,243,1058,868
1758344424.2545788,e2c86719,40,3,1,0,anish,0.5253,792,253,1182,757
1758344425.134507,e2c86719,45,3,1,0,anish,0.5121,986,267,1416,814
1758344425.134507,e2c86719,45,3,1,0,anish,0.5121,803,256,1289,881
1758344425.134507,e2c86719,45,3,1,0,anish,0.5121,792,253,1182,757
1758344426.124724,e2c86719,50,2,1,0,anish,0.4825,916,169,1348,745
1758344426.124724,e2c86719,50,2,1,0,anish,0.4825,759,229,1187,775
1758344426.5849879,e2c86719,55,3,1,0,anish,0.548,916,169,1348,745
1758344426.5849879,e2c86719,55,3,1,0,anish,0.548,746,171,1178,747
1758344426.5849879,e2c86719,55,3,1,0,anish,0.548,558,303,1025,817
1758344427.535365,e2c86719,60,3,1,0,anish,0.5001,943,245,1341,767
1758344427.535365,e2c86719,60,3,1,0,anish,0.5001,979,179,1411,755
1758344428.6162329,e2c86719,65,3,1,0,anish,0.5268,775,230,1196,787
1758344428.6162329,e2c86719,65,3,1,0,anish,0.5268,993,161,1425,737
1758344428.6162329,e2c86719,65,3,1,0,anish,0.5268,463,359,943,899
1758344429.1377459,e2c86719,70,3,1,0,anish,0.4815,872,239,1273,768
1758344429.1377459,e2c86719,70,3,1,0,anish,0.4815,1110,173,1542,749
1758344429.1377459,e2c86719,70,3,1,0,anish,0.4815,463,359,943,899
1758344430.0591402,e2c86719,75,4,1,0,anish,0.5731,718,238,1123,778
1758344430.0591402,e2c86719,75,4,1,0,anish,0.5731,1169,179,1601,755
1758344430.0591402,e2c86719,75,4,1,0,anish,0.5731,463,359,943,899
1758344430.0591402,e2c86719,75,4,1,0,anish,0.5731,930,240,1328,768
1758344430.7428238,e2c86719,80,4,1,0,anish,0.504,713,239,1118,779
1758344430.7428238,e2c86719,80,4,1,0,anish,0.504,1164,181,1596,757
1758344430.7428238,e2c86719,80,4,1,0,anish,0.504,463,359,943,899
1758344430.7428238,e2c86719,80,4,1,0,anish,0.504,923,237,1321,769
1758344431.844469,e2c86719,85,4,1,0,anish,0.5094,650,270,1055,810
1758344431.844469,e2c86719,85,4,1,0,anish,0.5094,1104,172,1536,748
1758344431.844469,e2c86719,85,4,1,0,anish,0.5094,463,359,943,899
1758344431.844469,e2c86719,85,4,1,0,anish,0.5094,875,236,1280,770
1758344432.924176,e2c86719,90,4,1,0,anish,0.5441,603,287,1008,827
1758344432.924176,e2c86719,90,4,1,0,anish,0.5441,1165,189,1597,765
1758344432.924176,e2c86719,90,4,1,0,anish,0.5441,463,359,943,899
1758344432.924176,e2c86719,90,4,1,0,anish,0.5441,927,244,1323,779
1758344433.5118341,e2c86719,95,5,1,0,anish,0.5644,570,295,975,835
