frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,658.88,663.88,1322.77,0.76,1,0,1
1,20.21,0.01,20.22,49.45,1,0,1
2,14.33,0.01,14.33,69.76,1,0,1
3,46.27,0.02,46.29,21.6,1,0,1
4,18.31,0.0,18.32,54.59,1,0,1
5,523.3,0.02,523.31,1.91,1,1,0
6,13.64,0.01,13.64,73.3,1,1,0
7,10.56,0.01,10.57,94.64,1,1,0
8,17.11,453.75,470.86,2.12,1,1,0
9,10.41,0.08,10.49,95.36,1,1,0
10,311.87,0.1,311.97,3.21,1,1,0
11,11.32,0.11,11.43,87.48,1,1,0
12,10.93,0.11,11.04,90.57,1,1,0
13,12.38,0.13,12.5,79.98,1,1,0
14,11.52,0.09,11.6,86.18,1,1,0
15,303.7,0.09,303.78,3.29,1,1,0
16,12.26,555.79,568.05,1.76,1,1,0
17,13.8,0.06,13.86,72.17,1,1,0
18,13.82,0.08,13.89,71.98,1,1,0
19,11.84,0.05,11.89,84.11,1,1,0
20,403.04,0.05,403.09,2.48,2,2,0
21,27.62,0.05,27.67,36.14,2,2,0
22,24.56,0.05,24.61,40.63,2,2,0
23,32.34,0.05,32.39,30.88,2,2,0
24,35.68,408.61,444.3,2.25,2,2,0
25,266.84,0.05,266.88,3.75,2,2,0
26,22.79,0.05,22.85,43.77,2,2,0
27,23.08,0.05,23.13,43.23,2,2,0
28,22.63,0.05,22.68,44.1,2,2,0
29,20.21,0.06,20.27,49.34,2,2,0
30,271.92,0.04,271.97,3.68,3,3,0
31,33.41,0.05,33.46,29.89,3,3,0
32,31.65,359.87,391.52,2.55,3,3,0
33,33.87,0.08,33.96,29.45,3,3,0
34,27.55,0.08,27.64,36.19,3,3,0
35,350.24,0.08,350.32,2.85,3,3,0
36,31.77,0.11,31.88,31.36,3,3,0
37,29.66,0.1,29.76,33.6,3,3,0
38,28.64,0.08,28.72,34.82,3,3,0
39,32.61,0.11,32.73,30.55,3,3,0
40,291.3,391.42,682.72,1.46,3,3,0
41,24.38,0.08,24.46,40.88,3,3,0
42,24.45,0.08,24.52,40.78,3,3,0
43,25.7,0.07,25.77,38.8,3,3,0
44,26.27,0.08,26.35,37.95,3,3,0
45,302.11,0.09,302.2,3.31,3,3,0
46,27.21,0.09,27.3,36.63,2,2,0
47,19.63,0.09,19.72,50.7,2,2,0
48,22.88,382.74,405.61,2.47,2,2,0
49,20.78,0.09,20.86,47.93,2,2,0
50,394.66,0.11,394.76,2.53,2,2,0
51,18.65,0.11,18.76,53.32,2,2,0
52,17.37,0.09,17.46,57.29,2,2,0
53,18.08,0.09,18.17,55.04,2,2,0
54,18.39,0.09,18.48,54.11,2,2,0
55,286.33,0.1,286.43,3.49,3,3,0
56,24.03,418.49,442.52,2.26,3,3,0
57,33.35,0.09,33.44,29.9,3,3,0
58,24.64,0.08,24.72,40.46,3,3,0
59,27.4,0.08,27.48,36.39,3,3,0
60,421.37,0.08,421.45,2.37,3,3,0
61,24.7,0.09,24.78,40.35,3,3,0
62,25.3,0.08,25.38,39.4,3,3,0
63,26.23,0.08,26.31,38.01,3,3,0
64,22.54,362.85,385.39,2.59,3,3,0
65,351.49,0.09,351.58,2.84,3,3,0
66,27.84,0.09,27.94,35.8,3,3,0
67,25.18,0.1,25.29,39.54,3,3,0
68,24.94,0.11,25.05,39.91,3,3,0
69,27.7,0.09,27.79,35.98,3,3,0
70,271.63,0.08,271.71,3.68,3,3,0
71,25.07,0.08,25.15,39.76,3,3,0
72,25.02,367.92,392.93,2.54,3,3,0
73,26.74,0.09,26.82,37.28,3,3,0
74,26.02,0.09,26.11,38.3,3,3,0
75,261.05,0.09,261.13,3.83,4,4,0
76,31.54,0.08,31.62,31.63,4,4,0
77,35.55,0.09,35.64,28.06,4,4,0
78,37.58,0.08,37.66,26.55,4,4,0
79,33.31,0.08,33.39,29.95,4,4,0
80,375.69,433.45,809.14,1.24,4,4,0
81,35.82,0.09,35.91,27.85,4,4,0
82,36.18,0.15,36.33,27.53,4,4,0
83,33.19,0.08,33.27,30.06,4,4,0
84,35.34,0.09,35.43,28.22,4,4,0
85,377.95,0.08,378.03,2.65,4,4,0
86,43.42,0.09,43.51,22.99,4,4,0
87,33.47,0.09,33.56,29.8,4,4,0
88,35.77,408.72,444.49,2.25,4,4,0
89,34.14,0.1,34.23,29.21,4,4,0
90,390.78,0.08,390.86,2.56,4,4,0
91,36.79,0.08,36.87,27.12,4,4,0
92,36.81,0.09,36.91,27.1,4,4,0
93,34.91,0.12,35.03,28.55,4,4,0
94,38.1,0.08,38.19,26.19,4,4,0
95,310.28,0.08,310.36,3.22,5,5,0
96,44.78,384.3,429.08,2.33,5,5,0
97,43.06,0.05,43.11,23.2,5,5,0
98,43.67,0.04,43.72,22.87,5,5,0
99,47.52,0.05,47.57,21.02,5,5,0
100,385.98,0.06,386.04,2.59,5,5,0
101,42.31,0.05,42.35,23.61,5,5,0
102,44.61,0.05,44.66,22.39,5,5,0
103,44.06,0.05,44.11,22.67,5,5,0
104,45.9,413.93,459.83,2.17,5,5,0
105,352.5,0.05,352.54,2.84,5,5,0
106,39.61,0.06,39.67,25.21,5,5,0
107,42.9,0.05,42.94,23.29,5,5,0
108,41.06,0.05,41.1,24.33,5,5,0
109,41.48,0.05,41.52,24.08,5,5,0
110,319.05,0.05,319.1,3.13,5,5,0
111,43.94,0.05,43.99,22.73,5,5,0
112,42.89,361.77,404.66,2.47,5,5,0
113,41.76,0.05,41.8,23.92,5,5,0
114,42.36,0.05,42.4,23.58,5,5,0
115,319.74,0.04,319.78,3.13,5,5,0
116,40.38,0.04,40.43,24.74,5,5,0
117,49.16,0.05,49.21,20.32,5,5,0
118,59.05,0.05,59.1,16.92,5,5,0
119,48.27,0.05,48.32,20.69,5,5,0
120,298.49,428.03,726.52,1.38,5,5,0
121,41.73,0.05,41.78,23.94,5,5,0
122,41.62,0.05,41.67,24.0,5,5,0
123,62.42,0.06,62.48,16.01,5,5,0
124,43.28,0.05,43.33,23.08,5,5,0
125,379.82,0.07,379.89,2.63,5,5,0
126,43.34,0.05,43.39,23.05,5,5,0
127,43.16,0.06,43.23,23.13,5,5,0
128,44.4,365.66,410.06,2.44,5,5,0
129,54.16,0.05,54.21,18.45,5,5,0
130,354.67,0.04,354.71,2.82,5,5,0
131,43.22,0.05,43.27,23.11,5,5,0
132,42.54,0.05,42.59,23.48,5,5,0
133,40.85,0.04,40.89,24.46,5,5,0
134,44.92,0.05,44.96,22.24,5,5,0
135,309.38,0.05,309.43,3.23,5,5,0
136,47.96,412.58,460.54,2.17,5,5,0
137,44.59,0.06,44.64,22.4,5,5,0
138,38.88,0.05,38.93,25.69,5,5,0
139,41.95,0.05,42.0,23.81,5,5,0
140,314.25,0.05,314.3,3.18,5,5,0
141,42.41,0.05,42.46,23.55,5,5,0
142,42.42,0.06,42.48,23.54,5,5,0
143,37.6,0.05,37.65,26.56,5,5,0
144,41.23,386.19,427.42,2.34,5,5,0
145,289.45,0.05,289.49,3.45,5,5,0
146,39.45,0.05,39.5,25.32,5,5,0
147,41.16,0.05,41.21,24.27,5,5,0
148,37.32,0.05,37.37,26.76,5,5,0
149,39.84,0.05,39.89,25.07,5,5,0
150,281.92,0.05,281.97,3.55,5,5,0
151,36.08,0.05,36.13,27.68,5,5,0
152,40.3,359.22,399.52,2.5,5,5,0
153,43.06,0.04,43.11,23.2,5,5,0
154,42.59,0.05,42.64,23.45,5,5,0
155,321.32,0.04,321.36,3.11,5,5,0
156,44.02,0.05,44.06,22.69,5,5,0
157,44.0,0.05,44.05,22.7,5,5,0
158,44.7,0.05,44.75,22.35,5,5,0
159,42.17,0.05,42.22,23.68,5,5,0
160,305.73,391.81,697.54,1.43,5,5,0
161,43.51,0.05,43.56,22.95,5,5,0
162,45.48,0.06,45.54,21.96,5,5,0
163,58.35,0.05,58.4,17.12,5,5,0
